name,nomenclature,source_db_name,normalized_gene_id,aliases
HSD17B8,Gene Symbol,NCBI,hgnc:3554,D6S2245E|dJ1033B10.9|ensembl:ENSG00000204228|FABG|FABGL|H2-KE6|hgnc:3554|HKE6|hydroxysteroid 17-beta dehydrogenase 8|KE6|ncbigene:7923|omim:601417|RING2|SDR30C1
PLK2,Gene Symbol,GO,hgnc:19699,SERINE/THREONINE-PROTEIN KINASE PLK2|SNK
OTOR,Gene Symbol,NCBI,hgnc:8517,ensembl:ENSG00000125879|FDP|hgnc:8517|MIAL1|ncbigene:56914|omim:606067|otoraplin
HEXB,Gene Symbol,HGNC,hgnc:4879,3.2.1.52|ccds:CCDS4022|ccds:CCDS78021|ena.embl:M13519|ensembl:ENSG00000049860|hexosaminidase subunit beta|hgnc:4879|ncbigene:3074|omim:606873|orphanet:122404|pubmed:2579389|pubmed:3013851|refseq:NM_000521|ucsc:uc003kdf.4|uniprot:P07686|vega:OTTHUMG00000102057
MNDA,Gene Symbol,NCBI,hgnc:7183,ensembl:ENSG00000163563|hgnc:7183|myeloid cell nuclear differentiation antigen|ncbigene:4332|omim:159553|PYHIN3
SSH3,Gene Symbol,Ensembl,hgnc:30581,ensembl:ENSG00000172830|hgnc:30581|slingshot protein phosphatase 3
YY1AP1,Gene Symbol,NCBI,hgnc:30935,ensembl:ENSG00000163374|GRNG|HCCA1|HCCA2|hgnc:30935|ncbigene:55249|omim:607860|YY1 associated protein 1|YY1AP
UNIPROT:Q9UHC3,UniProtKB ID,HopkinsGroom,hgnc:101,ACID-SENSING ION CHANNEL 3|ASIC3|ASIC3_HUMAN|ENSEMBL:ENSG00000213199|NCBIGENE:9311
SAE1,Gene Symbol,Pharos,hgnc:30660,SUMO-ACTIVATING ENZYME SUBUNIT 1|UNIPROT:Q9UBE0
DNPEP,Gene Symbol,HGNC,hgnc:2981,aspartyl aminopeptidase|ASPEP|ccds:CCDS42823|ccds:CCDS82574|ccds:CCDS86923|DAP|ensembl:ENSG00000123992|hgnc:2981|merops:M18.002|ncbigene:23549|omim:611367|pubmed:9632644|refseq:NM_012100|ucsc:uc002vle.3|uniprot:Q9ULA0|vega:OTTHUMG00000058919
CSHL1,Gene Symbol,HGNC,hgnc:2442,ccds:CCDS11652|ccds:CCDS42370|ccds:CCDS45759|ccds:CCDS82189|chorionic somatomammotropin hormone like 1|CS-5|CSHP1|CSL|ena.embl:BC029365|ensembl:ENSG00000204414|hCS-L|hgnc:2442|MGC149868|ncbigene:1444|omim:603515|pubmed:8083227|refseq:NM_022579|ucsc:uc002jda.2|uniprot:Q14406|vega:OTTHUMG00000172287
PRDX5,Gene Name,DTC,hgnc:9355,
SLCO1A2,Gene Symbol,HGNC,hgnc:10956,ccds:CCDS8686|ccds:CCDS91662|ensembl:ENSG00000084453|hgnc:10956|ncbigene:6579|OATP|OATP-A|OATP1A2|omim:602883|pubmed:9007731|refseq:NM_021094|SLC21A3|solute carrier organic anion transporter family member 1A2|ucsc:uc001res.3|uniprot:P46721|vega:OTTHUMG00000156259
UNIPROT:Q86T26,UniProtKB ID,HopkinsGroom,hgnc:25398,ENSEMBL:ENSG00000185873|NCBIGENE:132724|TM11B_HUMAN|TMPRSS11B|TRANSMEMBRANE PROTEASE SERINE 11B
ZNF467,Gene Symbol,Ensembl,hgnc:23154,ensembl:ENSG00000181444|hgnc:23154|zinc finger protein 467
HMMR,Gene Symbol,GO,hgnc:5012,HYALURONAN MEDIATED MOTILITY RECEPTOR|IHABP|RHAMM
STK16,Gene Symbol,HGNC,hgnc:11394,ccds:CCDS42822|ccds:CCDS82573|ccds:CCDS86921|ena.embl:AF060798|ensembl:ENSG00000115661|hgnc:11394|MPSK|MPSK1|ncbigene:8576|omim:604719|PKL12|pubmed:9712705|refseq:NM_001008910|serine/threonine kinase 16|ucsc:uc002vko.3|uniprot:O75716|vega:OTTHUMG00000154520
GALK1,Gene Name,DTC,hgnc:4118,
ENSEMBL:ENSG00000186160,Ensembl Gene ID,RussLampel,hgnc:20583,CYP4Z1|CYTOCHROME P450 4Z1 (EC 1.14.14.1) (CYPIVZ1)
GABRE,Gene Name,HingoraniCasas,hgnc:4085,ENSEMBL:ENSG00000102287|GABRE
MID1,Gene Symbol,NCBI,hgnc:7095,BBBG1|ensembl:ENSG00000101871|FXY|GBBB|GBBB1|hgnc:7095|MIDIN|midline 1|ncbigene:4281|OGS1|omim:300552|OS|OSX|RNF59|RP11-120D5.1|TRIM18|XPRF|ZNFXY
PROC,Gene Name,FDA,hgnc:9451,
PRKAR1A,Gene Symbol,FoundationOneGenes,hgnc:9388,
TCFL5,Gene Symbol,HGNC,hgnc:11646,bHLHe82|ccds:CCDS13506|CHA|E2BP-1|ena.embl:AB012124|ensembl:ENSG00000101190|Figlb|hgnc:11646|ncbigene:10732|omim:604745|pubmed:9763657|refseq:NM_006602|transcription factor like 5|ucsc:uc002ydp.3|uniprot:Q9UL49|vega:OTTHUMG00000032939
MORC3,Gene Symbol,HGNC,hgnc:23572,ccds:CCDS42924|ena.embl:AK025327|ensembl:ENSG00000159256|hgnc:23572|KIAA0136|MORC family CW-type zinc finger 3|ncbigene:23515|NXP2|omim:610078|pubmed:14607086|refseq:NM_015358|ucsc:uc002yvi.3|uniprot:Q14149|vega:OTTHUMG00000086620|ZCW5|ZCWCC3
OR14J1,Gene Name,HingoraniCasas,hgnc:13971,ENSEMBL:ENSG00000204695|OR14J1
KIRREL1,Gene Symbol,NCBI,hgnc:15734,ensembl:ENSG00000183853|hgnc:15734|kirre like nephrin family adhesion molecule 1|KIRREL|LOC348416|ncbigene:55243|NEPH1|NPHS23|omim:607428
OR4A5,Gene Symbol,dGene,hgnc:15162,NCBIGENE:81318|OR11-111
IUPHAR.RECEPTOR:2439,GuideToPharmacology ID,GuideToPharmacology,hgnc:6136,"HGNC:6136|INTEGRIN SUBUNIT ALPHA 11|INTEGRIN, ALPHA 11 SUBUNIT|ITGA11|REFSEQ:NM_001004439|REFSEQ:NP_001004439|UNIPROT:Q9UKX5"
CDNF,Gene Symbol,GO,hgnc:24913,ARMETL1|CEREBRAL DOPAMINE NEUROTROPHIC FACTOR
DPYD,Gene Symbol,HGNC,hgnc:3012,1.3.1.2|ccds:CCDS30777|ccds:CCDS53346|DHPDHase|dihydropyrimidine dehydrogenase|DPD|ena.embl:U20938|ensembl:ENSG00000188641|hgnc:3012|ncbigene:1806|omim:612779|orphanet:121171|pubmed:7713523|refseq:NM_000110|ucsc:uc001drv.4|uniprot:Q12882|vega:OTTHUMG00000039683
ARID4A,Gene Name,PharmGKB,hgnc:9885,PHARMGKB.GENE:PA34249
CASR,Gene Symbol,Ensembl,hgnc:1514,calcium sensing receptor|ensembl:ENSG00000036828|hgnc:1514
OR2T27,Gene Symbol,Ensembl,hgnc:31252,ensembl:ENSG00000187701|hgnc:31252|olfactory receptor family 2 subfamily T member 27
NOP53,Gene Symbol,NCBI,hgnc:4333,ensembl:ENSG00000105373|GLTSCR2|hgnc:4333|LOC94457|ncbigene:29997|NOP53 ribosome biogenesis factor|omim:605691|PICT-1|PICT1
IRF2,Gene Symbol,FoundationOneGenes,hgnc:6117,
