HGNC_ID,ENSG_ID,NCBI_ID,captured_status,captured_category_list,primary_gene_symbol,gene_symbol,alternate_abbreviation_status_w_no_context
HGNC:24330,ENSG00000166569,GENE ID:339302,FALSE,,CPLX4,CPX-IV,TRUE
HGNC:9545,"ENSG00000206298, ENSG00000230034, ENSG00000236443, ENSG00000230669, ENSG00000235715, ENSG00000231631, ENSG00000204264, ENSG00000226201",GENE ID:5696,FALSE,,PSMB8,D6S216E,FALSE
HGNC:48574,ENSG00000214145,GENE ID:100131551,FALSE,,LINC00887,ACLY-BP,FALSE
HGNC:17634,ENSG00000108256,GENE ID:57532,FALSE,,NUFIP2,82-FIP,FALSE
HGNC:4800,ENSG00000072506,GENE ID:3028,FALSE,,HSD17B10,SCHAD,FALSE
HGNC:6986,ENSG00000124733,GENE ID:4201,FALSE,,MEA1,HYS,FALSE
HGNC:14508,ENSG00000175110,GENE ID:56945,FALSE,,MRPS22,MS22,TRUE
HGNC:49,ENSG00000197150,GENE ID:11194,FALSE,,ABCB8,MITOSUR,FALSE
HGNC:19336,ENSG00000146414,GENE ID:257218,FALSE,,SHPRH,BA545I5.2,FALSE
HGNC:36704,set(),GENE ID:100131866,FALSE,,RPS2P9,RPS2_5_144,FALSE
HGNC:28128,ENSG00000179029,GENE ID:84314,FALSE,,TMEM107,GRVS638,FALSE
HGNC:28296,ENSG00000119333,GENE ID:89891,FALSE,,DYNC2I2,bA216B9.3,FALSE
HGNC:32751,ENSG00000212447,GENE ID:692206,FALSE,,SNORD90,HBII-295,FALSE
HGNC:6914,ENSG00000103495,GENE ID:4150,FALSE,,MAZ,ZIF87,FALSE
HGNC:32522,"ENSG00000182487, ENSG00000290838",GENE ID:654816,FALSE,,NCF1B,SH3PXD1B,FALSE
HGNC:6525,ENSG00000160349,GENE ID:3933,FALSE,,LCN1,TP,FALSE
HGNC:17284,ENSG00000128513,GENE ID:25913,FALSE,,POT1,hPot1,TRUE
HGNC:28073,ENSG00000178381,GENE ID:90637,FALSE,,ZFAND2A,AIRAP,FALSE
HGNC:16687,ENSG00000184708,GENE ID:56478,FALSE,,EIF4ENIF1,4E-T,TRUE
HGNC:19783,set(),GENE ID:122449,FALSE,,RPS29P1,RPS29_5_1384,FALSE
HGNC:11772,ENSG00000106799,GENE ID:7046,FALSE,,TGFBR1,TGFR-1,TRUE
HGNC:10963,ENSG00000175003,GENE ID:6580,FALSE,,SLC22A1,HOCT1,FALSE
HGNC:24612,ENSG00000074356,GENE ID:55421,FALSE,,NCBP3,ELG,FALSE
HGNC:32625,ENSG00000208839,GENE ID:677816,FALSE,,SNORA35,HBI-36,FALSE
HGNC:21238,ENSG00000172738,GENE ID:221468,FALSE,,TMEM217,DJ355M6.2,FALSE
HGNC:5880,ENSG00000211648,GENE ID:28822,FALSE,,IGLV1-47,V1-17,FALSE
HGNC:12820,ENSG00000148300,GENE ID:57109,FALSE,,REXO4,XPMC2,FALSE
HGNC:6345,ENSG00000105610,GENE ID:10661,FALSE,,KLF1,EKLF/KLF1,FALSE
HGNC:18697,ENSG00000112249,GENE ID:10973,FALSE,,ASCC3,DJ121G13.4,FALSE
HGNC:7729,ENSG00000168385,GENE ID:4735,FALSE,,SEPTIN2,Pnutl3,FALSE
HGNC:16113,ENSG00000235214,set(),FALSE,,FAM83C-AS1,DJ614O4.3,FALSE
HGNC:13221,ENSG00000119866,GENE ID:53335,FALSE,,BCL11A,SMARCM1,FALSE
HGNC:10009,ENSG00000187010,GENE ID:6007,FALSE,,RHD,RHPII,FALSE
HGNC:21578,ENSG00000137393,GENE ID:255488,FALSE,,RNF144B,PIR2,FALSE
HGNC:17820,ENSG00000122643,GENE ID:51251,FALSE,,NT5C3A,P36,FALSE
HGNC:21317,ENSG00000141627,GENE ID:54808,FALSE,,DYM,SMC,FALSE
HGNC:9366,ENSG00000231887,GENE ID:5554,FALSE,,PRH1,Pr1/Pr2,FALSE
HGNC:8230,"ENSG00000285071, ENSG00000221989",GENE ID:442361,FALSE,,OR2A2,OST008,FALSE
HGNC:30880,ENSG00000122873,GENE ID:55847,FALSE,,CISD1,MITONEET,FALSE
HGNC:7985,ENSG00000148200,GENE ID:2649,FALSE,,NR6A1,GCNF1,FALSE
HGNC:7973,ENSG00000112333,GENE ID:7101,FALSE,,NR2E1,XTLL,FALSE
HGNC:15919,ENSG00000101473,GENE ID:10005,FALSE,,ACOT8,NAP1,FALSE
HGNC:9163,ENSG00000168081,GENE ID:5368,FALSE,,PNOC,N/OFQ,FALSE
HGNC:8944,ENSG00000197641,GENE ID:5275,FALSE,,SERPINB13,HUR7,FALSE
HGNC:2568,ENSG00000013619,GENE ID:10046,FALSE,,MAMLD1,CG1,FALSE
HGNC:28613,ENSG00000167077,GENE ID:150365,FALSE,,MEI1,SPATA38,FALSE
HGNC:30802,ENSG00000177666,GENE ID:57104,FALSE,,PNPLA2,TTS-2.2,FALSE
HGNC:32605,"ENSG00000280498, ENSG00000274582",GENE ID:692073,FALSE,,SNORA16A,ACA16,TRUE
HGNC:21044,ENSG00000090975,GENE ID:57605,FALSE,,PITPNM2,RDGBA2,FALSE
HGNC:14875,ENSG00000132704,GENE ID:79368,FALSE,,FCRL2,FCRH2,FALSE
HGNC:17005,ENSG00000136110,GENE ID:11061,FALSE,,CNMD,CHM-I,FALSE
HGNC:10914,ENSG00000140199,GENE ID:9990,FALSE,,SLC12A6,KCC3B,FALSE
HGNC:20218,"ENSG00000275947, ENSG00000153485",GENE ID:26175,FALSE,,LYSET,GCAF,FALSE
HGNC:4666,ENSG00000119041,GENE ID:9330,FALSE,,GTF3C3,TFIIIC2-102,FALSE
HGNC:8574,ENSG00000007168,GENE ID:5048,FALSE,,PAFAH1B1,LIS2,FALSE
HGNC:2464,ENSG00000038427,GENE ID:1462,FALSE,,VCAN,GHAP,FALSE
HGNC:35015,set(),GENE ID:100189445,FALSE,,NMTRQ-TTG7-1,nmt-tRNA-Gln-TTG-7-1,TRUE
HGNC:13328,ENSG00000152778,GENE ID:24138,FALSE,,IFIT5,RI58,FALSE
HGNC:10932,ENSG00000146039,GENE ID:10050,FALSE,,SLC17A4,KAIA2138,FALSE
HGNC:23994,"ENSG00000292301, ENSG00000104626",GENE ID:90459,FALSE,,ERI1,3'HEXO,FALSE
HGNC:32621,ENSG00000199477,GENE ID:677814,FALSE,,SNORA31,ACA31,TRUE
HGNC:21773,ENSG00000204022,GENE ID:142910,FALSE,,LIPJ,BA425M17.2,FALSE
HGNC:36092,set(),GENE ID:100128162,FALSE,,RPS6P7,RPS6_3_716,FALSE
HGNC:30215,ENSG00000183742,GENE ID:346389,FALSE,,MACC1,SH3BP4L,FALSE
HGNC:30715,ENSG00000215148,GENE ID:360226,FALSE,,PRSS41,TESSP1,FALSE
HGNC:13525,ENSG00000242950,GENE ID:30816,FALSE,,ERVW-1,HERV-7Q,FALSE
HGNC:318,ENSG00000038002,GENE ID:175,FALSE,,AGA,ASRG,TRUE
HGNC:18076,ENSG00000182196,GENE ID:51329,FALSE,,ARL6IP4,SRrp37,FALSE
HGNC:49757,ENSG00000249550,GENE ID:100506465,FALSE,,LINC01234,onco-lncRNA-32,FALSE
HGNC:4555,ENSG00000211445,GENE ID:2878,FALSE,,GPX3,GSHPx-3,TRUE
HGNC:16046,ENSG00000115446,GENE ID:25972,FALSE,,UNC50,UNCL,FALSE
HGNC:6154,ENSG00000147166,GENE ID:26548,FALSE,,ITGB1BP2,ITGB1BP,TRUE
