,collision,num_gene_records
1064,P220,2
1119,PABP3,2
1505,TIG1,2
1532,TRAP1,2
1492,TDGF2,2
1089,P5,2
1521,TPC,2
1083,P43,2
1520,TP2,2
1085,P45,2
1519,TP,2
1503,THC2,2
1516,TNT,2
1100,P600,2
1515,TN,2
1080,P39,2
1514,TMS-1,2
1504,THRA1,2
1513,TLX,2
1512,TLP,2
1511,TLN,2
1098,P6,2
1510,TIP39,2
1509,TIP,2
1522,TPT,2
1524,TR1,2
1116,PAAT,2
1529,TRAM,2
1071,P3,2
1493,TEL2,2
1073,P32,2
1533,TRAP2,2
1494,TER,2
1112,P8MTCP1,2
1506,TIH1,2
1496,TFIIA,2
1528,TRAD,2
1102,P63,2
1527,TRA1,2
1108,P76,2
1077,P36,2
1501,TGIF,2
1106,P68,2
1105,P67,2
1104,P66,2
1502,TGT,2
1088,P49,2
1027,OPG,2
1054,P16,2
992,NRF2,2
1595,VWS1,2
1594,VRP,2
1593,VR1,2
1592,VPS55,2
1591,VPP3,2
984,NOR1,2
985,NOS,2
1590,VPP2,2
988,NPH3,2
1588,VMA6,2
990,NPYR,2
991,NR1,2
1587,VMA5,2
1552,TTG1,2
993,NRK2,2
1586,VMA4,2
996,NS,2
1585,VMA2,2
1583,VINC,2
997,NSCL2,2
998,NSE1,2
999,NSE2,2
1000,NSP,2
1001,NSP2,2
1002,NTN,2
1003,NY-REN-2,2
982,NLG1,2
1596,WAGR,2
1598,WWP4,2
980,NKX6.1,2
962,ND1,2
963,NDR,2
964,NDR1,2
1613,ZRC1,2
1612,ZNT8,2
1611,ZNF422,2
966,NET,2
1609,ZIP2,2
969,NEUROPSIN,2
970,NF-E1,2
1608,ZIP,2
971,NF1HHS,2
1607,ZIN,2
1606,ZFP27,2
1605,ZETA,2
1604,ZC2HC5,2
1603,ZAP,2
1602,ZAC,2
1601,YMR292W,2
976,NIRF,2
977,NKH,2
1600,YDR084C,2
978,NKIR,2
979,NKR,2
1599,XAP4,2
1582,VATB,2
1581,V1S5P,2
1580,UT2,2
1023,OI4,2
1025,OLF4P,2
1026,OP-2,2
1030,OR19-18,2
1565,U62,2
1564,U6,2
1032,OR7E68P,2
1033,ORF1,2
1034,ORF26,2
1563,U5B1,2
1035,ORP1,2
1036,OSCP,2
1037,OSR1,2
1561,U3B2,2
1038,OST,2
1039,OTX3,2
1040,OX2R,2
1041,P0,2
1560,U3,2
1043,P100,2
1558,U19,2
1557,U14,2
1046,P115,2
1049,P13,2
1050,P130,2
1555,TYRO4,2
1024,OLF1,2
1567,UBC2,2
1004,OAT4,2
1568,UBC7,2
1578,UPA,2
1005,OAT6,2
1006,OAZ,2
1007,OB,2
1577,UP2,2
1008,OCC-1,2
1009,OCC1,2
1010,OCIF,2
1011,OCP2,2
1012,OCT1,2
1013,OCT2,2
1575,UNG2,2
1015,ODA6,2
1574,ULG5,2
1572,UGD,2
1571,UFD2,2
1570,UBXD10,2
1016,ODC,2
1017,ODC1L,2
1018,ODD,2
1019,ODZ3,2
1020,OF,2
1021,OFD1P1,2
1022,OFD1P2,2
1569,UBCH8,2
1123,PACAP,2
1322,RPML3,2
1124,PACER,2
1257,PUM,2
1384,SGII,2
1383,SFD,2
1382,SF,2
1378,SEPT2,2
1377,SEP2,2
1375,SEN1,2
1251,PTEX,2
1252,PTH1,2
1374,SEMG,2
1254,PTHR,2
1373,SEMAF,2
1372,SEMA,2
1371,SDR1,2
1248,PTB,2
1259,PXMP1,2
1370,SDP1,2
1261,QARS,2
1262,QP-C,2
1368,SD,2
1263,RAB1,2
1264,RAB39,2
1265,RAD1,2
1266,RAD26L,2
1367,SCP2,2
1366,SCP1,2
1364,SCKL4,2
1385,SGT1,2
1247,PTA1,2
1363,SCCA1,2
1232,PRP4,2
1409,SMILE,2
1408,SMCC,2
1407,SMAP-1,2
1224,PRK1,2
1225,PRKAR2,2
1405,SMAC3L,2
1404,SMA3-L,2
1402,SLT,2
1228,PRO1,2
1401,SLP1,2
1230,PRP,2
1396,SKD1,2
1233,PRR,2
1245,PSMD15,2
1234,PRR2,2
1235,PRSSL1,2
1236,PRX2,2
1237,PS2,2
1393,SIP-1,2
1239,PSEUDO-ICE,2
1240,PSF,2
1390,SIL,2
1243,PSK-1,2
1388,SIGLECP2,2
1244,PSM,2
1386,SGT2,2
1271,RAR,2
1362,SCAR2,2
1125,PACT,2
1309,RNU12P,2
1345,SA,2
1298,RIP-1,2
1343,S8,2
1300,RIP2,2
1301,RIP5,2
1302,RIS1,2
1342,S7,2
1303,RITA,2
1304,RMD1,2
1340,S4,2
1339,S3,2
1335,S100A15,2
1311,ROC1,2
1296,RINZF,2
1332,RTS,2
1331,RTP,2
1330,RSC8,2
1327,RRP17,2
1326,RPT5,2
1325,RPS27AP,2
1315,RP3,2
1316,RP42,2
1317,RP58,2
1318,RP66,2
1319,RP8,2
1323,RPP2,2
1346,SAC3,2
1348,SAP,2
1361,SCAR1,2
1283,REGL,2
1273,RBP,2
1274,RC3,2
1360,SCA31,2
1275,RCD1,2
1276,RCK,2
1359,SBBI31,2
1358,SAX2,2
1279,RDC1,2
1280,RDS,2
1281,RED,2
1357,SAST,2
960,NBR,2
1284,RF1,2
1351,SAP2,2
1356,SAS,2
1285,RH,2
1286,RHBDL4,2
1287,RHEB2,2
1288,RHOGAP2,2
1289,RIF,2
1290,RIF1,2
1292,RIG1,2
1354,SARA,2
1293,RIM,2
1353,SAR1,2
1352,SAPL,2
1410,SMK1,2
1411,SMN,2
1412,SN,2
1161,PDIR,2
1464,TAFII105,2
1463,TAF2C2,2
1462,TAF2A,2
1460,SYT14L,2
1154,PCL,2
1459,SYT,2
1458,SYN,2
1156,PCN,2
1157,PCP,2
1457,SYM1,2
1456,SYD1,2
1160,PDIP1,2
1162,PEN,2
1466,TAMO,2
1455,SWI2,2
1164,PEPP2,2
1165,PERRS,2
1454,SWAP,2
1453,SUR2,2
1166,PFM,2
1167,PFM1,2
1168,PFM2,2
1452,SUH,2
1169,PGAM-B,2
1170,PGDS,2
1451,STX,2
1465,TAK1,2
1467,TAN1,2
1218,PRAF1,2
1135,PAP2,2
1481,TCRAV4S1,2
1480,TCRAV31S1,2
1128,PAFAH,2
