primary_gene_symbol,HGNC_ID,ENSG_ID,NCBI_ID,gene_symbol
AQP5,HGNC:638,ENSG00000161798,GENE ID:362,AQP5
AQP6,HGNC:639,ENSG00000086159,GENE ID:363,AQP6
AQP7,HGNC:640,ENSG00000165269,GENE ID:364,AQP7
AQP9,HGNC:643,ENSG00000103569,GENE ID:366,AQP9
AR,HGNC:644,ENSG00000169083,GENE ID:367,AR
ABCC6,HGNC:57,ENSG00000091262,GENE ID:368,ABCC6
ARAF,HGNC:646,ENSG00000078061,GENE ID:369,ARAF
ARCN1,HGNC:649,ENSG00000095139,GENE ID:372,ARCN1
TRIM23,HGNC:660,ENSG00000113595,GENE ID:373,TRIM23
AREG,HGNC:651,ENSG00000109321,GENE ID:374,AREG
ARF1,HGNC:652,ENSG00000143761,GENE ID:375,ARF1
ARF3,HGNC:654,ENSG00000134287,GENE ID:377,ARF3
ARF4,HGNC:655,ENSG00000168374,GENE ID:378,ARF4
ARL4D,HGNC:656,ENSG00000175906,GENE ID:379,ARL4D
ARF4P1,HGNC:657,,GENE ID:380,ARF4P1
ARF5,HGNC:658,ENSG00000004059,GENE ID:381,ARF5
ARF6,HGNC:659,ENSG00000165527,GENE ID:382,ARF6
ARG1,HGNC:663,ENSG00000118520,GENE ID:383,ARG1
ARG2,HGNC:664,ENSG00000081181,GENE ID:384,ARG2
RHOA,HGNC:667,ENSG00000067560,GENE ID:387,RHOA
RHOB,HGNC:668,ENSG00000143878,GENE ID:388,RHOB
RHOC,HGNC:669,ENSG00000155366,GENE ID:389,RHOC
RND3,HGNC:671,ENSG00000115963,GENE ID:390,RND3
RHOG,HGNC:672,ENSG00000177105,GENE ID:391,RHOG
ARHGAP1,HGNC:673,ENSG00000175220,GENE ID:392,ARHGAP1
ARHGAP4,HGNC:674,ENSG00000089820,GENE ID:393,ARHGAP4
ARHGAP5,HGNC:675,ENSG00000100852,GENE ID:394,ARHGAP5
ARHGAP6,HGNC:676,ENSG00000047648,GENE ID:395,ARHGAP6
ARHGDIA,HGNC:678,ENSG00000141522,GENE ID:396,ARHGDIA
ARHGDIB,HGNC:679,ENSG00000111348,GENE ID:397,ARHGDIB
ARHGDIG,HGNC:680,ENSG00000242173,GENE ID:398,ARHGDIG
RHOH,HGNC:686,ENSG00000168421,GENE ID:399,RHOH
ARL1,HGNC:692,ENSG00000120805,GENE ID:400,ARL1
PHOX2A,HGNC:691,ENSG00000165462,GENE ID:401,PHOX2A
ARL2,HGNC:693,ENSG00000213465,GENE ID:402,ARL2
ARL3,HGNC:694,ENSG00000138175,GENE ID:403,ARL3
ARNT,HGNC:700,ENSG00000143437,GENE ID:405,ARNT
BMAL1,HGNC:701,ENSG00000133794,GENE ID:406,BMAL1
ARR3,HGNC:710,ENSG00000120500,GENE ID:407,ARR3
ARRB1,HGNC:711,ENSG00000137486,GENE ID:408,ARRB1
ARRB2,HGNC:712,ENSG00000141480,GENE ID:409,ARRB2
ARSA,HGNC:713,ENSG00000100299,GENE ID:410,ARSA
ARSB,HGNC:714,ENSG00000113273,GENE ID:411,ARSB
STS,HGNC:11425,ENSG00000101846,GENE ID:412,STS
ARSC2,HGNC:716,,GENE ID:413,ARSC2
ARSD,HGNC:717,ENSG00000006756,GENE ID:414,ARSD
ARSL,HGNC:719,ENSG00000157399,GENE ID:415,ARSL
ARSF,HGNC:721,ENSG00000062096,GENE ID:416,ARSF
ART1,HGNC:723,ENSG00000129744,GENE ID:417,ART1
ART2P,HGNC:724,,GENE ID:418,ART2P
ART3,HGNC:725,ENSG00000156219,GENE ID:419,ART3
ART4,HGNC:726,ENSG00000111339,GENE ID:420,ART4
ARVCF,HGNC:728,ENSG00000099889,GENE ID:421,ARVCF
ASAH1,HGNC:735,ENSG00000104763,GENE ID:427,ASAH1
ASCL1,HGNC:738,ENSG00000139352,GENE ID:429,ASCL1
ASCL2,HGNC:739,ENSG00000183734,GENE ID:430,ASCL2
ASGR1,HGNC:742,ENSG00000141505,GENE ID:432,ASGR1
ASGR2,HGNC:743,ENSG00000161944,GENE ID:433,ASGR2
ASIP,HGNC:745,ENSG00000101440,GENE ID:434,ASIP
ASL,HGNC:746,ENSG00000126522,GENE ID:435,ASL
ASLP1,HGNC:747,,GENE ID:436,ASLP1
ASMT,HGNC:750,ENSG00000292336,GENE ID:438,ASMT
GET3,HGNC:752,ENSG00000198356,GENE ID:439,GET3
ASNS,HGNC:753,ENSG00000070669,GENE ID:440,ASNS
ASNSP2,HGNC:755,,GENE ID:442,ASNSP2
ASPA,HGNC:756,ENSG00000108381,GENE ID:443,ASPA
ASPH,HGNC:757,ENSG00000198363,GENE ID:444,ASPH
ASS1,HGNC:758,ENSG00000130707,GENE ID:445,ASS1
ASS1P2,HGNC:765,ENSG00000223922,GENE ID:447,ASS1P2
ASS1P4,HGNC:767,ENSG00000213487,GENE ID:449,ASS1P4
ASS1P5,HGNC:768,ENSG00000227881,GENE ID:450,ASS1P5
ASS1P6,HGNC:769,ENSG00000215583,GENE ID:451,ASS1P6
ASS1P8,HGNC:771,,GENE ID:453,ASS1P8
ASS1P9,HGNC:772,ENSG00000217791,GENE ID:454,ASS1P9
ASS1P10,HGNC:760,ENSG00000215325,GENE ID:455,ASS1P10
ASS1P14,HGNC:764,ENSG00000257316,GENE ID:459,ASS1P14
