,HGNC_ID,gene_symbol,alias_symbol,NCBI_ID,ENSG_ID
21047,HGNC:23435,CARNMT1,FLJ25795,GENE ID:138199,ENSG00000156017
21048,HGNC:23436,FAM25A,bA96C23.5,GENE ID:643161,ENSG00000188100
21049,HGNC:23437,AKR1E2,MGC10612,GENE ID:83592,ENSG00000165568
21050,HGNC:23437,AKR1E2,HTSP1,GENE ID:83592,ENSG00000165568
21051,HGNC:23437,AKR1E2,htAKR,GENE ID:83592,ENSG00000165568
21052,HGNC:23438,NUTM2A,,GENE ID:728118,ENSG00000184923
21053,HGNC:23440,ZNF485,,GENE ID:220992,ENSG00000198298
21054,HGNC:23442,IFIT1B,bA149I23.6,GENE ID:439996,ENSG00000204010
21055,HGNC:23443,LRIT2,AC022389.4,GENE ID:340745,ENSG00000204033
21056,HGNC:23444,LIPK,bA186O14.2,GENE ID:643414,ENSG00000204021
21057,HGNC:23445,NUTM2B,bA119F19.1,GENE ID:729262,ENSG00000188199
21058,HGNC:23447,NUTM2D,,GENE ID:728130,ENSG00000214562
21059,HGNC:23448,NUTM2E,,GENE ID:283008,ENSG00000228570
21060,HGNC:23449,NUTM2G,,GENE ID:441457,ENSG00000188152
21061,HGNC:2345,CREB1,,GENE ID:1385,ENSG00000118260
21062,HGNC:23450,NUTM2F,DKFZp434I1117,GENE ID:54754,ENSG00000130950
21063,HGNC:23452,LIPN,bA186O14.3,GENE ID:643418,ENSG00000204020
21064,HGNC:23455,LIPM,bA304I5.1,GENE ID:340654,ENSG00000173239
21065,HGNC:23456,ASAH2B,bA449O16.3,GENE ID:653308,ENSG00000204147
21066,HGNC:23456,ASAH2B,ASAH2L,GENE ID:653308,ENSG00000204147
21067,HGNC:23456,ASAH2B,bA98I6.3,GENE ID:653308,ENSG00000204147
21068,HGNC:23458,CALHM3,bA225H22.7,GENE ID:119395,ENSG00000183128
21069,HGNC:23459,AGAP4,Em:AC012044.1,GENE ID:119016,ENSG00000188234
21070,HGNC:23459,AGAP4,MRIP2,GENE ID:119016,ENSG00000188234
21071,HGNC:23460,DYDC1,bA36D19.5,GENE ID:143241,ENSG00000170788
21072,HGNC:23460,DYDC1,DPY30D1,GENE ID:143241,ENSG00000170788
21073,HGNC:23463,AGAP9,bA301J7.2,GENE ID:642517,ENSG00000204172
21074,HGNC:23463,AGAP9,FLJ00312,GENE ID:642517,ENSG00000204172
21075,HGNC:23465,AGAP7P,bA109G10.1,GENE ID:653268,ENSG00000264204
21076,HGNC:23466,AGAP6,bA324H6.1,GENE ID:414189,ENSG00000204149
21077,HGNC:23467,AGAP5,Em:AC073389.1,GENE ID:729092,ENSG00000172650
21078,HGNC:23468,DYDC2,bA36D19.6,GENE ID:84332,ENSG00000133665
21079,HGNC:23468,DYDC2,MGC16186,GENE ID:84332,ENSG00000133665
21080,HGNC:23469,AKR1C8,,GENE ID:340811,ENSG00000264006
21081,HGNC:2347,CREB3,LZIP,GENE ID:10488,ENSG00000107175
21082,HGNC:2347,CREB3,Luman,GENE ID:10488,ENSG00000107175
21083,HGNC:2347,CREB3,sLZIP,GENE ID:10488,ENSG00000107175
21084,HGNC:23470,FAM24A,AC073585.4,GENE ID:118670,ENSG00000203795
21085,HGNC:23471,ANKRD16,DKFZP434N1511,GENE ID:54522,ENSG00000134461
21086,HGNC:23472,SLC25A28,MRS3/4,GENE ID:81894,ENSG00000155287
21087,HGNC:23472,SLC25A28,MRS4L,GENE ID:81894,ENSG00000155287
21088,HGNC:23473,TMEM236,bA16O1.2,GENE ID:653567,ENSG00000148483
21089,HGNC:23473,TMEM236,bA162I21.2,GENE ID:653567,ENSG00000148483
21090,HGNC:23475,FAM24B,MGC45962,GENE ID:196792,ENSG00000213185
21091,HGNC:23475,FAM24B,AC073585.2,GENE ID:196792,ENSG00000213185
21092,HGNC:23476,DOCK5,FLJ21034,GENE ID:80005,ENSG00000147459
21093,HGNC:23477,HLA-U,Em:AB023056.13,GENE ID:352965,ENSG00000228078
21094,HGNC:23478,HLA-T,,GENE ID:352964,ENSG00000231130
21095,HGNC:23479,DOCK10,ZIZ3,GENE ID:55619,ENSG00000135905
21096,HGNC:23479,DOCK10,KIAA0694,GENE ID:55619,ENSG00000135905
21097,HGNC:2348,CREBBP,RTS,GENE ID:1387,ENSG00000005339
21098,HGNC:2348,CREBBP,CBP,GENE ID:1387,ENSG00000005339
21099,HGNC:2348,CREBBP,KAT3A,GENE ID:1387,ENSG00000005339
21100,HGNC:23480,FOXK1,IMAGE:5164497,GENE ID:221937,ENSG00000164916
21101,HGNC:23481,DUSP29,DUSP27,GENE ID:338599,ENSG00000188716
21102,HGNC:23482,HLA-V,dJ377H14.4,GENE ID:352962,ENSG00000181126
21103,HGNC:23483,DOCK11,FLJ32122,GENE ID:139818,ENSG00000147251
21104,HGNC:23483,DOCK11,FLJ43653,GENE ID:139818,ENSG00000147251
21105,HGNC:23483,DOCK11,ZIZ2,GENE ID:139818,ENSG00000147251
21106,HGNC:23483,DOCK11,ACG,GENE ID:139818,ENSG00000147251
21107,HGNC:23484,TASOR2,FLJ20360,GENE ID:54906,ENSG00000108021
21108,HGNC:23484,TASOR2,bA318E3.2,GENE ID:54906,ENSG00000108021
21109,HGNC:23484,TASOR2,KIAA2006,GENE ID:54906,ENSG00000108021
21110,HGNC:23485,MORC4,ZCW4,GENE ID:79710,ENSG00000133131
21111,HGNC:23485,MORC4,FLJ11565,GENE ID:79710,ENSG00000133131
21112,HGNC:23486,ZCWPW1,FLJ10057,GENE ID:55063,ENSG00000078487
21113,HGNC:23486,ZCWPW1,DKFZp434N0510,GENE ID:55063,ENSG00000078487
21114,HGNC:23486,ZCWPW1,ZCW1,GENE ID:55063,ENSG00000078487
21115,HGNC:23487,IDI2,IPPI2,GENE ID:91734,ENSG00000148377
21116,HGNC:23488,ZNF487,,GENE ID:642819,ENSG00000243660
21117,HGNC:23489,ECHDC3,FLJ20909,GENE ID:79746,ENSG00000134463
21118,HGNC:2349,ATF6B,G13,GENE ID:1388,ENSG00000213676
