,collision,ENSG_ID,gene_symbol,source
30,AAT1,"ENSG00000183833, ENSG00000167701","CFAP91, GPT",NCBI
31,AB14,"ENSG00000266338, ENSG00000219481","NBPF15, NBPF1",NCBI
32,ABC1,"ENSG00000068097, ENSG00000165029","HEATR6, ABCA1",NCBI
33,ABH4,"ENSG00000160993, ENSG00000100439","ALKBH4, ABHD4",NCBI
34,ABL,"ENSG00000097007, ENSG00000138823, ENSG00000261189","ABL1, MTTP, DSP-AS1",NCBI
35,ABP,"ENSG00000002726, ENSG00000129214","AOC1, SHBG",NCBI
36,ABP-280,"ENSG00000128591, ENSG00000136068, ENSG00000196924","FLNC, FLNB, FLNA",NCBI
37,ABP1,"ENSG00000136279, ENSG00000002726","DBNL, AOC1",NCBI
38,AC1,"ENSG00000082929, ENSG00000164742","LINC01587, ADCY1",NCBI
39,ACA59,"nan, ENSG00000239149","SNORA59B, SNORA59A",NCBI
40,ACAT,"ENSG00000198848, ENSG00000075239, ENSG00000057252","CES1, ACAT1, SOAT1",NCBI
41,ACBP,"ENSG00000155368, ENSG00000178772","DBI, CPN2",NCBI
42,ACC,"ENSG00000278540, ENSG00000165733","ACACA, BMS1",NCBI
43,ACC1,"ENSG00000140379, ENSG00000278540","BCL2A1, ACACA",NCBI
44,ACC2,"ENSG00000076555, ENSG00000140379","ACACB, BCL2A1",NCBI
45,ACCA,"ENSG00000278540, ENSG00000181773","ACACA, GPR3",NCBI
46,ACECS1,"ENSG00000154930, ENSG00000131069","ACSS1, ACSS2",NCBI
47,ACHRD,"ENSG00000135902, ENSG00000138435","CHRND, CHRNA1",NCBI
48,ACLS,"ENSG00000106571, ENSG00000166813","GLI3, KIF7",NCBI
49,ACN,"ENSG00000100813, ENSG00000186575","ACIN1, NF2",NCBI
50,ACP,"ENSG00000004779, nan","NDUFAB1, CPAT1",NCBI
51,ACRP,"ENSG00000091640, ENSG00000119326","SPAG7, CTNNAL1",NCBI
52,ACS,"ENSG00000110455, ENSG00000103066, ENSG00000131069","ACCS, PLA2G15, ACSS2",NCBI
53,ACS2,"ENSG00000164398, ENSG00000197142","ACSL6, ACSL5",NCBI
54,ACS3,"ENSG00000123983, ENSG00000122691","ACSL3, TWIST1",NCBI
55,ACSM2,"ENSG00000066813, ENSG00000183747","ACSM2B, ACSM2A",NCBI
56,ACT,"ENSG00000222036, nan, ENSG00000112214, ENSG00000097021, ENSG00000184009, ENSG00000196136, ENSG00000169067, ENSG00000163017","POTEM, POTEKP, FHL5, ACOT7, ACTG1, SERPINA3, ACTBL2, ACTG2",NCBI
57,ACTBL1,"ENSG00000187537, ENSG00000198062","POTEG, POTEH",NCBI
58,ACTL6,"ENSG00000077080, ENSG00000136518","ACTL6B, ACTL6A",NCBI
59,ACVRLK4,"ENSG00000135503, ENSG00000106799","ACVR1B, TGFBR1",NCBI
60,AD1,"ENSG00000142192, ENSG00000135404","APP, CD63",NCBI
61,AD2,"ENSG00000130203, ENSG00000219481","APOE, NBPF1",NCBI
62,AD3,"ENSG00000080815, ENSG00000204634","PSEN1, TBC1D8",NCBI
63,ADA1,"ENSG00000152382, ENSG00000196839","TADA1, ADA",NCBI
64,ADAMTS-2,"ENSG00000087116, ENSG00000158859","ADAMTS2, ADAMTS4",NCBI
65,ADAMTS-4,"ENSG00000156140, ENSG00000158859","ADAMTS3, ADAMTS4",NCBI
66,ADC,"ENSG00000142920, ENSG00000144644","AZIN2, GADL1",NCBI
67,ADF,"ENSG00000125868, ENSG00000148180","DSTN, GSN",NCBI
68,ADHR,"ENSG00000118972, ENSG00000126895","FGF23, AVPR2",NCBI
69,ADIR2,"ENSG00000186283, ENSG00000110713","TOR3A, NUP98",NCBI
70,ADORA2,"ENSG00000128271, ENSG00000170425","ADORA2A, ADORA2B",NCBI
71,ADPN,"ENSG00000100344, ENSG00000181092","PNPLA3, ADIPOQ",NCBI
72,ADPRTL2,"ENSG00000041880, ENSG00000129484","PARP3, PARP2",NCBI
73,ADPRTL3,"ENSG00000041880, ENSG00000129484","PARP3, PARP2",NCBI
74,ADR,"ENSG00000161513, ENSG00000085662","FDXR, AKR1B1",NCBI
