,primary_gene_symbol,alias_symbol,HGNC_ID,ENSG_ID,NCBI_ID
11064,CAV1,VIP21,{'HGNC:1527'},{'ENSG00000105974'},{'GENE ID:857'}
11065,CAV1,,{'HGNC:1527'},{'ENSG00000105974'},{'GENE ID:857'}
11066,CAV2,CAV,{'HGNC:1528'},{'ENSG00000105971'},{'GENE ID:858'}
11067,CAV2-DT,AC002066.1,{'HGNC:40129'},{'ENSG00000237813'},set()
11068,CAV2-DT,,{'HGNC:40129'},{'ENSG00000237813'},{'GENE ID:107986838'}
11069,CAV3,LGMD1C,{'HGNC:1529'},{'ENSG00000182533'},{'GENE ID:859'}
11070,CAV3,LQT9,{'HGNC:1529'},{'ENSG00000182533'},{'GENE ID:859'}
11071,CAV3,MPDT,{'HGNC:1529'},{'ENSG00000182533'},{'GENE ID:859'}
11072,CAV3,RMD2,{'HGNC:1529'},{'ENSG00000182533'},{'GENE ID:859'}
11073,CAV3,VIP-21,{'HGNC:1529'},{'ENSG00000182533'},{'GENE ID:859'}
11074,CAV3,VIP21,{'HGNC:1529'},{'ENSG00000182533'},{'GENE ID:859'}
11075,CAVIN1,CAVIN,{'HGNC:9688'},{'ENSG00000177469'},{'GENE ID:284119'}
11076,CAVIN1,CAVIN-1,{'HGNC:9688'},{'ENSG00000177469'},{'GENE ID:284119'}
11077,CAVIN1,CGL4,{'HGNC:9688'},{'ENSG00000177469'},{'GENE ID:284119'}
11078,CAVIN1,FKSG13,{'HGNC:9688'},{'ENSG00000177469'},{'GENE ID:284119'}
11079,CAVIN1,PTRF,{'HGNC:9688'},{'ENSG00000177469'},{'GENE ID:284119'}
11080,CAVIN1,cavin-1,{'HGNC:9688'},{'ENSG00000177469'},{'GENE ID:284119'}
11081,CAVIN2,CAVIN-2,{'HGNC:10690'},{'ENSG00000168497'},{'GENE ID:8436'}
11082,CAVIN2,PS-P68,{'HGNC:10690'},{'ENSG00000168497'},{'GENE ID:8436'}
11083,CAVIN2,PS-p68,{'HGNC:10690'},{'ENSG00000168497'},{'GENE ID:8436'}
11084,CAVIN2,SDPR,{'HGNC:10690'},{'ENSG00000168497'},{'GENE ID:8436'}
11085,CAVIN2,SDR,{'HGNC:10690'},{'ENSG00000168497'},{'GENE ID:8436'}
11086,CAVIN2,cavin-2,{'HGNC:10690'},{'ENSG00000168497'},{'GENE ID:8436'}
11087,CAVIN2-AS1,LOC105373813,{'HGNC:40517'},{'ENSG00000233766'},{'GENE ID:105373813'}
11088,CAVIN2-AS1,,{'HGNC:40517'},set(),{'GENE ID:105373813'}
11089,CAVIN3,CAVIN-3,{'HGNC:9400'},{'ENSG00000170955'},{'GENE ID:112464'}
11090,CAVIN3,HSRBC,{'HGNC:9400'},{'ENSG00000170955'},{'GENE ID:112464'}
11091,CAVIN3,MGC20400,{'HGNC:9400'},{'ENSG00000170955'},{'GENE ID:112464'}
11092,CAVIN3,PRKCDBP,{'HGNC:9400'},{'ENSG00000170955'},{'GENE ID:112464'}
11093,CAVIN3,SRBC,{'HGNC:9400'},{'ENSG00000170955'},{'GENE ID:112464'}
11094,CAVIN3,cavin-3,{'HGNC:9400'},{'ENSG00000170955'},{'GENE ID:112464'}
11095,CAVIN4,CAVIN-4,{'HGNC:33742'},{'ENSG00000170681'},{'GENE ID:347273'}
11096,CAVIN4,MURC,{'HGNC:33742'},{'ENSG00000170681'},{'GENE ID:347273'}
11097,CAVIN4,cavin-4,{'HGNC:33742'},{'ENSG00000170681'},{'GENE ID:347273'}
11098,CBARP,BARP,{'HGNC:28617'},{'ENSG00000099625'},{'GENE ID:255057'}
11099,CBARP,C19ORF26,{'HGNC:28617'},{'ENSG00000099625'},{'GENE ID:255057'}
11100,CBARP,C19orf26,{'HGNC:28617'},{'ENSG00000099625'},{'GENE ID:255057'}
11101,CBARP,DOS,{'HGNC:28617'},{'ENSG00000099625'},{'GENE ID:255057'}
11102,CBARP,MGC40084,{'HGNC:28617'},{'ENSG00000099625'},{'GENE ID:255057'}
11103,CBARP-DT,,{'HGNC:55285'},{'ENSG00000267778'},{'GENE ID:118827813'}
11104,CBFA2T2,EHT,{'HGNC:1536'},{'ENSG00000078699'},{'GENE ID:9139'}
11105,CBFA2T2,MTGR1,{'HGNC:1536'},{'ENSG00000078699'},{'GENE ID:9139'}
