,ENSG_ID,NCBI_ID,HGNC_ID,alias_symbol,gene_symbol
108250,ENSG00000238517,100302179,35338,HSA-MIR-1270,MIR1270
108251,ENSG00000238517,100302179,35338,HSA-MIR-1270-2,MIR1270
108252,ENSG00000238517,100302179,35338,MIR1270-1,MIR1270
108253,ENSG00000238517,100302179,35338,MIR1270-2,MIR1270
108254,ENSG00000238517,100302179,35338,MIRN1270,MIR1270
108256,ENSG00000189058,347,612,APO-D,APOD
108273,ENSG00000285967,646719,51293,NIPBL-AS,NIPBL-DT
108274,ENSG00000285967,646719,51293,NIPBL-AS1,NIPBL-DT
108276,ENSG00000277681,102466724,50165,HSA-MIR-6739,MIR6739
108277,ENSG00000198892,149345,27139,C1ORF40,SHISA4
108278,ENSG00000198892,149345,27139,HSHISA4,SHISA4
108279,ENSG00000198892,149345,27139,TMEM58,SHISA4
108282,ENSG00000230943,101927686,53574,RP11-367G18.1,LINC02541
108285,ENSG00000229676,57615,23707,KIAA1473,ZNF492
108286,ENSG00000229676,57615,23707,ZNF115,ZNF492
108288,ENSG00000110427,25758,24836,C11ORF41,KIAA1549L
108289,ENSG00000110427,25758,24836,C11ORF69,KIAA1549L
108290,ENSG00000110427,25758,24836,G2,KIAA1549L
108291,ENSG00000110427,25758,24836,MGC34830,KIAA1549L
108295,ENSG00000186364,200035,26618,FLJ34433,NUDT17
108302,ENSG00000113966,84100,13210,BBS3,ARL6
108303,ENSG00000113966,84100,13210,RP55,ARL6
108304,ENSG00000224186,100996485,48332,C5ORF66,PITX1-AS1
108318,ENSG00000131788,10401,16861,FLJ14651,PIAS3
108319,ENSG00000131788,10401,16861,ZMIZ5,PIAS3
108321,ENSG00000168906,4144,6904,MAT-II,MAT2A
108322,ENSG00000168906,4144,6904,MATA2,MAT2A
108323,ENSG00000168906,4144,6904,MATII,MAT2A
108324,ENSG00000168906,4144,6904,SAMS2,MAT2A
108330,ENSG00000135363,4005,6642,RBTN2,LMO2
108331,ENSG00000135363,4005,6642,RBTNL1,LMO2
108332,ENSG00000135363,4005,6642,RHOM2,LMO2
108333,ENSG00000135363,4005,6642,TTG2,LMO2
108347,ENSG00000249082,101927953,49679,C5ORF66-AS1,EPIST
108348,ENSG00000249082,101927953,49679,CTC-276P9.1,EPIST
108357,ENSG00000242983,,31902,CABYRP,CABYRP1
108361,ENSG00000144771,57408,25023,HT017,LRTM1
108366,ENSG00000135387,4076,6743,CAPRIN-1,CAPRIN1
108367,ENSG00000135387,4076,6743,GPIAP1,CAPRIN1
108368,ENSG00000135387,4076,6743,M11S1,CAPRIN1
108369,ENSG00000135387,4076,6743,RNG105,CAPRIN1
108377,ENSG00000118640,8673,12647,EDB,VAMP8
108378,ENSG00000118640,8673,12647,VAMP-8,VAMP8
108379,ENSG00000157388,776,1391,CACH3,CACNA1D
108380,ENSG00000157388,776,1391,CACN4,CACNA1D
108381,ENSG00000157388,776,1391,CACNL1A2,CACNA1D
108382,ENSG00000157388,776,1391,CAV1.3,CACNA1D
108383,ENSG00000157388,776,1391,CCHL1A2,CACNA1D
108392,ENSG00000249379,105375095,56649,AL033397.2,GCLC-AS1
108395,ENSG00000168894,51255,28037,HSPC238,RNF181
108400,ENSG00000251141,100506674,53420,BRCAT54,MRPS30-DT
108405,ENSG00000278549,102466191,50072,HSA-MIR-6736,MIR6736
108412,ENSG00000252272,,43370,RN5S470,RNA5SP470
108414,ENSG00000169021,7386,12587,RIP1,UQCRFS1
108415,ENSG00000169021,7386,12587,RIS1,UQCRFS1
108416,ENSG00000169021,7386,12587,RISP,UQCRFS1
108417,ENSG00000169021,7386,12587,UQCR5,UQCRFS1
108423,ENSG00000168890,129303,24677,FLJ90024,TMEM150A
108424,ENSG00000168890,129303,24677,TM6P1,TMEM150A
108425,ENSG00000168890,129303,24677,TMEM150,TMEM150A
108426,ENSG00000168890,129303,24677,TTN1,TMEM150A
108427,ENSG00000265241,9939,9905,BOV-1A,RBM8A
108428,ENSG00000265241,9939,9905,BOV-1B,RBM8A
108429,ENSG00000265241,9939,9905,BOV-1C,RBM8A
108430,ENSG00000265241,9939,9905,RBM8,RBM8A
108431,ENSG00000265241,9939,9905,Y14,RBM8A
108432,ENSG00000265241,9939,9905,ZNRP,RBM8A
108433,ENSG00000105171,10775,30081,RPP29,POP4
108449,ENSG00000116489,829,1488,CAPPA1,CAPZA1
108458,ENSG00000159335,5763,9629,PARAT,PTMS
108466,ENSG00000108506,57508,29241,INT2,INTS2
108467,ENSG00000108506,57508,29241,KIAA1287,INTS2
108472,ENSG00000121297,57616,30700,KIAA1474,TSHZ3
108473,ENSG00000121297,57616,30700,TSH3,TSHZ3
108474,ENSG00000121297,57616,30700,ZNF537,TSHZ3
108475,ENSG00000168883,10713,20071,CGI-21,USP39
108476,ENSG00000168883,10713,20071,SAD1,USP39
108477,ENSG00000168883,10713,20071,SNRNP65,USP39
108483,ENSG00000231776,,51791,RP1-90L14.1,LINC01611
108484,ENSG00000231776,,51791,TCONS_L2_00025430,LINC01611
108485,ENSG00000139546,6895,11569,TRBP,TARBP2
108488,ENSG00000245694,101927480,37078,CRNDEP,CRNDE
108489,ENSG00000245694,101927480,37078,LINC00180,CRNDE
108490,ENSG00000245694,101927480,37078,LOC643911,CRNDE
108491,ENSG00000252750,,34166,U7.70,RNU7-70P
108495,ENSG00000135372,55226,29830,FLJ10774,NAT10
108496,ENSG00000135372,55226,29830,FLJ12179,NAT10
108497,ENSG00000135372,55226,29830,HALP,NAT10
108498,ENSG00000135372,55226,29830,KIAA1709,NAT10
108499,ENSG00000135372,55226,29830,KRE33,NAT10
108500,ENSG00000135372,55226,29830,NET43,NAT10
108501,ENSG00000185897,2865,4499,FFA3R,FFAR3
108502,ENSG00000185897,2865,4499,GPR41,FFAR3
108505,ENSG00000155366,389,669,ARH9,RHOC
108506,ENSG00000155366,389,669,ARHC,RHOC
108511,ENSG00000126251,2866,4500,FFAR3L,GPR42
108512,ENSG00000126251,2866,4500,GPR41L,GPR42
108513,ENSG00000126251,2866,4500,GPR42P,GPR42
108517,ENSG00000268222,,3202,EEF1AL5,EEF1A1P7
108523,ENSG00000126262,2867,4501,FFA2R,FFAR2
108524,ENSG00000126262,2867,4501,GPR43,FFAR2
108529,ENSG00000267041,342892,27994,ZNF850P,ZNF850
108535,ENSG00000164621,9597,30586,DAMS,SMAD5-AS1
108536,ENSG00000164621,9597,30586,SMAD5OS,SMAD5-AS1
108547,ENSG00000108510,9969,22474,KIAA0593,MED13
108548,ENSG00000108510,9969,22474,THRAP1,MED13
108549,ENSG00000108510,9969,22474,TRAP240,MED13
108557,ENSG00000278617,102465873,50105,HSA-MIR-8074,MIR8074
108564,ENSG00000254760,,40718,AC008750.1,SIGLEC10-AS2
108570,ENSG00000224032,,30749,C5ORF26,EPB41L4A-AS1
108571,ENSG00000224032,,30749,NCRNA00219,EPB41L4A-AS1
108572,ENSG00000224032,,30749,TIGA1,EPB41L4A-AS1
108580,ENSG00000196867,140612,17801,KIAA1431,ZFP28
108581,ENSG00000196867,140612,17801,MKR5,ZFP28
108583,ENSG00000175967,,54660,FLJ34503,LINC02880
108606,ENSG00000266066,,28865,POLRMTL,POLRMTP1
108609,ENSG00000108984,5608,6846,MAPKK6,MAP2K6
108610,ENSG00000108984,5608,6846,MEK6,MAP2K6
108611,ENSG00000108984,5608,6846,MKK6,MAP2K6
108612,ENSG00000108984,5608,6846,PRKMK6,MAP2K6
108613,ENSG00000108984,5608,6846,SAPKK3,MAP2K6
108615,ENSG00000197016,388566,22220,CZF-1,ZNF470
108616,ENSG00000197016,388566,22220,FLJ26175,ZNF470
108619,ENSG00000248587,101929745,43592,GDNFOS,GDNF-AS1
108626,ENSG00000268847,,16072,SIGLECP15,SIGLEC31P
108629,ENSG00000197951,58491,13141,COS26,ZNF71
108630,ENSG00000197951,58491,13141,EZFIT,ZNF71
108632,ENSG00000115523,10578,4414,D2S69E,GNLY
108633,ENSG00000115523,10578,4414,LAG-2,GNLY
108634,ENSG00000115523,10578,4414,LAG2,GNLY
