primary_gene_symbol,HGNC_ID,ENSG_ID,NCBI_ID,gene_symbol
ABCC4,HGNC:55,ENSG00000125257,GENE ID:10257,MOAT-B
ABCC4,HGNC:55,ENSG00000125257,GENE ID:10257,MOATB
ABCC4,HGNC:55,ENSG00000125257,GENE ID:10257,MRP4
FECH,HGNC:3647,ENSG00000066926,GENE ID:2235,
PGAM1P12,HGNC:42459,ENSG00000250825,,
EEF2KMT,HGNC:32221,ENSG00000118894,GENE ID:196483,EFM3
EEF2KMT,HGNC:32221,ENSG00000118894,GENE ID:196483,FAM86A
EEF2KMT,HGNC:32221,ENSG00000118894,GENE ID:196483,MGC19636
EEF2KMT,HGNC:32221,ENSG00000118894,GENE ID:196483,SB153
TUBAP4,HGNC:44569,ENSG00000261665,,TUBA8P2
RPL5P17,HGNC:36605,ENSG00000243859,,
ADAM10,HGNC:188,ENSG00000137845,GENE ID:102,CD156C
ADAM10,HGNC:188,ENSG00000137845,GENE ID:102,HST18717
ADAM10,HGNC:188,ENSG00000137845,GENE ID:102,KUZ
ADAM10,HGNC:188,ENSG00000137845,GENE ID:102,MADM
TRPC7-AS2,HGNC:40937,ENSG00000250947,GENE ID:106478968,
TOMM40P3,HGNC:54632,ENSG00000249360,,
KPNA7,HGNC:21839,ENSG00000284068,GENE ID:402569,IPOA8
TMEM171,HGNC:27031,ENSG00000157111,GENE ID:134285,PRP2
BHLHE22,HGNC:11963,ENSG00000180828,GENE ID:27319,BETA3
BHLHE22,HGNC:11963,ENSG00000180828,GENE ID:27319,BHLHB5
BHLHE22,HGNC:11963,ENSG00000180828,GENE ID:27319,CAGL85
BHLHE22,HGNC:11963,ENSG00000180828,GENE ID:27319,TNRC20
MAL2,HGNC:13634,ENSG00000147676,GENE ID:114569,
SERPINE1,HGNC:8583,ENSG00000106366,GENE ID:5054,PAI
SERPINE1,HGNC:8583,ENSG00000106366,GENE ID:5054,PAI1
SERPINE1,HGNC:8583,ENSG00000106366,GENE ID:5054,PLANH1
GGTLC5P,HGNC:33427,ENSG00000276160,,
CYP2A6,HGNC:2610,ENSG00000255974,GENE ID:1548,CPA6
CYP2A6,HGNC:2610,ENSG00000255974,GENE ID:1548,CYP2A
CYP2A6,HGNC:2610,ENSG00000255974,GENE ID:1548,CYP2A3
PSMC1P10,HGNC:39785,ENSG00000236348,,
SUPT4H1P1,HGNC:33981,ENSG00000226247,,SUPT4H1P
PPP1R26P3,HGNC:42017,ENSG00000275060,,KIAA0649P3
TUBA8,HGNC:12410,ENSG00000183785,GENE ID:51807,TUBAL2
PGGT1B,HGNC:8895,ENSG00000164219,GENE ID:5229,BGGI
PGGT1B,HGNC:8895,ENSG00000164219,GENE ID:5229,GGTI
BCAP29,HGNC:24131,ENSG00000283852,GENE ID:55973,BAP29
BCAP29,HGNC:24131,ENSG00000283852,GENE ID:55973,DKFZP686M2086
NDUFB9P3,HGNC:52271,ENSG00000253994,,
USP34,HGNC:20066,ENSG00000115464,GENE ID:9736,KIAA0570
USP34,HGNC:20066,ENSG00000115464,GENE ID:9736,KIAA0729
KCNB2,HGNC:6232,ENSG00000182674,GENE ID:9312,KV2.2
Y_RNA,,ENSG00000206797,,
ASPN,HGNC:14872,ENSG00000106819,GENE ID:54829,FLJ20129
ASPN,HGNC:14872,ENSG00000106819,GENE ID:54829,PLAP-1
ASPN,HGNC:14872,ENSG00000106819,GENE ID:54829,SLRR1C
BTF3P12,HGNC:1127,ENSG00000213003,,BTF3L2
BTF3P12,HGNC:1127,ENSG00000213003,,HUMBTFC
CSNK2A1,HGNC:2457,ENSG00000101266,GENE ID:1457,CKA1
CSNK2A1,HGNC:2457,ENSG00000101266,GENE ID:1457,CKA2
FAM91A1,HGNC:26306,ENSG00000176853,GENE ID:157769,FLJ23790
RPL21P74,HGNC:35854,ENSG00000237551,,
VSTM2A-OT1,HGNC:50770,ENSG00000224223,GENE ID:285878,
HINT1P2,HGNC:38049,ENSG00000271159,,
PON1,HGNC:9204,ENSG00000005421,GENE ID:5444,ESA
PON1,HGNC:9204,ENSG00000005421,GENE ID:5444,PON
AIFM1,HGNC:8768,ENSG00000156709,GENE ID:9131,AIF
AIFM1,HGNC:8768,ENSG00000156709,GENE ID:9131,AUNX1
AIFM1,HGNC:8768,ENSG00000156709,GENE ID:9131,CMTX4
AIFM1,HGNC:8768,ENSG00000156709,GENE ID:9131,DFNX5
AIFM1,HGNC:8768,ENSG00000156709,GENE ID:9131,NAMSD
AIFM1,HGNC:8768,ENSG00000156709,GENE ID:9131,PDCD8
MYBPC1,HGNC:7549,ENSG00000196091,GENE ID:4604,SSMYBP-C
METTL5P1,HGNC:56501,ENSG00000258587,,
DLST,HGNC:2911,ENSG00000119689,GENE ID:1743,DLTS
DLST,HGNC:2911,ENSG00000119689,GENE ID:1743,KGD2
DLST,HGNC:2911,ENSG00000119689,GENE ID:1743,OGDC-E2
BLOC1S3,HGNC:20914,ENSG00000189114,GENE ID:388552,BLOS3
BLOC1S3,HGNC:20914,ENSG00000189114,GENE ID:388552,HPS8
ADSL,HGNC:291,ENSG00000239900,GENE ID:158,
MIR4670,HGNC:41862,ENSG00000264158,GENE ID:100616351,HSA-MIR-4670
RPL21P86,HGNC:37032,ENSG00000213669,,
KIF27,HGNC:18632,ENSG00000165115,GENE ID:55582,DKFZP434D0917
CYP2A7P2,HGNC:2613,ENSG00000198251,,CYP2A18PC
RNF180,HGNC:27752,ENSG00000164197,GENE ID:285671,
ARHGEF17,HGNC:21726,ENSG00000110237,GENE ID:9828,KIAA0337
ARHGEF17,HGNC:21726,ENSG00000110237,GENE ID:9828,P164-RHOGEF
ARHGEF17,HGNC:21726,ENSG00000110237,GENE ID:9828,TEM4
CDKL2,HGNC:1782,ENSG00000138769,GENE ID:8999,KKIAMRE
CDKL2,HGNC:1782,ENSG00000138769,GENE ID:8999,P56
COX7A1,HGNC:2287,ENSG00000161281,GENE ID:1346,COX7A
COX7A1,HGNC:2287,ENSG00000161281,GENE ID:1346,COX7AH
ADAMTSL3,HGNC:14633,ENSG00000291606,GENE ID:57188,KIAA1233
ADAMTSL3,HGNC:14633,ENSG00000291606,GENE ID:57188,PUNCTIN-2
HGF,HGNC:4893,ENSG00000019991,GENE ID:3082,DFNB39
HGF,HGNC:4893,ENSG00000019991,GENE ID:3082,F-TCF
HGF,HGNC:4893,ENSG00000019991,GENE ID:3082,HGFB
HGF,HGNC:4893,ENSG00000019991,GENE ID:3082,HPTA
HGF,HGNC:4893,ENSG00000019991,GENE ID:3082,SF
TUBAP4,HGNC:44569,ENSG00000291607,,TUBA8P2
SH3GL3,HGNC:10832,ENSG00000291608,GENE ID:6457,CNSA3
SH3GL3,HGNC:10832,ENSG00000291608,GENE ID:6457,EEN-B2
SH3GL3,HGNC:10832,ENSG00000291608,GENE ID:6457,HST19371
SH3GL3,HGNC:10832,ENSG00000291608,GENE ID:6457,SH3D2C
SH3GL3,HGNC:10832,ENSG00000291608,GENE ID:6457,SH3P13
SH3GL3,HGNC:10832,ENSG00000140600,GENE ID:6457,CNSA3
SH3GL3,HGNC:10832,ENSG00000140600,GENE ID:6457,EEN-B2
SH3GL3,HGNC:10832,ENSG00000140600,GENE ID:6457,HST19371
SH3GL3,HGNC:10832,ENSG00000140600,GENE ID:6457,SH3D2C
SH3GL3,HGNC:10832,ENSG00000140600,GENE ID:6457,SH3P13
SRP68P2,HGNC:30426,ENSG00000227689,,SRPSMCR
ENPP7P14,HGNC:51387,ENSG00000273963,,
RNU6-401P,HGNC:47364,ENSG00000291609,,
RNU6-1339P,HGNC:48302,ENSG00000291610,,
LINC02164,HGNC:53025,ENSG00000261811,,
CSPG4P11,HGNC:48363,ENSG00000291612,,
Metazoa_SRP,,ENSG00000276532,,
RN7SL331P,HGNC:46347,ENSG00000291613,,
UBE2Q2P8,HGNC:49521,ENSG00000291614,,
RN7SL417P,HGNC:46433,ENSG00000291616,,
RPS3AP48,HGNC:36792,ENSG00000242278,,
CSPG4P5,HGNC:29403,ENSG00000291618,,
UBE2Q2P11,HGNC:49522,ENSG00000291619,,
UBE2Q2P12,HGNC:49523,ENSG00000291620,,
PAIP1P2,HGNC:56189,ENSG00000174977,,
SNRPCP20,HGNC:49835,ENSG00000267182,,
UBE2SP2,HGNC:32196,ENSG00000224126,,
NPM1P3,HGNC:7923,ENSG00000261007,,NG3-3
NPM1P3,HGNC:7923,ENSG00000261007,,NPM1P15
NPM1P3,HGNC:7923,ENSG00000261007,,NPMP3
LINC01570,HGNC:51382,ENSG00000260338,,
ZSCAN2,HGNC:20994,ENSG00000291625,GENE ID:54993,FLJ20595
ZSCAN2,HGNC:20994,ENSG00000291625,GENE ID:54993,ZFP29
ZSCAN2,HGNC:20994,ENSG00000291625,GENE ID:54993,ZNF854
FBXW10,HGNC:1211,ENSG00000171931,GENE ID:10517,C17ORF1
