,HGNC_ID,ENSG_ID,NCBI_ID,primary_gene_symbol,gene_symbol,captured,captured as:
139486,{'HGNC:25489'},{'ENSG00000163872'},{'GENE ID:55689'},YEATS2,KIAA1197,T,Placeholder Symbol
139487,{'HGNC:25489'},{'ENSG00000163872'},{'GENE ID:55689'},YEATS2,YEATS2,T,Primary Gene Symbol
139488,{'HGNC:41101'},{'ENSG00000233885'},{'GENE ID:100874113'},YEATS2-AS1,YEATS2-AS1,T,Primary Gene Symbol
139489,{'HGNC:24859'},{'ENSG00000127337'},{'GENE ID:8089'},YEATS4,4930573H17Rik,F,
139490,{'HGNC:24859'},{'ENSG00000127337'},{'GENE ID:8089'},YEATS4,B230215M10Rik,F,
139491,{'HGNC:24859'},{'ENSG00000127337'},{'GENE ID:8089'},YEATS4,GAS41,F,
139492,{'HGNC:24859'},{'ENSG00000127337'},{'GENE ID:8089'},YEATS4,NUBI-1,F,
139493,{'HGNC:24859'},{'ENSG00000127337'},{'GENE ID:8089'},YEATS4,NuBI-1,F,
139494,{'HGNC:24859'},{'ENSG00000127337'},{'GENE ID:8089'},YEATS4,YAF9,T,Ortholog Symbol
139495,{'HGNC:24859'},{'ENSG00000127337'},{'GENE ID:8089'},YEATS4,YEATS4,T,Primary Gene Symbol
139496,{'HGNC:12841'},{'ENSG00000176105'},{'GENE ID:7525'},YES1,C-YES,T,Alternate Abbreviation Symbol
139497,{'HGNC:12841'},{'ENSG00000176105'},{'GENE ID:7525'},YES1,HST441,F,
139498,{'HGNC:12841'},{'ENSG00000176105'},{'GENE ID:7525'},YES1,HsT441,F,
139499,{'HGNC:12841'},{'ENSG00000176105'},{'GENE ID:7525'},YES1,P61-YES,T,Alternate Abbreviation Symbol
139500,{'HGNC:12841'},{'ENSG00000176105'},{'GENE ID:7525'},YES1,YES,T,Withdrawn Ortholog Symbol
139501,{'HGNC:12841'},{'ENSG00000176105'},{'GENE ID:7525'},YES1,YES1,T,Primary Gene Symbol
139502,{'HGNC:12841'},{'ENSG00000176105'},{'GENE ID:7525'},YES1,Yes,T,Alternate Abbreviation Symbol
139503,{'HGNC:12841'},{'ENSG00000176105'},{'GENE ID:7525'},YES1,c-yes,T,Alternate Abbreviation Symbol
139504,{'HGNC:12842'},{'ENSG00000224003'},{'GENE ID:7526'},YES1P1,D22S670,F,
139505,{'HGNC:12842'},{'ENSG00000224003'},{'GENE ID:7526'},YES1P1,SYR,T,Previous Symbol
139506,{'HGNC:12842'},{'ENSG00000224003'},{'GENE ID:7526'},YES1P1,YES1P1,T,Primary Gene Symbol
139507,{'HGNC:12842'},{'ENSG00000224003'},{'GENE ID:7526'},YES1P1,YES2,T,Previous Symbol
139508,{'HGNC:12842'},{'ENSG00000224003'},{'GENE ID:7526'},YES1P1,YESP,T,Previous Symbol
139509,{'HGNC:16688'},{'ENSG00000174851'},{'GENE ID:10897'},YIF1A,54TM,F,
139510,{'HGNC:16688'},{'ENSG00000174851'},{'GENE ID:10897'},YIF1A,FINGER7,F,
139511,{'HGNC:16688'},{'ENSG00000174851'},{'GENE ID:10897'},YIF1A,FinGER7,F,
139512,{'HGNC:16688'},{'ENSG00000174851'},{'GENE ID:10897'},YIF1A,YIF1,T,"Previous Symbol, Ortholog Symbol"
139513,{'HGNC:16688'},{'ENSG00000174851'},{'GENE ID:10897'},YIF1A,YIF1A,T,Primary Gene Symbol
139514,{'HGNC:16688'},{'ENSG00000174851'},{'GENE ID:10897'},YIF1A,YIF1P,F,
139515,{'HGNC:30511'},{'ENSG00000167645'},{'GENE ID:90522'},YIF1B,FINGER8,F,
139516,{'HGNC:30511'},{'ENSG00000167645'},{'GENE ID:90522'},YIF1B,FinGER8,F,
139517,{'HGNC:30511'},{'ENSG00000167645'},{'GENE ID:90522'},YIF1B,KABAMAS,T,Phenotype Symbol
139518,{'HGNC:30511'},{'ENSG00000167645'},{'GENE ID:90522'},YIF1B,YIF1B,T,Primary Gene Symbol
139519,{'HGNC:25231'},{'ENSG00000058799'},{'GENE ID:54432'},YIPF1,DJ167A19.1,T,Previous Symbol
139520,{'HGNC:25231'},{'ENSG00000058799'},{'GENE ID:54432'},YIPF1,FINGER1,F,
139521,{'HGNC:25231'},{'ENSG00000058799'},{'GENE ID:54432'},YIPF1,FinGER1,F,
139522,{'HGNC:25231'},{'ENSG00000058799'},{'GENE ID:54432'},YIPF1,YIP5A,F,
139523,{'HGNC:25231'},{'ENSG00000058799'},{'GENE ID:54432'},YIPF1,YIPF1,T,Primary Gene Symbol
139524,{'HGNC:25231'},{'ENSG00000058799'},{'GENE ID:54432'},YIPF1,YIPFBETA3A,T,Gene Group Symbol
139525,{'HGNC:25231'},{'ENSG00000058799'},{'GENE ID:54432'},YIPF1,YIPFbeta3A,T,Gene Group Symbol
139526,{'HGNC:25231'},{'ENSG00000058799'},{'GENE ID:54432'},YIPF1,Yip5a,F,
139527,{'HGNC:28476'},{'ENSG00000130733'},{'GENE ID:78992'},YIPF2,FINGER2,F,
139528,{'HGNC:28476'},{'ENSG00000130733'},{'GENE ID:78992'},YIPF2,FinGER2,F,
139529,{'HGNC:28476'},{'ENSG00000130733'},{'GENE ID:78992'},YIPF2,MGC3262,T,Placeholder Symbol
139530,{'HGNC:28476'},{'ENSG00000130733'},{'GENE ID:78992'},YIPF2,YIP5C,F,
139531,{'HGNC:28476'},{'ENSG00000130733'},{'GENE ID:78992'},YIPF2,YIPF2,T,Primary Gene Symbol
139532,{'HGNC:28476'},{'ENSG00000130733'},{'GENE ID:78992'},YIPF2,YIPFBETA3B,T,Gene Group Symbol
139533,{'HGNC:28476'},{'ENSG00000130733'},{'GENE ID:78992'},YIPF2,YIPFbeta3B,T,Gene Group Symbol
139534,{'HGNC:28476'},{'ENSG00000130733'},{'GENE ID:78992'},YIPF2,Yip5C,F,
139535,{'HGNC:21023'},{'ENSG00000137207'},{'GENE ID:25844'},YIPF3,C6ORF109,T,"Previous Symbol, Placeholder Symbol"
139536,{'HGNC:21023'},{'ENSG00000137207'},{'GENE ID:25844'},YIPF3,C6orf109,T,"Previous Symbol, Placeholder Symbol"
139537,{'HGNC:21023'},{'ENSG00000137207'},{'GENE ID:25844'},YIPF3,DJ337H4.3,F,
139538,{'HGNC:21023'},{'ENSG00000137207'},{'GENE ID:25844'},YIPF3,DKFZP566C243,T,Placeholder Symbol
139539,{'HGNC:21023'},{'ENSG00000137207'},{'GENE ID:25844'},YIPF3,DKFZp566C243,T,Placeholder Symbol
139540,{'HGNC:21023'},{'ENSG00000137207'},{'GENE ID:25844'},YIPF3,FINGER3,F,
139541,{'HGNC:21023'},{'ENSG00000137207'},{'GENE ID:25844'},YIPF3,FinGER3,F,
139542,{'HGNC:21023'},{'ENSG00000137207'},{'GENE ID:25844'},YIPF3,KLIP1,F,
139543,{'HGNC:21023'},{'ENSG00000137207'},{'GENE ID:25844'},YIPF3,YIP5B,F,
139544,{'HGNC:21023'},{'ENSG00000137207'},{'GENE ID:25844'},YIPF3,YIPF3,T,Primary Gene Symbol
139545,{'HGNC:21023'},{'ENSG00000137207'},{'GENE ID:25844'},YIPF3,YIPFBETA2,T,Gene Group Symbol
139546,{'HGNC:21023'},{'ENSG00000137207'},{'GENE ID:25844'},YIPF3,YIPFbeta2,T,Gene Group Symbol
139547,{'HGNC:21023'},{'ENSG00000137207'},{'GENE ID:25844'},YIPF3,Yip5b,F,
139548,{'HGNC:21023'},{'ENSG00000137207'},{'GENE ID:25844'},YIPF3,dJ337H4.3,F,
139549,{'HGNC:28145'},{'ENSG00000119820'},{'GENE ID:84272'},YIPF4,FINGER4,F,
139550,{'HGNC:28145'},{'ENSG00000119820'},{'GENE ID:84272'},YIPF4,FinGER4,F,
139551,{'HGNC:28145'},{'ENSG00000119820'},{'GENE ID:84272'},YIPF4,MGC11061,T,Placeholder Symbol
139552,{'HGNC:28145'},{'ENSG00000119820'},{'GENE ID:84272'},YIPF4,Nbla11189,F,
139553,{'HGNC:28145'},{'ENSG00000119820'},{'GENE ID:84272'},YIPF4,YIPF4,T,Primary Gene Symbol
139554,{'HGNC:28145'},{'ENSG00000119820'},{'GENE ID:84272'},YIPF4,YIPFALPHA2,T,Gene Group Symbol
139555,{'HGNC:28145'},{'ENSG00000119820'},{'GENE ID:84272'},YIPF4,YIPFalpha2,T,Gene Group Symbol
139556,{'HGNC:24877'},{'ENSG00000145817'},{'GENE ID:81555'},YIPF5,FINGER5,F,
139557,{'HGNC:24877'},{'ENSG00000145817'},{'GENE ID:81555'},YIPF5,FinGER5,F,
139558,{'HGNC:24877'},{'ENSG00000145817'},{'GENE ID:81555'},YIPF5,MEDS2,T,Phenotype Symbol
139559,{'HGNC:24877'},{'ENSG00000145817'},{'GENE ID:81555'},YIPF5,SB140,F,
139560,{'HGNC:24877'},{'ENSG00000145817'},{'GENE ID:81555'},YIPF5,SMAP-5,F,
139561,{'HGNC:24877'},{'ENSG00000145817'},{'GENE ID:81555'},YIPF5,SMAP5,F,
139562,{'HGNC:24877'},{'ENSG00000145817'},{'GENE ID:81555'},YIPF5,YIP1A,T,Alternate Abbreviation Symbol
139563,{'HGNC:24877'},{'ENSG00000145817'},{'GENE ID:81555'},YIPF5,YIPF5,T,Primary Gene Symbol
139564,{'HGNC:24877'},{'ENSG00000145817'},{'GENE ID:81555'},YIPF5,YIPFALPHA1A,T,Gene Group Symbol
139565,{'HGNC:24877'},{'ENSG00000145817'},{'GENE ID:81555'},YIPF5,YIPFalpha1A,T,Gene Group Symbol
139566,{'HGNC:24877'},{'ENSG00000145817'},{'GENE ID:81555'},YIPF5,Yip1a,F,
