,gene_symbol,alias_symbol,ENSG_ID,HGNC_ID,NCBI_ID,collision,source
55,SEMA4D,"A8,BB18,C9orf164,CD100,COLL4,GR3,M-sema-G,SEMAJ,coll-4",ENSG00000187764,10732.0,10507,A8,NCBI
56,IGKV2D-23,"A8,IGKV2D23",,5796.0,28886,A8,NCBI
57,AAAS,"AAA,AAASb,ADRACALA,ADRACALIN,ALADIN,GL003",ENSG00000094914,13666.0,8086,AAA,NCBI
58,APP,"AAA,ABETA,ABPP,AD1,APPI,CTFgamma,CVAP,PN-II,PN2,alpha-sAPP,preA4",ENSG00000142192,620.0,351,AAA,NCBI
59,AAA1,AAA,,,100329167,AAA,NCBI
60,SLC1A7,"AAAT,EAAT5",ENSG00000162383,10945.0,6512,AAAT,NCBI
61,SLC1A5,"AAAT,ASCT2,ATBO,M7V1,M7VS1,R16,RDRC",ENSG00000105281,10943.0,6510,AAAT,NCBI
62,SLC25A4,"AAC1,ANT,ANT 1,ANT1,MTDPS12,MTDPS12A,PEO2,PEO3,PEOA2,T1",ENSG00000151729,10990.0,291,AAC1,NCBI
63,NAT1,"AAC1,MNAT,NAT-1,NATI",ENSG00000171428,7645.0,9,AAC1,NCBI
64,NAT2,"AAC2,NAT-2,PNAT",ENSG00000156006,7646.0,10,AAC2,NCBI
65,SLC25A5,"2F1,AAC2,ANT2,T2,T3",ENSG00000005022,10991.0,292,AAC2,NCBI
66,GPT,"AAT1,ALT,ALT1,GPT1,SGPT",ENSG00000167701,4552.0,2875,AAT1,NCBI
67,CFAP91,"AAT1,AAT1alpha,C3orf15,CaM-IP2,MAATS1,SPATA26,SPGF51",ENSG00000183833,24010.0,89876,AAT1,NCBI
68,NBPF15,"AB14,AG3,NBPF16",ENSG00000266338,28791.0,284565,AB14,NCBI
69,NBPF1,"AB13,AB14,AB23,AD2,NBG,NBPF",ENSG00000219481,26088.0,55672,AB14,NCBI
70,ABCA1,"ABC-1,ABC1,CERP,HDLCQTL13,HDLDT1,HPALP1,TGD",ENSG00000165029,29.0,19,ABC1,NCBI
71,HEATR6,ABC1,ENSG00000068097,24076.0,63897,ABC1,NCBI
72,ABHD4,ABH4,ENSG00000100439,20154.0,63874,ABH4,NCBI
73,ALKBH4,ABH4,ENSG00000160993,21900.0,54784,ABH4,NCBI
74,ABL1,"ABL,BCR-ABL,CHDSKM,JTK7,bcr/abl,c-ABL,c-ABL1,p150,v-abl",ENSG00000097007,76.0,25,ABL,NCBI
75,MTTP,"ABL,MTP",ENSG00000138823,7467.0,4547,ABL,NCBI
76,DSP-AS1,ABL,ENSG00000261189,56039.0,101928076,ABL,NCBI
77,SHBG,"ABP,SBP,TEBG",ENSG00000129214,10839.0,6462,ABP,NCBI
78,AOC1,"ABP,ABP1,DAO,DAO1,KAO,KDAO",ENSG00000002726,80.0,26,ABP,NCBI
79,FLNA,"ABP-280,ABPX,CSBS,CVD1,FGS2,FLN,FLN-A,FLN1,FMD,MNS,NHBP,OPD,OPD1,OPD2,XLVD,XMVD",ENSG00000196924,3754.0,2316,ABP-280,NCBI
80,FLNB,"ABP-278,ABP-280,AOI,FH1,FLN-B,FLN1L,LRS1,SCT,TABP,TAP",ENSG00000136068,3755.0,2317,ABP-280,NCBI
81,FLNC,"ABP-280,ABP280A,ABPA,ABPL,ARVC15,CMH26,FLN2,MFM5,MPD4,RCM5",ENSG00000128591,3756.0,2318,ABP-280,NCBI
82,DBNL,"ABP1,HIP-55,HIP55,SH3P7",ENSG00000136279,2696.0,28988,ABP1,NCBI
83,AOC1,"ABP,ABP1,DAO,DAO1,KAO,KDAO",ENSG00000002726,80.0,26,ABP1,NCBI
84,LINC01587,"C4orf6,aC1",ENSG00000082929,13716.0,10141,AC1,NCBI
85,ADCY1,"AC1,DFNB44",ENSG00000164742,232.0,107,AC1,NCBI
86,SNORA59B,ACA59,,32658.0,677882,ACA59,NCBI
87,SNORA59A,ACA59,ENSG00000239149,32653.0,677885,ACA59,NCBI
