,gene_symbol,alias_symbol,ENSG_ID,HGNC_ID,NCBI_ID,collision,source
2031,MEIS3,"DKFZP547H236,MRG2",ENSG00000105419,29537.0,56917.0,MRG2,ENSG
2032,MAP3K20,"MLK7,MLTK,MLTKALPHA,MLTKBETA,MRK,ZAK",ENSG00000091436,17797.0,51776.0,MRK,ENSG
2033,CILK1,"ICK,KIAA0936,LCK2,MGC46090,MRK",ENSG00000112144,21219.0,22858.0,MRK,ENSG
2034,MYL12B,MRLC2,ENSG00000118680,29827.0,103910.0,MRLC2,ENSG
2035,MYL11,"HUMMLC2B,MRLC2,MYLPF",ENSG00000180209,29824.0,29895.0,MRLC2,ENSG
2036,WLS,"C1ORF139,EVI,FLJ23091,GPR177,MIG-14,MRP",ENSG00000116729,30238.0,79971.0,MRP,ENSG
2037,ABCC1,"GS-X,MRP,MRP1",ENSG00000278183,51.0,4363.0,MRP,ENSG
2038,MRPL15,"HSPC145,L15MT,MRP-L15,MRP-L7,RPML7,UL15M",ENSG00000137547,14054.0,29088.0,MRP-L15,ENSG
2039,MRPL19,"BL19M,KIAA0104,MRP-L15,RLX1,RPML15",ENSG00000115364,14052.0,9801.0,MRP-L15,ENSG
2040,MRPL14,"MRP-L32,RPML32,UL14M",ENSG00000180992,14279.0,64928.0,MRP-L32,ENSG
2041,MRPL32,"BL32M,BMRP-59B,HSPC283,L32MT,MRP-L32",ENSG00000106591,14035.0,64983.0,MRP-L32,ENSG
2042,ABCC1,"GS-X,MRP,MRP1",ENSG00000278183,51.0,4363.0,MRP1,ENSG
2043,MSH3,"DUP,MRP1",ENSG00000113318,7326.0,4437.0,MRP1,ENSG
2044,KLHL1,"FLJ30047,KIAA1490,MRP2",ENSG00000150361,6352.0,57626.0,MRP2,ENSG
2045,SYCE1L,MRP2,ENSG00000205078,37236.0,100130958.0,MRP2,ENSG
2046,ABCC2,"CMOAT,CMRP,DJS,MRP2",ENSG00000023839,53.0,1244.0,MRP2,ENSG
2047,ABCC6,"ARA,EST349056,MLP1,MRP6,PXE,URG7",ENSG00000275331,57.0,368.0,MRP6,ENSG
2048,S100A12,"CAAF1,CAGC,CGRP,ENRAGE,MRP6,P6",ENSG00000163221,10489.0,6283.0,MRP6,ENSG
2049,ABCC10,"EST182763,MRP7,SIMRP7",ENSG00000124574,52.0,89845.0,MRP7,ENSG
2050,CFTR,"ABC35,ABCC7,CF,CFTR/MRP,DJ760C5.1,MRP7,TNR-CFTR",ENSG00000001626,1884.0,1080.0,MRP7,ENSG
2051,S100A8,"60B8AG,CAGA,CFAG,CGLA,MRP-8,MRP8,P8,S100-A8",ENSG00000143546,10498.0,6279.0,MRP8,ENSG
2052,ABCC8,"ABC36,HHF1,HI,HRINS,MRP8,PHHI,SUR,SUR1,TNDM2",ENSG00000006071,59.0,6833.0,MRP8,ENSG
2053,ABCC11,MRP8,ENSG00000121270,14639.0,85320.0,MRP8,ENSG
2054,MS4A8,"CD20L5,MS4A4,MS4A8B",ENSG00000166959,13380.0,83661.0,MS4A4,ENSG
2055,MS4A4A,"CD20L1,MS4A4,MS4A7",ENSG00000110079,13371.0,51338.0,MS4A4,ENSG
2056,FN1,"CIG,FINC,GFND2,LETS,LNC-ABCA12-8,MSF",ENSG00000115414,3778.0,2335.0,MSF,ENSG
2057,PRG4,"BG174L6.2,CACP,FLJ32635,HAPO,JCAP,MSF,SZP",ENSG00000116690,9364.0,10216.0,MSF,ENSG
2058,SEPTIN9,"AF17Q25,KIAA0991,MSF,MSF1,PNUTL4,SEPT9,SEPTD1",ENSG00000282302,7323.0,10801.0,MSF,ENSG
2059,MSX2,"CRS2,FPP,HOX8,MSH,PFM,PFM1",ENSG00000120149,7392.0,4488.0,MSH,ENSG
2060,POMC,"ACTH,CLIP,LPH,MSH,NPP,POC",ENSG00000115138,9201.0,5443.0,MSH,ENSG
2061,CSPG4,"CSPG4A,HMW-MAA,MCSP,MCSPG,MEL-CSPG,MSK16,NG2",ENSG00000173546,2466.0,1464.0,MSK16,ENSG
2062,ACAN,"AGC1,CSPG1,CSPGCP,MSK16",ENSG00000157766,319.0,176.0,MSK16,ENSG
2063,MST1,"D3F15S2,DNF15S2,HGFL,MSP,NF15S2",ENSG00000173531,7380.0,4485.0,MSP,ENSG
2064,MSMB,"IGBF,MSP,MSPB,PN44,PRPS,PSP,PSP-94,PSP57,PSP94",ENSG00000263639,7372.0,4477.0,MSP,ENSG
2065,LMLN,"GP63,LMNL1,MSP",ENSG00000185621,15991.0,89782.0,MSP,ENSG
2066,GTPBP3,"FLJ14700,GTPBG3,MSS1,MTGP1,THDF1",ENSG00000130299,14880.0,84705.0,MSS1,ENSG
2067,PSMC2,"MSS1,NBLA10058,RPT1,S7",ENSG00000161057,9548.0,5701.0,MSS1,ENSG
2068,RABIF,"MSS4,RASGRF3",ENSG00000183155,9797.0,5877.0,MSS4,ENSG
2069,PIP5K1B,"MSS4,STM7",ENSG00000107242,8995.0,8395.0,MSS4,ENSG
2070,MAP3K10,"MEKK10,MLK2,MST",ENSG00000130758,6849.0,4294.0,MST,ENSG
2071,MPST,"MST,TST2,TUM1",ENSG00000128309,7223.0,4357.0,MST,ENSG
2072,MSTO1,"FLJ10504,LST005,MISATO,MST",ENSG00000125459,29678.0,55154.0,MST,ENSG
2073,MT1A,"MT1,MT1S",ENSG00000205362,7393.0,4489.0,MT1,ENSG
2074,MT1M,"MT1,MT1K",ENSG00000205364,14296.0,4499.0,MT1,ENSG
2075,MT1B,"MT1,MT1Q",ENSG00000169688,7394.0,4490.0,MT1,ENSG
2076,MT1H,MT1,ENSG00000205358,7400.0,4496.0,MT1,ENSG
2077,MT1G,"MT1,MT1K",ENSG00000125144,7399.0,4495.0,MT1,ENSG
2078,MT1X,"MT-1L,MT1",ENSG00000187193,7405.0,4501.0,MT1,ENSG
2079,MT1JP,"MT1,MT1J,MT1NP,MTB",ENSG00000255986,7402.0,,MT1,ENSG
2080,MT1F,MT1,ENSG00000198417,7398.0,4494.0,MT1,ENSG
2081,MT1IP,"MT1,MT1I,MTE",ENSG00000275691,7401.0,,MT1,ENSG
2082,MT1L,"MT1,MT1R,MTF",ENSG00000260549,7404.0,,MT1,ENSG
2083,MT1E,"MT1,MTD",ENSG00000169715,7397.0,4493.0,MT1,ENSG
2084,MT1M,"MT1,MT1K",ENSG00000205364,14296.0,4499.0,MT1K,ENSG
2085,MT1G,"MT1,MT1K",ENSG00000125144,7399.0,4495.0,MT1K,ENSG
2086,MT2A,MT2,ENSG00000125148,7406.0,4502.0,MT2,ENSG
2087,TMPRSS6,"FLJ30744,MT2",ENSG00000187045,16517.0,164656.0,MT2,ENSG
2088,MT1JP,"MT1,MT1J,MT1NP,MTB",ENSG00000255986,7402.0,,MTB,ENSG
2089,NCAPG2,"CAP-G2,FLJ20311,HCAP-G2,LUZP5,MTB",ENSG00000146918,21904.0,54892.0,MTB,ENSG
2090,SH2D1A,"DSHP,EBVS,IMD5,LYP,MTCP1,SAP,XLP,XLPD",ENSG00000183918,10820.0,4068.0,MTCP1,ENSG
2091,CMC4,"MTCP1,MTCP1NB,P8,P8MTCP1",ENSG00000182712,35428.0,100272147.0,MTCP1,ENSG
2092,MT1L,"MT1,MT1R,MTF",ENSG00000260549,7404.0,,MTF,ENSG
2093,MELTF,"CD228,FLJ38863,MAP97,MFI2,MGC4856,MTF,MTF1",ENSG00000163975,7037.0,4241.0,MTF,ENSG
2094,FTMT,MTF,ENSG00000181867,17345.0,94033.0,MTF,ENSG
2095,MYT1,"MTF1,MYTI,NZF2,PLPB1,ZC2H2C1,ZC2HC4A",ENSG00000276876,7622.0,4661.0,MTF1,ENSG
2096,MELTF,"CD228,FLJ38863,MAP97,MFI2,MGC4856,MTF,MTF1",ENSG00000163975,7037.0,4241.0,MTF1,ENSG
2097,CMTR1,"FTSJD2,ISG95,KIAA0082,MTR1",ENSG00000137200,21077.0,23070.0,MTR1,ENSG
2098,TRPM5,"LTRPC5,MTR1",ENSG00000070985,14323.0,29850.0,MTR1,ENSG
2099,CMTR2,"AFT,FLJ11171,FTSJD1,MTR2",ENSG00000292378,25635.0,55783.0,MTR2,ENSG
2100,NXT1,"MTR2,P15",ENSG00000132661,15913.0,29107.0,MTR2,ENSG
2101,S100A4,"18A2,42A,CAPL,FSP1,MTS1,P9KA,PEL98",ENSG00000196154,10494.0,6275.0,MTS1,ENSG
2102,CDKN2A,"ARF,CAI2,CDK4I,CDKN2,CMM2,INK4,INK4A,MLM,MTS1,P14,P14ARF,P16,P16-INK4A,P16INK4A,P19,P19ARF",ENSG00000147889,1787.0,1029.0,MTS1,ENSG
2103,TFAMP1,"MTTF1,TCF6L1",ENSG00000230444,11636.0,,MTTF1,ENSG
2104,TFAMP2,"MTTF1,TCF6L3",ENSG00000254798,11638.0,,MTTF1,ENSG
2105,PSMA2,"HC3,MU,PMSA2",ENSG00000106588,9531.0,5683.0,MU,ENSG
2106,BLOC1S5,"DJ303A1.3,MU,MUTED",ENSG00000188428,18561.0,63915.0,MU,ENSG
2107,GSTM1,"GST1,H-B,MU",ENSG00000134184,4632.0,2944.0,MU,ENSG
2108,AP2M1,"AP50,CLAPM1,MU2",ENSG00000161203,564.0,1173.0,MU2,ENSG
2109,AP1M2,"AP1-MU2,HSMU1B,MU2",ENSG00000129354,558.0,10053.0,MU2,ENSG
2110,MUC5AC,MUC5,ENSG00000215182,7515.0,4586.0,MUC5,ENSG
2111,MUC5B,"MG1,MUC-5B,MUC5",ENSG00000117983,7516.0,727897.0,MUC5,ENSG
2112,IRF4,"LSIRF,MUM1",ENSG00000137265,6119.0,3662.0,MUM1,ENSG
2113,PWWP3A,"EXPAND1,MUM-1,MUM1",ENSG00000160953,29641.0,84939.0,MUM1,ENSG
2114,WTAP,"KIAA0105,MGC3925,MUM2",ENSG00000146457,16846.0,9589.0,MUM2,ENSG
