,gene_symbol,alias_symbol,ENSG_ID,HGNC_ID,NCBI_ID,collision,source
81,SLPI,"HUSI-I,ALK1,ALP,BLPI,HUSI,WAP4,WFDC4",ENSG00000124107,11092,6590.0,ALK1,HGNC
82,ASRGL1,"FLJ22316,ALP1,ALP",ENSG00000162174,16448,80150.0,ALP,HGNC
83,ATHS,ALP,,793,,ALP,HGNC
84,ATRNL1,"KIAA0534,FLJ45344,ALP",ENSG00000107518,29063,26033.0,ALP,HGNC
85,PDLIM3,ALP,ENSG00000154553,20767,27295.0,ALP,HGNC
86,CCL27,"ALP,ILC,CTACK,skinkine,ESkine,PESKY,CTAK",ENSG00000213927,10626,10850.0,ALP,HGNC
87,SLPI,"HUSI-I,ALK1,ALP,BLPI,HUSI,WAP4,WFDC4",ENSG00000124107,11092,6590.0,ALP,HGNC
88,ASRGL1,"FLJ22316,ALP1,ALP",ENSG00000162174,16448,80150.0,ALP1,HGNC
89,ASZ1,"Orf3,GASZ,ALP1,CT1.19",ENSG00000154438,1350,136991.0,ALP1,HGNC
90,GFER,"HSS,ERV1,ALR,HERV1,HPO1,HPO2",ENSG00000127554,4236,2671.0,ALR,HGNC
91,AKR1A1,"ALR,DD3",ENSG00000117448,380,10327.0,ALR,HGNC
92,KMT2D,"ALR,MLL4,CAGL114",ENSG00000167548,7133,8085.0,ALR,HGNC
93,FPR2,"LXA4R,HM63,FPRH2,FMLPX,FPR2A,FMLP-R-II,ALXR,ALX",ENSG00000171049,3827,2358.0,ALX,HGNC
94,HSH2D,"ALX,HSH2,FLJ14886",ENSG00000196684,24920,84941.0,ALX,HGNC
95,ATF7IP,"FLJ10688,p621,ATF7IP1,MCAF1,MCAF,AM",ENSG00000171681,20092,55729.0,AM,HGNC
96,ADM,AM,ENSG00000148926,259,133.0,AM,HGNC
97,CCDC102B,"FLJ23594,HsT1731,AN",ENSG00000150636,26295,79839.0,AN,HGNC
98,PAX6,"D11S812E,AN,WAGR",ENSG00000007372,8620,5080.0,AN,HGNC
99,DIAPH3,"DRF3,FLJ34705,AN,NSDAN",ENSG00000139734,15480,81624.0,AN,HGNC
100,DANCR,"ANCR,AGU2,lncRNA-ANCR",ENSG00000226950,28964,57291.0,ANCR,HGNC
101,UBE3A,"AS,ANCR,E6-AP,FLJ26981",ENSG00000114062,12496,7337.0,ANCR,HGNC
102,TM7SF2,"ANG1,DHCR14A,NET47",ENSG00000149809,11863,7108.0,ANG1,HGNC
103,ANGPT1,"KIAA0003,Ang1,AGPT-1",ENSG00000154188,484,284.0,ANG1,HGNC
104,ANGPT2,Ang2,ENSG00000091879,485,285.0,ANG2,HGNC
105,VPS51,"ANG2,ANG3,FFR",ENSG00000149823,1172,738.0,ANG2,HGNC
106,ANGPTL1,"ANG3,AngY,ARP1",ENSG00000116194,489,9068.0,ANG3,HGNC
107,VPS51,"ANG2,ANG3,FFR",ENSG00000149823,1172,738.0,ANG3,HGNC
108,AOX3P,AOH1,ENSG00000244301,19049,107126360.0,AOH1,HGNC
109,AOX1,"AO,AOH1",ENSG00000138356,553,316.0,AOH1,HGNC
110,JUND,AP-1,ENSG00000130522,6206,3727.0,AP-1,HGNC
111,JUN,"c-Jun,AP-1",ENSG00000177606,6204,3725.0,AP-1,HGNC
112,FOS,"c-fos,AP-1",ENSG00000170345,3796,2353.0,AP-1,HGNC
113,FOSB,"G0S3,GOSB,GOS3,AP-1,MGC42291,DKFZp686C0818",ENSG00000125740,3797,2354.0,AP-1,HGNC
114,FABP4,"A-FABP,aP2",ENSG00000170323,3559,2167.0,AP2,HGNC
115,GTF3A,"TFIIIA,AP2",ENSG00000122034,4662,2971.0,AP2,HGNC
116,ENPP4,"NPP4,KIAA0879,AP3Aase",ENSG00000001561,3359,22875.0,AP3AASE,HGNC
117,FHIT,"FRA3B,AP3Aase",ENSG00000189283,3701,2272.0,AP3AASE,HGNC
118,AP4S1,"CLA20,AP47B,SPG52",ENSG00000100478,575,11154.0,AP47B,HGNC
119,AP3M2,"CLA20,AP47B",ENSG00000070718,570,10947.0,AP47B,HGNC
120,SLC25A24,"DKFZp586G0123,APC1,SCAMC1,SCAMC-1",ENSG00000085491,20662,29957.0,APC1,HGNC
121,ANAPC1,"MCPR,TSG24,APC1",ENSG00000153107,19988,64682.0,APC1,HGNC
122,ANAPC2,"APC2,KIAA1406",ENSG00000176248,19989,29882.0,APC2,HGNC
123,SLC25A23,"FLJ30339,MGC2615,APC2",ENSG00000125648,19375,79085.0,APC2,HGNC
124,SLC25A41,"FLJ40442,MGC34725,APC4",ENSG00000181240,28533,284427.0,APC4,HGNC
125,ANAPC4,APC4,ENSG00000053900,19990,29945.0,APC4,HGNC
126,ANAPC7,APC7,ENSG00000196510,17380,51434.0,APC7,HGNC
127,SCARA3,"CSR1,CSR,MSLR1,APC7,MSRL1",ENSG00000168077,19000,51435.0,APC7,HGNC
128,APEX1,"APE,REF1,HAP1,APX,APEN,REF-1,APE-1",ENSG00000100823,587,328.0,APE,HGNC
129,CCDC88A,"FLJ10392,APE,GIV,HkRP1,GRDN",ENSG00000115355,25523,55704.0,APE,HGNC
130,ZDHHC16,APH2,ENSG00000171307,20714,84287.0,APH2,HGNC
131,NCSTN,"KIAA0253,APH2",ENSG00000162736,17091,23385.0,APH2,HGNC
132,TNFSF13,"APRIL,CD256",ENSG00000161955,11928,8741.0,APRIL,HGNC
133,ANP32B,"SSP29,PHAPI2,APRIL",ENSG00000136938,16677,10541.0,APRIL,HGNC
134,TOB2,"TOBL,TOB4,bK223H9,APRO5",ENSG00000183864,11980,10766.0,APRO5,HGNC
135,TOB1,"TOB,TROB,APRO5",ENSG00000141232,11979,10140.0,APRO5,HGNC
136,AKR1B1,AR,ENSG00000085662,381,231.0,AR,HGNC
137,AREG,"AR,CRDGF",ENSG00000109321,651,374.0,AR,HGNC
138,FDXR,"ADR,AR",ENSG00000161513,3642,2232.0,AR,HGNC
139,PPP1R8,"ard-1,NIPP-1,PRO2047,ARD1,NIPP1",ENSG00000117751,9296,5511.0,ARD1,HGNC
140,TRIM23,"ARD1,RNF46",ENSG00000113595,660,373.0,ARD1,HGNC
141,ABL2,ARG,ENSG00000143322,77,27.0,ARG,HGNC
142,RERE,"KIAA0458,ARP,ARG,DNB1,ATN2",ENSG00000142599,9965,473.0,ARG,HGNC
143,ADPRHL1,ARH2,ENSG00000153531,21303,113622.0,ARH2,HGNC
144,LDLRAP1,"ARH,ARH2,FHCB1,FHCB2,MGC34705,DKFZp586D0624",ENSG00000157978,18640,26119.0,ARH2,HGNC
145,ACTRT1,"AIP1,KIAA0705,ARIP1,Arp-T1",ENSG00000123165,24027,139741.0,ARIP1,HGNC
146,MAGI2,"AIP1,ARIP1,KIAA0705,ACVRIP1,MAGI-2",ENSG00000187391,18957,9863.0,ARIP1,HGNC
147,RNF111,"ARK,Arkadia,FLJ38008,DKFZP761D081",ENSG00000157450,17384,54778.0,ARK,HGNC
148,AXL,"UFO,JTK11,Tyro7,ARK",ENSG00000167601,905,558.0,ARK,HGNC
149,RERE,"KIAA0458,ARP,ARG,DNB1,ATN2",ENSG00000142599,9965,473.0,ARP,HGNC
150,MANF,ARP,ENSG00000145050,15461,7873.0,ARP,HGNC
151,CRISP1,"CRISP-1,ARP,HUMARP,HSCRISP1D,HSCRISP1G",ENSG00000124812,304,167.0,ARP,HGNC
152,ARFRP1,"ARP,Arp1,ARL18",ENSG00000101246,662,10139.0,ARP,HGNC
153,ARFRP1,"ARP,Arp1,ARL18",ENSG00000101246,662,10139.0,ARP1,HGNC
154,ACTR1A,"ARP1,Arp1A",ENSG00000138107,167,10121.0,ARP1,HGNC
155,APOBEC2,"ARCD1,ARP1",ENSG00000124701,605,10930.0,ARP1,HGNC
156,ANGPTL1,"ANG3,AngY,ARP1",ENSG00000116194,489,9068.0,ARP1,HGNC
157,PITX2,"IGDS,RS,Brx1,Otlx2,ARP1",ENSG00000164093,9005,5308.0,ARP1,HGNC
158,ACTR10,"HARP11,ACTR11,Arp11,Arp10",ENSG00000131966,17372,55860.0,ARP10,HGNC
159,APOBEC3H,ARP10,ENSG00000100298,24100,164668.0,ARP10,HGNC
160,ACTR3C,ARP11,ENSG00000106526,37282,653857.0,ARP11,HGNC
161,ACTR10,"HARP11,ACTR11,Arp11,Arp10",ENSG00000131966,17372,55860.0,ARP11,HGNC
162,ACTR3B,"ARP11,ARP3beta",ENSG00000133627,17256,57180.0,ARP11,HGNC
163,ACTR2,ARP2,ENSG00000138071,169,10097.0,ARP2,HGNC
164,AICDA,"HIGM2,CDA2,ARP2,AID",ENSG00000111732,13203,57379.0,ARP2,HGNC
