HGNC_ID,primary_gene_symbol,alias_symbol,NCBI_ID,ENSG_ID
HGNC:10181,SNORD42B,U42B,GENE ID:26808,ENSG00000238423
HGNC:10182,SNORD43,U43,GENE ID:26807,ENSG00000263764
HGNC:10183,SNORD44,U44,GENE ID:26806,
HGNC:10184,SNORD45A,U45a,GENE ID:26805,ENSG00000207241
HGNC:10185,SNORD45B,U45b,GENE ID:26804,ENSG00000201487
HGNC:10186,SNORD46,U46,GENE ID:94161,ENSG00000200913
HGNC:10186,SNORD46,U40,GENE ID:94161,ENSG00000200913
HGNC:10187,SNORD47,U47,GENE ID:26802,
HGNC:10188,SNORD48,U48,GENE ID:26801,ENSG00000201823
HGNC:10189,SNORD49A,U49,GENE ID:26800,ENSG00000277370
HGNC:10189,SNORD49A,U49A,GENE ID:26800,ENSG00000277370
HGNC:10192,RNU4-1,U4BL,GENE ID:26835,ENSG00000200795
HGNC:10192,RNU4-1,U4,GENE ID:26835,ENSG00000200795
HGNC:10193,RNU4-2,U4c,GENE ID:26834,ENSG00000202538
HGNC:10193,RNU4-2,U4b,GENE ID:26834,ENSG00000202538
HGNC:10193,RNU4-2,U4A,GENE ID:26834,ENSG00000202538
HGNC:10194,RNU4-7P,U4,GENE ID:6069,ENSG00000201628
HGNC:10194,RNU4-7P,U4/7,GENE ID:6069,ENSG00000201628
HGNC:10195,RNU4-8P,U4,GENE ID:6070,ENSG00000201806
HGNC:10195,RNU4-8P,U4/14,GENE ID:6070,ENSG00000201806
HGNC:10196,RNU4-3P,U4,GENE ID:26841,
HGNC:10196,RNU4-3P,U4/4,GENE ID:26841,
HGNC:10197,RNU4-4P,U4,GENE ID:26840,ENSG00000201458
HGNC:10197,RNU4-4P,U4/5,GENE ID:26840,ENSG00000201458
HGNC:10198,RNU4-5P,U4,GENE ID:26839,ENSG00000272160
HGNC:10198,RNU4-5P,U4/6,GENE ID:26839,ENSG00000272160
HGNC:10199,RNU4-6P,U4,GENE ID:26838,ENSG00000222736
HGNC:10199,RNU4-6P,U4/8,GENE ID:26838,ENSG00000222736
HGNC:102,CNNM1,SLC70A1,GENE ID:26507,ENSG00000119946
HGNC:1020,BCS1L,Hs.6719,GENE ID:617,ENSG00000074582
HGNC:1020,BCS1L,BCS,GENE ID:617,ENSG00000074582
HGNC:1020,BCS1L,h-BCS,GENE ID:617,ENSG00000074582
HGNC:1020,BCS1L,BJS,GENE ID:617,ENSG00000074582
HGNC:10200,SNORD50A,U50,GENE ID:26799,
HGNC:10201,SNORD51,U51,GENE ID:26798,ENSG00000207047
HGNC:10202,SNORD52,U52,GENE ID:26797,ENSG00000201754
HGNC:10203,SNORD53,U53,GENE ID:26796,ENSG00000265145
HGNC:10203,SNORD53,SNORD53A,GENE ID:26796,ENSG00000265145
HGNC:10204,SNORD54,U54,GENE ID:26795,ENSG00000238650
HGNC:10205,SNORD55,U55,GENE ID:26811,ENSG00000264294
HGNC:10205,SNORD55,U39,GENE ID:26811,ENSG00000264294
HGNC:10206,SNORD56,U56,GENE ID:26793,ENSG00000229686
HGNC:10207,SNORD57,U57,GENE ID:26792,ENSG00000226572
HGNC:10208,SNORD58A,U58a,GENE ID:26791,ENSG00000206602
HGNC:10209,SNORD58B,U58b,GENE ID:26790,ENSG00000271982
HGNC:10210,SNORD59A,U59,GENE ID:26789,ENSG00000207031
HGNC:10211,RNU5A-1,U5A,GENE ID:26831,ENSG00000199568
HGNC:10211,RNU5A-1,U5B1,GENE ID:26831,ENSG00000199568
HGNC:10212,RNU5B-1,U5B1,GENE ID:26832,ENSG00000200156
HGNC:10214,RNU5D-1,U5DS,GENE ID:26830,ENSG00000200169
HGNC:10214,RNU5D-1,U5DL,GENE ID:26830,ENSG00000200169
HGNC:10215,RNU5E-1,U5E,GENE ID:26829,ENSG00000199347
HGNC:10216,RNU5F-1,,GENE ID:26828,ENSG00000199377
HGNC:10217,SNORD60,U60,GENE ID:26788,ENSG00000206630
HGNC:10218,SNORD61,U61,GENE ID:26787,ENSG00000206979
HGNC:10218,SNORD61,HBII-342,GENE ID:26787,ENSG00000206979
HGNC:10219,SNORD62A,U62,GENE ID:26786,ENSG00000235284
HGNC:10219,SNORD62A,U62A,GENE ID:26786,ENSG00000235284
HGNC:1022,BCYRN1,BC200,GENE ID:618,ENSG00000236824
HGNC:1022,BCYRN1,BC200a,GENE ID:618,ENSG00000236824
