,primary_gene_symbol,HGNC_ID,ENSG_ID,NCBI_ID,gene_symbol
73833,BBX,HGNC:14422,ENSG00000114439,GENE ID:56987,HBP2
73834,RDH8,HGNC:14423,ENSG00000080511,GENE ID:50700,PRRDH
73835,RDH8,HGNC:14423,ENSG00000080511,GENE ID:50700,SDR28C2
73836,RANBP17,HGNC:14428,ENSG00000204764,GENE ID:64901,
73837,LENEP,HGNC:14429,ENSG00000163352,GENE ID:55891,LEP503
73838,CALM1P1,HGNC:1443,ENSG00000223467,GENE ID:802,
73839,SLC13A3,HGNC:14430,ENSG00000158296,GENE ID:64849,NADC3
73840,SLC13A3,HGNC:14430,ENSG00000158296,GENE ID:64849,SDCT2
73841,TMEM237,HGNC:14432,ENSG00000155755,GENE ID:65062,JBTS14
73842,CDK15,HGNC:14434,ENSG00000138395,GENE ID:65061,PFTAIRE2
73843,CARF,HGNC:14435,ENSG00000138380,GENE ID:79800,FLJ21579
73844,CARF,HGNC:14435,ENSG00000138380,GENE ID:79800,NYD-SP24
73845,RAPH1,HGNC:14436,ENSG00000173166,GENE ID:65059,KIAA1681
73846,CFLAR-AS1,HGNC:14437,ENSG00000226312,GENE ID:65072,
73847,CATSPERT,HGNC:14438,ENSG00000155754,GENE ID:151254,FLJ25351
73848,FLACC1,HGNC:14439,ENSG00000155749,GENE ID:130540,
73849,CALM1P2,HGNC:1444,ENSG00000230564,GENE ID:804,TCAG_1643085
73850,FAM117B,HGNC:14440,ENSG00000138439,GENE ID:150864,FLJ38771
73851,ICA1L,HGNC:14442,ENSG00000163596,GENE ID:130026,
73852,PARD3B,HGNC:14446,ENSG00000116117,GENE ID:117583,Par3L
73853,PARD3B,HGNC:14446,ENSG00000116117,GENE ID:117583,PAR3beta
73854,TAS1R1,HGNC:14448,ENSG00000173662,GENE ID:80835,T1R1
73855,TAS1R1,HGNC:14448,ENSG00000173662,GENE ID:80835,TR1
73856,OPN4,HGNC:14449,ENSG00000122375,GENE ID:94233,MOP
73857,OPN4,HGNC:14449,ENSG00000122375,GENE ID:94233,melanopsin
73858,CALM2,HGNC:1445,ENSG00000143933,GENE ID:805,PHKD
73859,CALM2,HGNC:1445,ENSG00000143933,GENE ID:805,PHKD2
73860,CALM2,HGNC:1445,ENSG00000143933,GENE ID:805,CAMII
73861,LPIN2,HGNC:14450,ENSG00000101577,GENE ID:9663,KIAA0249
73862,LPIN3,HGNC:14451,ENSG00000132793,GENE ID:64900,SMP2
73863,ANAPC11,HGNC:14452,ENSG00000141552,GENE ID:51529,HSPC214
73864,ANAPC11,HGNC:14452,ENSG00000141552,GENE ID:51529,APC11
73865,ANAPC11,HGNC:14452,ENSG00000141552,GENE ID:51529,Apc11p
73866,ANAPC11,HGNC:14452,ENSG00000141552,GENE ID:51529,MGC882
73867,MACROH2A2,HGNC:14453,ENSG00000099284,GENE ID:55506,
73868,GABRQ,HGNC:14454,ENSG00000268089,GENE ID:55879,
73869,H2AB3,HGNC:14455,ENSG00000277745,GENE ID:83740,H2A.B.1
73870,H2AJ,HGNC:14456,ENSG00000246705,GENE ID:55766,FLJ10903
73871,H2AJ,HGNC:14456,ENSG00000246705,GENE ID:55766,MGC921
73872,GAB2,HGNC:14458,ENSG00000033327,GENE ID:9846,KIAA0571
73873,CALM2P1,HGNC:1446,ENSG00000267170,GENE ID:100128390,
73874,NDRG2,HGNC:14460,ENSG00000165795,GENE ID:57447,KIAA1248
73875,NDRG2,HGNC:14460,ENSG00000165795,GENE ID:57447,SYLD
73876,SSC4D,HGNC:14461,ENSG00000146700,GENE ID:136853,SRCRB-S4D
73877,SSC4D,HGNC:14461,ENSG00000146700,GENE ID:136853,S4D-SRCRB
73878,NDRG3,HGNC:14462,ENSG00000101079,GENE ID:57446,
73879,SLC39A11,HGNC:14463,ENSG00000133195,GENE ID:201266,ZIP11
73880,KCNK16,HGNC:14464,ENSG00000095981,GENE ID:83795,K2p16.1
73881,KCNK16,HGNC:14464,ENSG00000095981,GENE ID:83795,TALK-1
73882,KCNK16,HGNC:14464,ENSG00000095981,GENE ID:83795,TALK1
73883,KCNK17,HGNC:14465,ENSG00000124780,GENE ID:89822,K2p17.1
73884,KCNK17,HGNC:14465,ENSG00000124780,GENE ID:89822,TALK-2
73885,KCNK17,HGNC:14465,ENSG00000124780,GENE ID:89822,TALK2
73886,KCNK17,HGNC:14465,ENSG00000124780,GENE ID:89822,TASK4
73887,KCNK17,HGNC:14465,ENSG00000124780,GENE ID:89822,TASK-4
73888,NDRG4,HGNC:14466,ENSG00000103034,GENE ID:65009,KIAA1180
73889,NDRG4,HGNC:14466,ENSG00000103034,GENE ID:65009,SMAP-8
73890,SLC26A7,HGNC:14467,ENSG00000147606,GENE ID:115111,SUT2
73891,SLC26A8,HGNC:14468,ENSG00000112053,GENE ID:116369,TAT1
73892,SLC26A9,HGNC:14469,ENSG00000174502,GENE ID:115019,
73893,CALM2P2,HGNC:1447,ENSG00000229097,GENE ID:806,
73894,SLC26A10P,HGNC:14470,ENSG00000135502,GENE ID:65012,
73895,SLC26A11,HGNC:14471,ENSG00000181045,GENE ID:284129,
73896,SLC26A6,HGNC:14472,ENSG00000225697,GENE ID:65010,DKFZp586E1422
73897,MRPL16,HGNC:14476,ENSG00000166902,GENE ID:54948,FLJ20484
73898,MRPL16,HGNC:14476,ENSG00000166902,GENE ID:54948,PNAS-111
73899,MRPL16,HGNC:14476,ENSG00000166902,GENE ID:54948,uL16m
73900,MRPL18,HGNC:14477,ENSG00000112110,GENE ID:29074,HSPC071
73901,MRPL18,HGNC:14477,ENSG00000112110,GENE ID:29074,uL18m
