HGNC_ID,primary_gene_symbol,collision,source,NCBI_ID,ENSG_ID,alias_symbol
HGNC:589,ATG5,ASP,HGNC,GENE ID:9474,ENSG00000057663,"APG5,ASP,hAPG5"
HGNC:24086,A1CF,ASP,HGNC,GENE ID:29974,ENSG00000148584,"ACF,ACF64,ACF65,APOBEC1CF,ASP"
HGNC:756,ASPA,ASP,HGNC,GENE ID:443,ENSG00000108381,"ACY2,ASP"
HGNC:24060,ROPN1L,ASP,HGNC,GENE ID:83853,ENSG00000145491,"ASP,FLJ25776,RP11-1C1.7,RSPH11,TCONS_00009352"
HGNC:10933,SLC17A5,AST,HGNC,GENE ID:26503,ENSG00000119899,"AST,ISSD,NSD,SD,SIALIN,SLD"
HGNC:4432,GOT1,AST,HGNC,GENE ID:2805,ENSG00000120053,"AST,AST1,SGOT"
HGNC:336,AGTR1,AT1,HGNC,GENE ID:185,ENSG00000144891,"AG2S,AGTR1A,AT1,AT1B,AT2R1,AT2R1A,AT2R1B,ATR1,HAT1R"
HGNC:52650,PGR-AS1,AT1,HGNC,GENE ID:101054525,ENSG00000282728,"AT1,AT2,AT3"
HGNC:95,SLC33A1,AT1,HGNC,GENE ID:9197,ENSG00000169359,"AT-1,AT1"
HGNC:338,AGTR2,AT2,HGNC,GENE ID:186,ENSG00000180772,"AT2,MRX88"
HGNC:52650,PGR-AS1,AT2,HGNC,GENE ID:101054525,ENSG00000282728,"AT1,AT2,AT3"
HGNC:21014,ANTXR1,ATR,HGNC,GENE ID:84168,ENSG00000169604,"ATR,FLJ10601,FLJ21776,TEM8"
HGNC:8985,SERPINA2,ATR,HGNC,GENE ID:390502,ENSG00000258597,"ARGS,ATR"
HGNC:336,AGTR1,ATR1,HGNC,GENE ID:185,ENSG00000144891,"AG2S,AGTR1A,AT1,AT1B,AT2R1,AT2R1A,AT2R1B,ATR1,HAT1R"
HGNC:11025,SLC3A1,ATR1,HGNC,GENE ID:6519,ENSG00000138079,"ATR1,CSNU1,D2H,NBAT,RBAT"
HGNC:3357,ENPP2,ATX,HGNC,GENE ID:5168,ENSG00000136960,"ATX,PD-IALPHA"
HGNC:30045,SMG1,ATX,HGNC,GENE ID:23049,ENSG00000157106,"ATX,KIAA0421,LIP"
HGNC:8095,OAZ1,AZ1,HGNC,GENE ID:4946,ENSG00000104904,"AZ1,AZI,MGC138338"
HGNC:29511,CEP131,AZ1,HGNC,GENE ID:22994,ENSG00000141577,"AZ1,KIAA1118"
HGNC:1189,AHSA1,Aha1,HGNC,GENE ID:10598,ENSG00000100591,"Aha1,hAha1,p38"
HGNC:484,ANGPT1,Ang1,HGNC,GENE ID:284,ENSG00000154188,"AGPT-1,Ang1,KIAA0003"
HGNC:485,ANGPT2,Ang2,HGNC,GENE ID:285,ENSG00000091879,Ang2
HGNC:662,ARFRP1,Arp1,HGNC,GENE ID:10139,ENSG00000101246,"ARL18,ARP,Arp1"
HGNC:17372,ACTR10,Arp10,HGNC,GENE ID:55860,ENSG00000131966,"ACTR11,Arp10,Arp11,HARP11"
HGNC:17372,ACTR10,Arp11,HGNC,GENE ID:55860,ENSG00000131966,"ACTR11,Arp10,Arp11,HARP11"
HGNC:24124,ACTL6A,Arp4,HGNC,GENE ID:86,ENSG00000136518,"Actl6,Arp4,BAF53A,Baf53a,INO80K,SMARCN1"
HGNC:14671,ACTR5,Arp5,HGNC,GENE ID:79913,ENSG00000101442,"Arp5,FLJ12785,INO80M"
HGNC:19026,DMBX1,Atx,HGNC,GENE ID:127343,ENSG00000197587,"Atx,MBX,PAXB"
HGNC:30000,BBS9,B1,HGNC,GENE ID:27241,ENSG00000122507,"B1,PTHB1"
HGNC:7315,MS4A1,B1,HGNC,GENE ID:931,ENSG00000156738,"B1,Bp35,FMC7"
HGNC:11894,TNFAIP1,B12,HGNC,GENE ID:7126,ENSG00000109079,"B12,B61,BTBD34,MGC2317"
HGNC:7698,NDUFB3,B12,HGNC,GENE ID:4709,ENSG00000119013,B12
HGNC:2993,DONSON,B17,HGNC,GENE ID:29980,ENSG00000159147,"B17,C2TA,DKFZP434M035"
HGNC:7701,NDUFB6,B17,HGNC,GENE ID:4712,ENSG00000165264,"B17,CI"
HGNC:13239,EVA1C,B18,HGNC,GENE ID:59271,ENSG00000166979,"B18,B19,PRED34"
HGNC:7702,NDUFB7,B18,HGNC,GENE ID:4713,ENSG00000099795,"B18,CI-B18,MGC2480"
HGNC:1699,CD79B,B29,HGNC,GENE ID:974,ENSG00000007312,"B29,Ig-beta,Igbeta"
