gene_symbol,alias_symbol,ENSG_ID,collision,source
CCDC88A,"APE,FLJ10392,GIV,GRDN,HkRP1",ENSG00000115355,APE,HGNC
APEX1,"APE,APE-1,APEN,APX,HAP1,REF-1,REF1",ENSG00000100823,APE,HGNC
ZDHHC16,APH2,ENSG00000171307,APH2,HGNC
NCSTN,"APH2,KIAA0253",ENSG00000162736,APH2,HGNC
ANP32B,"APRIL,PHAPI2,SSP29",ENSG00000136938,APRIL,HGNC
TNFSF13,"APRIL,CD256",ENSG00000161955,APRIL,HGNC
TOB2,"APRO5,TOB4,TOBL,bK223H9",ENSG00000183864,APRO5,HGNC
TOB1,"APRO5,TOB,TROB",ENSG00000141232,APRO5,HGNC
AKR1B1,AR,ENSG00000085662,AR,HGNC
FDXR,"ADR,AR",ENSG00000161513,AR,HGNC
AREG,"AR,CRDGF",ENSG00000109321,AR,HGNC
PPP1R8,"ARD1,NIPP-1,NIPP1,PRO2047,ard-1",ENSG00000117751,ARD1,HGNC
TRIM23,"ARD1,RNF46",ENSG00000113595,ARD1,HGNC
RERE,"ARG,ARP,ATN2,DNB1,KIAA0458",ENSG00000142599,ARG,HGNC
ABL2,ARG,ENSG00000143322,ARG,HGNC
LDLRAP1,"ARH,ARH2,DKFZp586D0624,FHCB1,FHCB2,MGC34705",ENSG00000157978,ARH2,HGNC
ADPRHL1,ARH2,ENSG00000153531,ARH2,HGNC
ACTRT1,"AIP1,ARIP1,Arp-T1,KIAA0705",ENSG00000123165,ARIP1,HGNC
MAGI2,"ACVRIP1,AIP1,ARIP1,KIAA0705,MAGI-2",ENSG00000187391,ARIP1,HGNC
RNF111,"ARK,Arkadia,DKFZP761D081,FLJ38008",ENSG00000157450,ARK,HGNC
AXL,"ARK,JTK11,Tyro7,UFO",ENSG00000167601,ARK,HGNC
CRISP1,"ARP,CRISP-1,HSCRISP1D,HSCRISP1G,HUMARP",ENSG00000124812,ARP,HGNC
MANF,ARP,ENSG00000145050,ARP,HGNC
ARFRP1,"ARL18,ARP,Arp1",ENSG00000101246,ARP,HGNC
RERE,"ARG,ARP,ATN2,DNB1,KIAA0458",ENSG00000142599,ARP,HGNC
ARFRP1,"ARL18,ARP,Arp1",ENSG00000101246,ARP1,HGNC
ACTR1A,"ARP1,Arp1A",ENSG00000138107,ARP1,HGNC
PITX2,"ARP1,Brx1,IGDS,Otlx2,RS",ENSG00000164093,ARP1,HGNC
ANGPTL1,"ANG3,ARP1,AngY",ENSG00000116194,ARP1,HGNC
APOBEC2,"ARCD1,ARP1",ENSG00000124701,ARP1,HGNC
ACTR10,"ACTR11,Arp10,Arp11,HARP11",ENSG00000131966,ARP10,HGNC
APOBEC3H,ARP10,ENSG00000100298,ARP10,HGNC
ACTR3B,"ARP11,ARP3beta",ENSG00000133627,ARP11,HGNC
ACTR10,"ACTR11,Arp10,Arp11,HARP11",ENSG00000131966,ARP11,HGNC
ACTR3C,ARP11,ENSG00000106526,ARP11,HGNC
AICDA,"AID,ARP2,CDA2,HIGM2",ENSG00000111732,ARP2,HGNC
ACTR2,ARP2,ENSG00000138071,ARP2,HGNC
ANGPTL2,"ARP2,HARP",ENSG00000136859,ARP2,HGNC
ACTR3,ARP3,ENSG00000115091,ARP3,HGNC
APOBEC3A,"ARP3,PHRBN",ENSG00000128383,ARP3,HGNC
ANGPTL4,"ARP4,FIAF,HFARP,NL2,PGAR,pp1158",ENSG00000167772,ARP4,HGNC
ACTL6A,"Actl6,Arp4,BAF53A,Baf53a,INO80K,SMARCN1",ENSG00000136518,ARP4,HGNC
ANGPTL6,"AGF,ARP5",ENSG00000130812,ARP5,HGNC
APOBEC3C,"APOBEC1L,ARDC2,ARDC4,ARP5,PBI,bK150C2.3",ENSG00000244509,ARP5,HGNC
ACTR5,"Arp5,FLJ12785,INO80M",ENSG00000101442,ARP5,HGNC
ACTR6,"ARP6,FLJ13433",ENSG00000075089,ARP6,HGNC
APOBEC3D,"APOBEC3DE,ARP6",ENSG00000243811,ARP6,HGNC
APOBEC3F,"ARP8,BK150C2.4.MRNA,KA6",ENSG00000128394,ARP8,HGNC
ACTR8,"ARP8,INO80N",ENSG00000113812,ARP8,HGNC
MAP9,"ASAP,FLJ21159",ENSG00000164114,ASAP,HGNC
LINC00467,"ASAP,MGC14801",ENSG00000153363,ASAP,HGNC
