,collision,gene_symbol,ENSG_ID,source,gene_symbol_count
1317,GPCR,"['LGR6', ' VN1R17P', ' GPR166P', ' MRGPRX3', ' MRGPRX4', ' OXER1', ' LPAR3', ' MRGPRX1', ' GPRC6A', ' FZD4', ' GPR151']","ENSG00000133067, nan, ENSG00000220349, ENSG00000179826, ENSG00000179817, ENSG00000162881, ENSG00000171517, ENSG00000170255, ENSG00000173612, ENSG00000174804, ENSG00000173250",NCBI,11
810,P40,"['BRMS1L', ' PSMD7', ' ARHGEF2', ' IL9', ' TP63', ' ARMH1', ' EBNA1BP2', ' LANCL1', ' H3P28', ' RPSA']","ENSG00000100916, ENSG00000103035, ENSG00000116584, ENSG00000145839, ENSG00000073282, ENSG00000198520, ENSG00000117395, ENSG00000115365, ENSG00000220347, ENSG00000168028",HGNC,10
2515,P58,"['PRIM2', ' KIR2DL3', ' PKM', ' IFIT5', ' PSMD3', ' CDK11B', ' RAD23B', ' H3P20', ' DNAJC3', ' PDIA3']","ENSG00000146143, ENSG00000243772, ENSG00000067225, ENSG00000152778, ENSG00000108344, ENSG00000248333, ENSG00000119318, ENSG00000250351, ENSG00000102580, ENSG00000167004",NCBI,10
1593,HOX1,"['HOXA9', ' HOXA4', ' HOXA10', ' HOXA11', ' HOXA13', ' HOXA3', ' HOXA1', ' HOXA7', ' HOXA6', ' HOXA5']","ENSG00000078399, ENSG00000197576, ENSG00000253293, ENSG00000005073, ENSG00000106031, ENSG00000105997, ENSG00000105991, ENSG00000122592, ENSG00000106006, ENSG00000106004",NCBI,10
675,HOX1,"['HOXA6', ' HOXA10', ' HOXA4', ' HOXA3', ' HOXA13', ' HOXA11', ' HOXA9', ' HOXA1', ' HOXA7', ' HOXA5']","ENSG00000106006, ENSG00000253293, ENSG00000197576, ENSG00000105997, ENSG00000106031, ENSG00000005073, ENSG00000078399, ENSG00000105991, ENSG00000122592, ENSG00000106004",ENSG,10
1081,P40,"['BRMS1L', ' LANCL1', ' RPSA', ' EBNA1BP2', ' H3P28', ' TP63', ' PSMD7', ' ARHGEF2', ' IL9', ' ARMH1']","ENSG00000100916, ENSG00000115365, ENSG00000168028, ENSG00000117395, ENSG00000220347, ENSG00000073282, ENSG00000103035, ENSG00000116584, ENSG00000145839, ENSG00000198520",ENSG,10
3584,UDPGT,"['UGT1A8', ' UGT1A3', ' UGT1A5', ' UGT1A9', ' UGT1A4', ' UGT1A1', ' UGT1A7', ' UGT1A10', ' UGT1A6']","ENSG00000242366, ENSG00000288702, ENSG00000288705, ENSG00000241119, ENSG00000244474, ENSG00000241635, ENSG00000244122, ENSG00000242515, ENSG00000167165",NCBI,9
1397,H3C12,"['H3C11', ' H3C1', ' H3C3', ' H3C8', ' H3C7', ' H3C2', ' H3C6', ' H3C10', ' H3C4']","ENSG00000275379, ENSG00000275714, ENSG00000287080, ENSG00000273983, ENSG00000277775, ENSG00000286522, ENSG00000274750, ENSG00000278828, ENSG00000197409",NCBI,9
677,HOX2,"['HOXB1', ' HOXB9', ' HOXB8', ' HOXB3', ' HOXB7', ' HOXB6', ' HOXB2', ' HOXB5', ' HOXB4']","ENSG00000120094, ENSG00000170689, ENSG00000120068, ENSG00000120093, ENSG00000260027, ENSG00000108511, ENSG00000173917, ENSG00000120075, ENSG00000182742",ENSG,9
1595,HOX2,"['HOXB9', ' HOXB1', ' HOXB2', ' HOXB3', ' HOXB8', ' HOXB7', ' HOXB4', ' HOXB5', ' HOXB6']","ENSG00000170689, ENSG00000120094, ENSG00000173917, ENSG00000120093, ENSG00000120068, ENSG00000260027, ENSG00000182742, ENSG00000120075, ENSG00000108511",NCBI,9
1404,H3C6,"['H3C1', ' H3C11', ' H3C7', ' H3C4', ' H3C8', ' H3C12', ' H3C2', ' H3C3', ' H3C10']","ENSG00000275714, ENSG00000275379, ENSG00000277775, ENSG00000197409, ENSG00000273983, ENSG00000197153, ENSG00000286522, ENSG00000287080, ENSG00000278828",NCBI,9
1405,H3C7,"['H3C3', ' H3C2', ' H3C4', ' H3C10', ' H3C1', ' H3C6', ' H3C11', ' H3C12', ' H3C8']","ENSG00000287080, ENSG00000286522, ENSG00000197409, ENSG00000278828, ENSG00000275714, ENSG00000274750, ENSG00000275379, ENSG00000197153, ENSG00000273983",NCBI,9
1396,H3C11,"['H3C7', ' H3C10', ' H3C8', ' H3C3', ' H3C1', ' H3C4', ' H3C12', ' H3C2', ' H3C6']","ENSG00000277775, ENSG00000278828, ENSG00000273983, ENSG00000287080, ENSG00000275714, ENSG00000197409, ENSG00000197153, ENSG00000286522, ENSG00000274750",NCBI,9
1193,U3,"['RNU3A2', ' RNU3B4', ' RNU3', ' SNORD3P3', ' SNORD3P1', ' SNORD3P4', ' SNORD3@', ' SNORD3A', ' SNORD3F']","nan, nan, nan, nan, ENSG00000200318, nan, nan, ENSG00000263934, nan",HGNC,9
1395,H3C10,"['H3C7', ' H3C3', ' H3C8', ' H3C6', ' H3C1', ' H3C11', ' H3C12', ' H3C2', ' H3C4']","ENSG00000277775, ENSG00000287080, ENSG00000273983, ENSG00000274750, ENSG00000275714, ENSG00000275379, ENSG00000197153, ENSG00000286522, ENSG00000197409",NCBI,9
1394,H3C1,"['H3C7', ' H3C6', ' H3C3', ' H3C8', ' H3C4', ' H3C12', ' H3C10', ' H3C2', ' H3C11']","ENSG00000277775, ENSG00000274750, ENSG00000287080, ENSG00000273983, ENSG00000197409, ENSG00000197153, ENSG00000278828, ENSG00000286522, ENSG00000275379",NCBI,9
2212,NAP1,"['NCKAP1', ' ACOT8', ' NAP1L1', ' CXCL8', ' AZI2', ' TRMO', ' NAA25', ' TAB3', ' NAPSA']","ENSG00000061676, ENSG00000101473, ENSG00000187109, ENSG00000169429, ENSG00000163512, ENSG00000136932, ENSG00000111300, ENSG00000157625, ENSG00000131400",NCBI,9
2463,P18,"['EEF1E1', ' MAFK', ' LAMTOR1', ' TPPP2', ' CDKN2C', ' ZNF197', ' ATRAID', ' H3P12', ' UBE2I']","ENSG00000124802, ENSG00000198517, ENSG00000149357, ENSG00000179636, ENSG00000123080, ENSG00000186448, ENSG00000138085, nan, ENSG00000103275",NCBI,9
1403,H3C4,"['H3C3', ' H3C2', ' H3C7', ' H3C11', ' H3C10', ' H3C8', ' H3C6', ' H3C12', ' H3C1']","ENSG00000287080, ENSG00000286522, ENSG00000277775, ENSG00000275379, ENSG00000278828, ENSG00000273983, ENSG00000274750, ENSG00000197153, ENSG00000275714",NCBI,9
1401,H3C2,"['H3C8', ' H3C4', ' H3C6', ' H3C10', ' H3C1', ' H3C7', ' H3C12', ' H3C11', ' H3C3']","ENSG00000273983, ENSG00000197409, ENSG00000274750, ENSG00000278828, ENSG00000275714, ENSG00000277775, ENSG00000197153, ENSG00000275379, ENSG00000287080",NCBI,9
1406,H3C8,"['H3C6', ' H3C10', ' H3C12', ' H3C3', ' H3C11', ' H3C1', ' H3C7', ' H3C4', ' H3C2']","ENSG00000274750, ENSG00000278828, ENSG00000197153, ENSG00000287080, ENSG00000275379, ENSG00000275714, ENSG00000277775, ENSG00000197409, ENSG00000286522",NCBI,9
1051,P14,"['LAMTOR2', ' SF3B6', ' CDKN2A', ' SUB1', ' RPP14', ' CDK2AP2', ' S100A9', ' H3P8', ' CTNNBL1']","ENSG00000116586, ENSG00000115128, ENSG00000147889, ENSG00000113387, ENSG00000163684, ENSG00000167797, ENSG00000163220, ENSG00000270915, ENSG00000132792",ENSG,9
1402,H3C3,"['H3C6', ' H3C12', ' H3C7', ' H3C2', ' H3C1', ' H3C8', ' H3C4', ' H3C10', ' H3C11']","ENSG00000274750, ENSG00000197153, ENSG00000277775, ENSG00000286522, ENSG00000275714, ENSG00000273983, ENSG00000197409, ENSG00000278828, ENSG00000275379",NCBI,9
