,NCBI_ID,gene_symbol,alias_symbol,HGNC_ID,ENSG_ID
18543,146857,SLFN13,SLFN10,26481,ENSG00000154760
18543,146857,SLFN13,HSLFN13,26481,ENSG00000154760
18544,146861,SLC35G3,AMAC1,26848,ENSG00000164729
18544,146861,SLC35G3,TMEM21A,26848,ENSG00000164729
18545,146862,UNC45B,CMYA4,14304,ENSG00000141161
18545,146862,UNC45B,CTRCT43,14304,ENSG00000141161
18545,146862,UNC45B,MFM11,14304,ENSG00000141161
18545,146862,UNC45B,SMUNC45,14304,ENSG00000141161
18545,146862,UNC45B,UNC-45B,14304,ENSG00000141161
18545,146862,UNC45B,UNC45,14304,ENSG00000141161
18547,146894,CD300LG,CLM-9,30455,ENSG00000161649
18547,146894,CD300LG,CLM9,30455,ENSG00000161649
18547,146894,CD300LG,NEPMUCIN,30455,ENSG00000161649
18547,146894,CD300LG,TREM-4,30455,ENSG00000161649
18547,146894,CD300LG,TREM4,30455,ENSG00000161649
18549,146923,RUNDC1,RUND1,25418,ENSG00000198863
18550,146956,EME1,MMS4L,24965,ENSG00000154920
18550,146956,EME1,SLX2A,24965,ENSG00000154920
18552,147007,TMEM199,C17ORF32,18085,ENSG00000244045
18552,147007,TMEM199,CDG2P,18085,ENSG00000244045
18552,147007,TMEM199,VMA12,18085,ENSG00000244045
18552,147007,TMEM199,VPH2,18085,ENSG00000244045
18554,147015,DHRS13,SDR7C5,28326,ENSG00000167536
18555,147040,KCTD11,C17ORF36,21302,ENSG00000213859
18555,147040,KCTD11,KCASH1,21302,ENSG00000213859
18555,147040,KCTD11,REN,21302,ENSG00000213859
18555,147040,KCTD11,REN/KCTD11,21302,ENSG00000213859
18556,147081,LINC02210,C17ORF69,26327,ENSG00000293460
18556,147081,LINC02210,CRHR1-IT1,26327,ENSG00000293460
18558,147111,NOTUM,HNOTUM,27106,ENSG00000185269
18559,147138,TMC8,EV2,20474,ENSG00000167895
18559,147138,TMC8,EVER2,20474,ENSG00000167895
18559,147138,TMC8,EVIN2,20474,ENSG00000167895
18561,147166,TRIM16L,TRIM70,32670,ENSG00000291110
18562,147172,LRRC37BP1,LRRC37B2,25390,
18563,147179,WIPF2,WICH,30923,ENSG00000171475
18563,147179,WIPF2,WIRE,30923,ENSG00000171475
18564,147183,KRT25,ARWH3,30839,ENSG00000204897
18564,147183,KRT25,KRT24IRS1,30839,ENSG00000204897
18564,147183,KRT25,KRT25A,30839,ENSG00000204897
18565,147184,KRT10-AS1,TMEM99,28305,ENSG00000167920
18566,147199,SCGB1C1,RYD5,18394,ENSG00000188076
18569,147276,C18ORF15,HST3231,26447,ENSG00000279020
18571,147339,ARK2N,ARKL1,28172,ENSG00000152242
18571,147339,ARK2N,C18ORF25,28172,ENSG00000152242
18571,147339,ARK2N,RNF111L1,28172,ENSG00000152242
18572,147372,CCBE1,HKLLS1,29426,ENSG00000183287
18574,147407,SLC25A52,MCART2,23324,ENSG00000141437
18575,147409,DSG4,CDGF13,21307,ENSG00000175065
18575,147409,DSG4,CDHF13,21307,ENSG00000175065
