,collision,ENSG_ID,gene_symbol,source
33,AD3,"ENSG00000204634, ENSG00000080815","TBC1D8, PSEN1",ENSG
34,ADA1,"ENSG00000152382, ENSG00000196839","TADA1, ADA",ENSG
35,AE2,"ENSG00000164889, ENSG00000142794","SLC4A2, NBPF3",ENSG
36,AF-1,"ENSG00000159128, ENSG00000159352","IFNGR2, PSMD4",ENSG
37,AG2,"ENSG00000187479, ENSG00000106541","C11ORF96, AGR2",ENSG
38,AGC1,"ENSG00000292099, ENSG00000157766","SLC25A12, ACAN",ENSG
39,AGPAT10,"ENSG00000275079, ENSG00000138678","LPCAT1, GPAT3",ENSG
40,AGPAT9,"ENSG00000275079, ENSG00000138678","LPCAT1, GPAT3",ENSG
41,AGS1,"ENSG00000108551, ENSG00000213689","RASD1, TREX1",ENSG
42,AGS3,"ENSG00000160360, ENSG00000172922","GPSM1, RNASEH2C",ENSG
43,AGS4,"ENSG00000233490, ENSG00000104889","GPSM3, RNASEH2A",ENSG
44,AHA1,"ENSG00000173209, ENSG00000100591","AHSA2P, AHSA1",ENSG
45,AIBP,"ENSG00000127423, ENSG00000163382","AUNIP, NAXE",ENSG
46,AIM-1,"ENSG00000281919, ENSG00000178999","SLC45A2, AURKB",ENSG
47,AIP1,"ENSG00000071127, ENSG00000170540, ENSG00000170248, ENSG00000136848, ENSG00000187391, ENSG00000123165","WDR1, ARL6IP1, PDCD6IP, DAB2IP, MAGI2, ACTRT1",ENSG
48,AK3L1,"ENSG00000147853, ENSG00000162433","AK3, AK4",ENSG
49,ALC1,"ENSG00000198336, ENSG00000131778","MYL4, CHD1L",ENSG
50,ALDH4,"ENSG00000143149, ENSG00000159423","ALDH9A1, ALDH4A1",ENSG
51,ALDH7,"ENSG00000143149, ENSG00000006534","ALDH9A1, ALDH3B1",ENSG
52,ALDRP,"ENSG00000173208, ENSG00000213452","ABCD2, AKR1B1P2",ENSG
53,ALIEN,"ENSG00000259974, ENSG00000166200","LINC00261, COPS2",ENSG
54,ALK1,"ENSG00000124107, ENSG00000139567, ENSG00000171094","SLPI, ACVRL1, ALK",ENSG
55,ALP,"ENSG00000154553, ENSG00000162174, ENSG00000213927, ENSG00000107518, ENSG00000124107","PDLIM3, ASRGL1, CCL27, ATRNL1, SLPI",ENSG
56,ALP1,"ENSG00000162174, ENSG00000154438","ASRGL1, ASZ1",ENSG
57,ALR,"ENSG00000117448, ENSG00000167548, ENSG00000291944","AKR1A1, KMT2D, GFER",ENSG
58,ALS,"ENSG00000099769, ENSG00000142168","IGFALS, SOD1",ENSG
59,ALX,"ENSG00000196684, ENSG00000171049","HSH2D, FPR2",ENSG
60,AM,"ENSG00000171681, ENSG00000148926","ATF7IP, ADM",ENSG
61,AMCD2B,"ENSG00000288219, ENSG00000288250","TNNI2, TNNT3",ENSG
62,AMY1,"ENSG00000187733, ENSG00000174876, ENSG00000237763","AMY1C, AMY1B, AMY1A",ENSG
63,AMY2,"ENSG00000240038, ENSG00000243480","AMY2B, AMY2A",ENSG
64,AN,"ENSG00000150636, ENSG00000139734, ENSG00000007372","CCDC102B, DIAPH3, PAX6",ENSG
