,ENSG_ID,gene_symbol,alias_symbol,HGNC_ID,NCBI_ID
79,ENSG00000210191,MT-TL2,{'MTTL2'},7491,
80,ENSG00000210191,MT-TL2,{'TRNL2'},7491,
81,ENSG00000198786,MT-ND5,{'MTND5'},7461,4540
82,ENSG00000198786,MT-ND5,{'NAD5'},7461,4540
83,ENSG00000198786,MT-ND5,{'ND5'},7461,4540
84,ENSG00000198695,MT-ND6,{'MTND6'},7462,4541
85,ENSG00000198695,MT-ND6,{'NAD6'},7462,4541
86,ENSG00000198695,MT-ND6,{'ND6'},7462,4541
87,ENSG00000210194,MT-TE,{'MTTE'},7479,
88,ENSG00000210194,MT-TE,{'TRNE'},7479,
89,ENSG00000198727,MT-CYB,{'COB'},7427,4519
90,ENSG00000198727,MT-CYB,{'CYTB'},7427,4519
91,ENSG00000198727,MT-CYB,{'MTCYB'},7427,4519
92,ENSG00000198727,MT-CYB,{'UQCR3'},7427,4519
93,ENSG00000210195,MT-TT,{'LIMM'},7499,
94,ENSG00000210195,MT-TT,{'MTTT'},7499,
95,ENSG00000210195,MT-TT,{'TRNT'},7499,
96,ENSG00000210196,MT-TP,{'MTTP'},7494,
97,ENSG00000210196,MT-TP,{'TRNP'},7494,
324,ENSG00000274847,MAFIP,{'FLJ00219'},31102,727764
325,ENSG00000274847,MAFIP,{'FLJ35473'},31102,727764
326,ENSG00000274847,MAFIP,{'FLJ39633'},31102,727764
327,ENSG00000274847,MAFIP,{'MIP'},31102,727764
328,ENSG00000274847,MAFIP,{'PP5644'},31102,727764
329,ENSG00000274847,MAFIP,{'TEKT4P4'},31102,727764
992,ENSG00000292254,SHANK3,{'DEL22q13.3'},,85358
993,ENSG00000292254,SHANK3,{'PROSAP2'},,85358
994,ENSG00000292254,SHANK3,{'PSAP2'},,85358
995,ENSG00000292254,SHANK3,{'SCZD15'},,85358
996,ENSG00000292254,SHANK3,{'SPANK-2'},,85358
1007,ENSG00000291414,MIR4740,{'HSA-MIR-4740'},41711,100616294
1008,ENSG00000291415,MIR3186,{'HSA-MIR-3186'},38311,100422944
1012,ENSG00000291420,ACTG1,{'ACTG'},144,71
1013,ENSG00000291420,ACTG1,{'DFNA20'},144,71
1014,ENSG00000291420,ACTG1,{'DFNA26'},144,71
1016,ENSG00000288204,HMX1,{'H6'},5017,3166
1017,ENSG00000288204,HMX1,{'NKX5-3'},5017,3166
1019,ENSG00000291421,BAHCC1,{'BAHD2'},29279,57597
1020,ENSG00000291421,BAHCC1,{'KIAA1447'},29279,57597
1033,ENSG00000288499,FAM20C,{'DKFZP547D065'},22140,56975
1034,ENSG00000288499,FAM20C,{'DMP4'},22140,56975
1035,ENSG00000288499,FAM20C,{'G-CK'},22140,56975
1036,ENSG00000288499,FAM20C,{'IMAGE:4942737'},22140,56975
1040,ENSG00000263150,OR8J2,{'OR8J2P'},15311,81169
1042,ENSG00000261897,OR5T3,{'OR5T3Q'},15297,390154
1043,ENSG00000262784,OR5T1,{'OR5T1P'},14821,390155
1055,ENSG00000288269,GCGR,{'GGR'},4192,2642
1056,ENSG00000288213,MCRIP1,{'FAM195B'},28007,348262
1057,ENSG00000288213,MCRIP1,{'GRAN2'},28007,348262
1058,ENSG00000288213,MCRIP1,{'MCRIP'},28007,348262
1066,ENSG00000288186,PPP1R27,{'DYSFIP1'},16813,116729
1067,ENSG00000288186,PPP1R27,{'TOONIN'},16813,116729
1071,ENSG00000282175,HNRNPCL1,{'HNRPCL1'},29295,343069
1072,ENSG00000282817,PRAMEF2,{'FLJ43580'},28841,65122
1073,ENSG00000282584,PRAMEF4,{'RP5-845O24.6'},31971,400735
1079,ENSG00000282791,PRAMEF28P,{'PRAMEF28'},51890,
1086,ENSG00000282530,HNRNPCL2,{'HNRNPCP5'},48813,440563
1093,ENSG00000261958,OR9G1,{'OR9G5'},15319,390174
1101,ENSG00000281777,OR9G2P,{'OR9G6'},15320,
1103,ENSG00000282424,PRAMEF5,{'PRAMEF23'},27995,343068
1104,ENSG00000282424,PRAMEF5,{'PRAMEF5L'},27995,343068
1105,ENSG00000281313,OR5G1P,{'OR11-104'},8344,
1106,ENSG00000281313,OR5G1P,{'OR5G2P'},8344,
1107,ENSG00000281313,OR5G1P,{'OR93'},8344,
1110,ENSG00000282288,RNU6-771P,{'RNU6-1185P'},47734,
1113,ENSG00000281107,OR5G3,{'OR5G3P'},15287,
1114,ENSG00000281107,OR5G3,{'OR5G6P'},15287,
1116,ENSG00000282125,PRAMEF33,{'PRAMEF33P'},49193,645382
1117,ENSG00000293551,PRAMEF22,{'PRAMEF3L'},34393,653606
1119,ENSG00000291381,ARHGEF19,{'FLJ33962'},26604,128272
1120,ENSG00000291381,ARHGEF19,{'WGEF'},26604,128272
1122,ENSG00000288263,GRK1,{'GPRK1'},10013,6011
1123,ENSG00000288263,GRK1,{'RHOK'},10013,6011
1124,ENSG00000288263,GRK1,{'RK'},10013,6011
1125,ENSG00000291404,ANO7L1,{'ANO7P1'},32248,
1126,ENSG00000291404,ANO7L1,{'C1ORF224'},32248,
1127,ENSG00000291404,ANO7L1,{'TMEM16M'},32248,
1129,ENSG00000291382,CPLANE2,{'C1ORF89'},28127,79363
1130,ENSG00000291382,CPLANE2,{'MGC10731'},28127,79363
1131,ENSG00000291382,CPLANE2,{'RSG1'},28127,79363
1133,ENSG00000291377,MT1XP1,{'MTL1'},7442,
1134,ENSG00000291375,FBXO42,{'FBX42'},29249,54455
1135,ENSG00000291375,FBXO42,{'KIAA1332'},29249,54455
1136,ENSG00000291379,SZRD1,{'C1ORF144'},30232,26099
1137,ENSG00000291379,SZRD1,{'DKFZP566C0424'},30232,26099
1139,ENSG00000291401,SPATA21,{'SPERGEN-2'},28026,374955
1140,ENSG00000291401,SPATA21,{'SPERGEN2'},28026,374955
1141,ENSG00000291380,NECAP2,{'FLJ10420'},25528,55707
1142,ENSG00000291388,LINC01772,{'ENSG00000226029'},52562,107984921
1143,ENSG00000291402,CROCCP3,{'CROCCL2'},29405,114819
1144,ENSG00000291402,CROCCP3,{'dJ798A10.2'},29405,114819
1146,ENSG00000291402,CROCCP3,{'KIAA1922'},29405,114819
