,HGNC_ID,alias_symbol,NCBI_ID,ENSG_ID,gene_symbol
301,25829,{'FLJ13614'},84142,ENSG00000163322,ABRAXAS1
302,25829,{'ABRA1'},84142,ENSG00000163322,ABRAXAS1
303,25829,{'ABRAXAS'},84142,ENSG00000163322,ABRAXAS1
306,28975,{'Em:AC068896.4'},23172,ENSG00000165660,ABRAXAS2
307,28975,{'ABRO1'},23172,ENSG00000165660,ABRAXAS2
308,17369,{'Esf2'},29777,ENSG00000146109,ABT1
310,18275,{'BPOZ'},80325,ENSG00000114626,ABTB1
311,18275,{'EF1ABP'},80325,ENSG00000114626,ABTB1
312,18275,{'Btb3'},80325,ENSG00000114626,ABTB1
313,18275,{'BTBD21'},80325,ENSG00000114626,ABTB1
314,18275,{'BPOZ-2'},80325,ENSG00000114626,ABTB1
315,23842,{'DKFZP586C1619'},25841,ENSG00000166016,ABTB2
316,23842,{'BTBD22'},25841,ENSG00000166016,ABTB2
317,23842,{'ABTB2A'},25841,ENSG00000166016,ABTB2
318,23844,{'FLJ33957'},121551,ENSG00000151136,ABTB3
319,23844,{'ABTB2B'},121551,ENSG00000151136,ABTB3
320,82,{'Lnc-Myd88'},30,ENSG00000060971,ACAA1
321,83,{'DSAEC'},10449,ENSG00000167315,ACAA2
323,84,{'ACC1'},31,ENSG00000278540,ACACA
324,84,{'ACC-alpha'},31,ENSG00000278540,ACACA
325,84,{'ACCA'},31,ENSG00000278540,ACACA
326,84,{'ACCalpha'},31,ENSG00000278540,ACACA
327,84,{'ACACalpha'},31,ENSG00000278540,ACACA
328,84,{'Acac1'},31,ENSG00000278540,ACACA
329,84,{'hACC1'},31,ENSG00000278540,ACACA
330,85,{'HACC275'},32,ENSG00000076555,ACACB
331,85,{'ACC2'},32,ENSG00000076555,ACACB
332,85,{'ACCB'},32,ENSG00000076555,ACACB
333,85,{'ACC-beta'},32,ENSG00000076555,ACACB
334,85,{'ACCbeta'},32,ENSG00000076555,ACACB
335,85,{'ACACbeta'},32,ENSG00000076555,ACACB
338,21497,{'NPD002'},28976,ENSG00000177646,ACAD9
339,21497,{'MGC14452'},28976,ENSG00000177646,ACAD9
341,21597,{'MGC5601'},80724,ENSG00000111271,ACAD10
342,30211,{'FLJ12592'},84129,ENSG00000240303,ACAD11
343,88,{'LCAD'},33,ENSG00000115361,ACADL
344,88,{'ACAD4'},33,ENSG00000115361,ACADL
345,89,{'MCAD'},34,ENSG00000117054,ACADM
346,89,{'MCADH'},34,ENSG00000117054,ACADM
347,89,{'ACAD1'},34,ENSG00000117054,ACADM
348,90,{'SCAD'},35,ENSG00000122971,ACADS
349,90,{'ACAD3'},35,ENSG00000122971,ACADS
350,91,{'SBCAD'},36,ENSG00000196177,ACADSB
351,91,{'ACAD7'},36,ENSG00000196177,ACADSB
352,92,{'VLCAD'},37,ENSG00000072778,ACADVL
353,92,{'LCACD'},37,ENSG00000072778,ACADVL
354,92,{'ACAD6'},37,ENSG00000072778,ACADVL
355,319,{'CSPGCP'},176,ENSG00000157766,ACAN
356,16467,{'KIAA0050'},9744,ENSG00000072818,ACAP1
357,16469,{'KIAA0041'},23527,ENSG00000114331,ACAP2
358,16469,{'CNT-B2'},23527,ENSG00000114331,ACAP2
360,16754,{'KIAA1716'},116983,ENSG00000131584,ACAP3
361,93,{'THIL'},38,ENSG00000075239,ACAT1
363,15453,{'GCP60'},64746,ENSG00000182827,ACBD3
364,15453,{'PAP7'},64746,ENSG00000182827,ACBD3
365,40701,{'RP11-275I14.4'},107985353,ENSG00000234478,ACBD3-AS1
366,23337,{'FLJ13322'},79777,ENSG00000181513,ACBD4
367,23338,{'DKFZp434A2417'},91452,ENSG00000107897,ACBD5
368,23338,{'KIAA1996'},91452,ENSG00000107897,ACBD5
369,23339,{'MGC2404'},84320,ENSG00000230124,ACBD6
370,17715,{'FLJ38219'},414149,ENSG00000176244,ACBD7
371,17715,{'bA455B2.2'},414149,ENSG00000176244,ACBD7
372,23989,{'PHACS'},84680,ENSG00000110455,ACCS
373,23989,{'ACS'},84680,ENSG00000110455,ACCS
376,25070,{'Ptop'},65057,ENSG00000102977,ACD
377,25070,{'Pip1'},65057,ENSG00000102977,ACD
378,25070,{'Tpp1'},65057,ENSG00000102977,ACD
379,25070,{'Tint1'},65057,ENSG00000102977,ACD
380,2707,{'ACE1'},1636,ENSG00000159640,ACE
381,2707,{'CD143'},1636,ENSG00000159640,ACE
382,13557,{'ACEH'},59272,ENSG00000130234,ACE2
383,56255,{'GS1-594A7.3'},104798195,ENSG00000225833,ACE2-DT
386,23675,{'FLJ41587'},340485,ENSG00000177076,ACER2
387,23675,{'ALKCDase2'},340485,ENSG00000177076,ACER2
389,16066,{'FLJ11238'},55331,ENSG00000078124,ACER3
390,16066,{'APHC'},55331,ENSG00000078124,ACER3
392,17066,{'KIAA0670'},22985,ENSG00000100813,ACIN1
393,17066,{'fSAP152'},22985,ENSG00000100813,ACIN1
394,4035,{'CCBP1'},2532,ENSG00000213088,ACKR1
395,4035,{'GPD'},2532,ENSG00000213088,ACKR1
396,4035,{'Dfy'},2532,ENSG00000213088,ACKR1
397,4035,{'CD234'},2532,ENSG00000213088,ACKR1
398,1565,{'CCR10'},1238,ENSG00000144648,ACKR2
399,1565,{'D6'},1238,ENSG00000144648,ACKR2
400,1565,{'CCR9'},1238,ENSG00000144648,ACKR2
401,23692,{'RDC1'},57007,ENSG00000144476,ACKR3
402,23692,{'GPR159'},57007,ENSG00000144476,ACKR3
