,alias_symbol,gene_symbol,ENSG_ID,source
4024,TARG1,"['OARD1', ' NDRG1']","['ENSG00000124596', ' ENSG00000104419']",['NCBI']
4025,TAT1,"['SLC16A10', 'SLC26A8', ' SLC26A8', ' SLC16A10']","[' ENSG00000112053', ' ENSG00000112394', 'ENSG00000112053', 'ENSG00000112394']","['HGNC', 'NCBI']"
4026,TAX1BP2,"['VAC14', ' CROCC']","['ENSG00000103043', ' ENSG00000058453']",['NCBI']
4027,TAZ,"[' WWTR1', 'TAFAZZIN']","['ENSG00000102125', ' ENSG00000018408']",['NCBI']
4028,TBC1D3,"[' TBC1D3E', ' TBC1D3D', 'TBC1D3F', ' TBC1D3I', ' TBC1D3C']","[' ENSG00000278599', ' ENSG00000278299', ' ENSG00000274419', 'ENSG00000275954', ' ENSG00000274933']",['NCBI']
4029,TBC1D3A,"[' TBC1D3E', ' TBC1D3', 'TBC1D3I', ' TBC1D3D', ' TBC1D3C']","['ENSG00000274933', ' ENSG00000278599', ' ENSG00000278299', ' ENSG00000274419', ' ENSG00000274611']",['NCBI']
4030,TBC1D3C,"['TBC1D3G', ' TBC1D3']","['ENSG00000260287', ' ENSG00000274611']",['NCBI']
4031,TBC1D3D,"[' TBC1D3G', 'TBC1D3C', ' TBC1D3']","['ENSG00000278299', ' ENSG00000274611', ' ENSG00000260287']",['NCBI']
4032,TBC1D3L,"[' TBC1D3B', 'TBC1D3']","[' ENSG00000274808', 'ENSG00000274611']",['NCBI']
4033,TBL1,"[' TBL1X', 'TBL1Y']","['ENSG00000092377', ' ENSG00000101849']",['NCBI']
4034,TBP1,"['TNFRSF1A', ' PSMC3', ' TBP']","['ENSG00000067182', ' ENSG00000112592', ' ENSG00000165916']",['NCBI']
4035,TC,"[' CD55', 'TCN2']","['ENSG00000185339', ' ENSG00000196352']",['NCBI']
4036,TC-1,"['TCIM', ' TCN1']","[' ENSG00000134827', 'ENSG00000176907']",['NCBI']
4037,TC1,"['TCN1', ' SLC19A2', ' PPBP', ' TCIM']","[' ENSG00000117479', 'ENSG00000134827', ' ENSG00000163736', ' ENSG00000176907']",['NCBI']
4038,TC2,"[' PPBP', 'TCN2']","['ENSG00000185339', ' ENSG00000163736']",['NCBI']
4039,TC4,"[' RAN', 'RANP1']","[' ENSG00000132341', 'nan']",['NCBI']
4040,TCBA1,"['UBL7', ' NKAIN2']","['ENSG00000138629', ' ENSG00000188580']",['NCBI']
4041,TCEB1L,"[' SKP1', 'SKP1P1']","[' ENSG00000113558', 'nan']",['NCBI']
4042,TCEB1P26,"['ELOCP26', ' ELOCP36']","[' nan', 'nan']",['NCBI']
4043,TCEB3C,"[' ELOA3BP', 'ELOA3P']","[' ENSG00000288607', 'nan']",['NCBI']
4044,TCEB3CL,"[' ELOA3BP', 'ELOA3CP']","[' ENSG00000288607', 'nan']",['NCBI']
4045,TCEB3L2,"[' ELOA3BP', 'ELOA3P']","[' ENSG00000288607', 'nan']",['NCBI']
4046,TCF-1,"[' TCF7', 'HNF1A']","[' ENSG00000081059', 'ENSG00000135100']",['NCBI']
4047,TCF-3,"[' TCF3', 'TCF7L1']","['ENSG00000152284', ' ENSG00000071564']",['NCBI']
4048,TCF-4,"['TCF4', ' TCF7L2']","['ENSG00000196628', ' ENSG00000148737']",['NCBI']
4049,TCF6L1,"[' TFAMP1', 'TFAM']","['ENSG00000108064', ' nan']",['NCBI']
4050,TCF6L3,"[' TFAMP2', 'TFAM']","['ENSG00000108064', ' nan']",['NCBI']
4051,TCI,"['TCN1', ' LXN']","['ENSG00000134827', ' ENSG00000079257']",['NCBI']
4052,TCP11X2,"['NXF2B', ' NXF2']","[' ENSG00000269405', 'ENSG00000269437']",['NCBI']
4053,TCRA,"['TRAV29DV5', ' TRAJ60', ' TRAC', ' TRA']","['ENSG00000211810', ' nan', ' ENSG00000277734', ' ENSG00000249446']",['NCBI']
