,ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,aliases,collision_symbol,source
32100,ENSG00000248333,CDK11B,1729,984,"CDK11-p110, CDK11-p58, CDK11-p46", CDK11-p58,HGNC
2713,ENSG00000102890,ELMO3,17289,79767,"FLJ13824, CED12, ELMO-3, CED-12", CED-12,HGNC
9874,ENSG00000155849,ELMO1,16286,9844,"KIAA0281, CED12, ELMO-1, CED-12", CED-12,HGNC
844,ENSG00000062598,ELMO2,17233,63916,"CED12, ELMO-2, CED-12, KIAA1834, FLJ11656", CED-12,HGNC
2713,ENSG00000102890,ELMO3,17289,79767,"FLJ13824, CED12, ELMO-3, CED-12", CED12,HGNC
9874,ENSG00000155849,ELMO1,16286,9844,"KIAA0281, CED12, ELMO-1, CED-12", CED12,HGNC
7225,ENSG00000136243,NUP42,17010,11097,"NLP_1, CG1, hCG1, H_RG271G13.9", CG1,HGNC
5837,ENSG00000126777,KTN1,6467,3895,"KIAA0004, CG1, KNT", CG1,HGNC
1219,ENSG00000073146,MOV10L1,7201,54456,"DJ402G11.8, DKFZp434B0717, CHAMP", CHAMP,HGNC
17719,ENSG00000198824,CHAMP1,20311,283489,"CAMP, CHAMP", CHAMP,HGNC
3964,ENSG00000111875,ASF1A,20995,25842,"DKFZP547E2110, CIA", CIA,HGNC
5453,ENSG00000124160,NCOA5,15909,57727,"bA465L10.6, CIA", CIA,HGNC
15775,ENSG00000185043,CIB1,16920,10519,"SIP2-28, CIB, KIP", CIB,HGNC
4315,ENSG00000114779,ABHD14B,28235,84836,"MGC15429, CIB", CIB,HGNC
22410,ENSG00000220548,VIM2P,43891,100130535,"lncRNA-CIR, RP11-162L10.1, VIM2, CIR", CIR,HGNC
5042,ENSG00000120457,KCNJ5,6266,3762,"Kir3.4, CIR, KATP1, GIRK4, LQT13", CIR,HGNC
2471,ENSG00000101222,SPEF1,15874,25876,"DKFZP434I114, SPEF1A, CLAMP", CLAMP,HGNC
13710,ENSG00000174827,PDZK1,8821,5174,"PDZD1, NHERF3, CAP70, CLAMP, NaPi-Cap1", CLAMP,HGNC
1909,ENSG00000091106,NLRC4,16412,58484,"CLAN1, ipaf, CLANA, CLANB, CLANC, CLAND, CLR2.1, CLAN", CLAN,HGNC
25511,ENSG00000228742,LINC02577,53749,111216280,"AC002384.1, SLINKY, CLAN", CLAN,HGNC
2501,ENSG00000101343,CRNKL1,15762,51340,"CRN, CLF, SYF3, Clf1", CLF,HGNC
116,ENSG00000006016,CRLF1,2364,9244,"CLF-1, CLF, CISS, CISS1", CLF,HGNC
3341,ENSG00000106665,CLIP2,2586,7461,"CLIP-115, KIAA0291, WSCR4, CLIP, WSCR3", CLIP,HGNC
6325,ENSG00000130779,CLIP1,10461,6249,"CYLN1, CLIP170, CLIP, CLIP-170", CLIP,HGNC
4358,ENSG00000115138,POMC,9201,5443,"MSH, POC, CLIP, ACTH, NPP, LPH", CLIP,HGNC
9289,ENSG00000150656,CNDP1,20675,84735,"MGC10825, CN1, CPGL2, HsT2308", CN1,HGNC
4637,ENSG00000116981,NT5C1A,17819,84618,"CN-I, CN-IA, CN1A, CN1, MGC119199, MGC119201", CN1,HGNC
23568,ENSG00000224389,C4B,1324,721,"CPAMD3, C4F, CO4, C4B1, C4B3, CH", CO4,HGNC
31838,ENSG00000244731,C4A,1323,720,"CPAMD2, C4S, CO4, C4, C4A3, C4A2, C4A4, C4A6, C4B, RG", CO4,HGNC
9645,ENSG00000153774,CFDP1,1873,10428,"BCNT, p97, CP27, SWC5, Yeti, CENP-29", CP27,HGNC
7158,ENSG00000135929,CYP27A1,2605,1593,"CTX, CP27", CP27,HGNC
13202,ENSG00000172216,CEBPB,1834,1051,"LAP, CRP2, NFIL6, IL6DBP, C/EBP-beta", CRP2,HGNC
13784,ENSG00000175183,CSRP2,2470,1466,"SmLIM, CRP2, LMO5", CRP2,HGNC
