,ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,aliases,collision_symbol,source
7496,ENSG00000137332,DDR1,2730,780,"CAK, CD167, EDDR1, NEP, NTRK4, PTK3A, RTK6",CAK,ENSG
6865,ENSG00000134058,CDK7,1778,1022,"CAK, CAK1, CDKN7, MO15, STK1",CAK,ENSG
634,ENSG00000047932,GOPC,17643,57120,"CAL, DJ94G16.2, FIG, GOPC1, PIST",CAL,ENSG
10819,ENSG00000162458,FBLIM1,24686,54751,"CAL, FBLP-1, MIGFILIN",CAL,ENSG
17038,ENSG00000189057,FAM111B,24200,374393,CANP,CANP,ENSG
349,ENSG00000014216,CAPN1,1476,823,"CANP, CANPL1, MUCANP, MUCL",CANP,ENSG
11817,ENSG00000165996,HACD1,9639,9200,"CAP, PTPLA",CAP,ENSG
6458,ENSG00000131236,CAP1,20040,10487,CAP,CAP,ENSG
4212,ENSG00000113441,LNPEP,6656,4012,"CAP, IRAP, P-LAP, PLAP",CAP,ENSG
2048,ENSG00000095637,SORBS1,14565,10580,"CAP, FLJ12406, KIAA1296, PONSIN, SH3D5, SH3P12",CAP,ENSG
8225,ENSG00000141867,BRD4,13575,23476,"CAP, FSHRG4, HUNK1, HUNKI, MCAP",CAP,ENSG
5581,ENSG00000124570,SERPINB6,8950,5269,"CAP, DFNB91, PI6, PTI",CAP,ENSG
11928,ENSG00000166401,SERPINB8,8952,5271,"CAP2, PI8",CAP2,ENSG
7549,ENSG00000137648,TMPRSS4,11878,56649,"CAP2, MT-SP2, TMPRSS3",CAP2,ENSG
9266,ENSG00000149418,ST14,11344,6768,"CAP3, HAI, MT-SP1, PRSS14, SNC19, TMPRSS14",CAP3,ENSG
12945,ENSG00000170542,SERPINB9,8955,5272,"CAP3, PI9",CAP3,ENSG
9853,ENSG00000154639,CXADR,2559,1525,CAR,CAR,ENSG
8400,ENSG00000143257,NR1I3,7969,9970,"CAR, CAR1, MB67",CAR,ENSG
17753,ENSG00000197912,SPG7,11237,6687,"CAR, CMAR, SPG5C",CAR,ENSG
24608,ENSG00000214319,CXADRP1,23770,,"CAR, CXADRP",CAR,ENSG
3132,ENSG00000105483,CARD8,17057,22900,"CARDINAL, DAKAR, KIAA0955, NDPP, TUCAN",CARDINAL,ENSG
14753,ENSG00000179136,LINC00670,44338,284034,"CARDINAL, FLJ34690",CARDINAL,ENSG
39257,ENSG00000240849,PEDS1,16735,387521,"CARF, KUA, TMEM189",CARF,ENSG
12481,ENSG00000168564,CDKN2AIP,24325,55602,"CARF, FLJ20036",CARF,ENSG
14971,ENSG00000180318,ALX1,1494,8092,CART1,CART1,ENSG
1355,ENSG00000076604,TRAF4,12034,9618,"CART1, MLN62, RNF83",CART1,ENSG
688,ENSG00000050820,BCAR1,971,9564,"CAS, CASS1, CRKAS, P130CAS",CAS,ENSG
5514,ENSG00000124207,CSE1L,2431,1434,"CAS, CSE1, XPO2",CAS,ENSG
47665,ENSG00000257923,CUX1,2557,1523,"CASP, CDP, CDP/CUT, CDP/CUX, CDP1, CLOX, CUT, CUTL1, CUX, CUX/CDP, GOLIM6",CASP,ENSG
12873,ENSG00000170275,CRTAP,2379,10491,"CASP, LEPREL3, P3H5",CASP,ENSG
11614,ENSG00000165125,TRPV6,14006,55503,"CAT1, ECAC2",CAT1,ENSG
2034,ENSG00000095321,CRAT,2342,1384,CAT1,CAT1,ENSG
3245,ENSG00000105971,CAV2,1528,858,CAV,CAV,ENSG
3246,ENSG00000105974,CAV1,1527,857,CAV,CAV,ENSG
53794,ENSG00000268221,OPN1MW,4206,2652,"CBBM, CBD, COD5, GCP, OPN1MW1",CBBM,ENSG
2639,ENSG00000102076,OPN1LW,9936,5956,"CBBM, CBP, COD5, RCP",CBBM,ENSG
8269,ENSG00000142273,CBLC,15961,23624,"CBL-3, CBL-SL, RNF57",CBL-3,ENSG
54456,ENSG00000270123,VTRNA2-1,37054,,"CBL-3, HSA-MIR-886, HVG-5, MIR886, MIRN886, NC886, PRE-MIR-886, VTRNA2",CBL-3,ENSG
1356,ENSG00000076641,PAG1,30043,55824,"CBP, PAG",CBP,ENSG
93,ENSG00000005339,CREBBP,2348,1387,"CBP, KAT3A, RSTS, RTS",CBP,ENSG
8651,ENSG00000144648,ACKR2,1565,1238,"CCBP2, CCR10, CCR9, CMKBR9, D6",CCBP2,ENSG
6135,ENSG00000129048,ACKR4,1611,51554,"CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1",CCBP2,ENSG
7039,ENSG00000135049,AGTPBP1,17258,23287,"CCP1, KIAA1035, NNA1",CCP1,ENSG
7359,ENSG00000136710,CCDC115,28178,84317,"CCP1, FLJ30131, MGC12981",CCP1,ENSG
10294,ENSG00000158477,CD1A,1634,909,CD1,CD1,ENSG
10299,ENSG00000158485,CD1B,1635,910,CD1,CD1,ENSG
10296,ENSG00000158481,CD1C,1636,911,CD1,CD1,ENSG
21275,ENSG00000203747,FCGR3A,3619,2214,"CD16, CD16A, FCG3, FCGAMMARIIIA, FCGR3, FCGRIIIA",CD16,ENSG
10902,ENSG00000162747,FCGR3B,3620,2215,"CD16, CD16B, FCG3, FCGAMMARIIIB, FCGR3, FCRIIIB",CD16,ENSG
6943,ENSG00000134460,IL2RA,6008,3559,"CD25, IDDM10, IL2R",CD25,ENSG
13336,ENSG00000172183,ISG20,6130,3669,"CD25, HEM45",CD25,ENSG
1205,ENSG00000072694,FCGR2B,3618,2213,"CD32, CD32B, FCG2, FCGAMMARIIB, FCGR2, FCGRIIB",CD32,ENSG
8395,ENSG00000143226,FCGR2A,3616,2212,"CD32, CD32A, CDW32, FC-GAMMA-RIIA, FCG2, FCGAMMARIIA, FCGR2, FCGR2A1, IGFR2",CD32,ENSG
72775,ENSG00000289746,TARP,,445347,"CD3G, TCRG, TCRGC1, TCRGC2, TCRGV",CD3G,ENSG
23387,ENSG00000211689,TRGC1,12275,445347,"CD3G, TCRG, TCRGC1, TCRGC2, TCRGV, C1, TCRGC1",CD3G,ENSG
3033,ENSG00000104972,LILRB1,6605,10859,"CD85, CD85J, ILT2, LIR-1, LIR1, MIR-7, PIR-B, PIRB",CD85,ENSG
16563,ENSG00000187116,LILRA5,16309,353514,"CD85, CD85F, ILT11, LILRB7, LIR9",CD85,ENSG
12883,ENSG00000170312,CDK1,1722,983,"CDC2, CDC28A",CDC2,ENSG
851,ENSG00000062822,POLD1,9175,5424,"CDC2, POLD",CDC2,ENSG
10280,ENSG00000158402,CDC25C,1727,995,"CDC25, PPP1R60",CDC25,ENSG
788,ENSG00000058335,RASGRF1,9875,5923,"CDC25, CDC25L, GNRP, GRF1, GRF55, H-GRF55, PP13187",CDC25,ENSG
8768,ENSG00000145526,CDH18,1757,1016,"CDH14, EY-CADHERIN",CDH14,ENSG
6221,ENSG00000129910,CDH15,1754,1013,"CDH14, CDH3",CDH14,ENSG
1174,ENSG00000071991,CDH19,1758,28513,CDH7,CDH7,ENSG
2562,ENSG00000101542,CDH20,1760,28316,"CDH7, CDH7L3",CDH7,ENSG
39851,ENSG00000242221,PSG2,9519,5670,"CEA, PSBG2, PSG1, PSGGB",CEA,ENSG
177,ENSG00000007306,CEACAM7,1819,1087,"CEA, CGM2",CEA,ENSG
847,ENSG00000062598,ELMO2,17233,63916,"CED-12, CED12, ELMO-2, FLJ11656, KIAA1834",CED-12,ENSG
2733,ENSG00000102890,ELMO3,17289,79767,"CED-12, CED12, ELMO-3, FLJ13824",CED-12,ENSG
9973,ENSG00000155849,ELMO1,16286,9844,"CED-12, CED12, ELMO-1, KIAA0281",CED-12,ENSG
17382,ENSG00000196735,HLA-DQA1,4942,3117,"CELIAC1, HLA-DQA",CELIAC1,ENSG
14792,ENSG00000179344,HLA-DQB1,4944,3119,"CELIAC1, HLA-DQB, IDDM1",CELIAC1,ENSG
5888,ENSG00000126777,KTN1,6467,3895,"CG1, KIAA0004, KNT",CG1,ENSG
343,ENSG00000013619,MAMLD1,2568,10046,"CG1, CXORF6, F18",CG1,ENSG
7282,ENSG00000136243,NUP42,17010,11097,"CG1, HCG1, H_RG271G13.9, NLP_1, NUPL2",CG1,ENSG
3960,ENSG00000111711,GOLT1B,20175,51026,"CGI-141, GOT1, YMR292W",CGI-141,ENSG
13823,ENSG00000174567,GOLT1A,24766,127845,"CGI-141, FLJ42654, GOT1, MGC62027, YMR292W",CGI-141,ENSG
5504,ENSG00000124177,CHD6,19057,84181,"CHD5, DJ620E11.1, FLJ22369, KIAA1335, RIGB",CHD5,ENSG
15294,ENSG00000182093,GET1,12790,7485,"CHD5, WRB",CHD5,ENSG
176,ENSG00000007264,MATK,6906,4145,"CHK, CTK, DKFZP434N1212, HHYLTK, HYL, HYLTK, LSK, MGC1708, MGC2101",CHK,ENSG
3825,ENSG00000110721,CHKA,1937,1119,"CHK, CKI",CHK,ENSG
16025,ENSG00000185043,CIB1,16920,10519,"CIB, KIP, SIP2-28",CIB,ENSG
4355,ENSG00000114779,ABHD14B,28235,84836,"CIB, MGC15429",CIB,ENSG
7714,ENSG00000138433,CIR1,24217,9541,CIR,CIR,ENSG
5086,ENSG00000120457,KCNJ5,6266,3762,"CIR, GIRK4, KATP1, KIR3.4, LQT13",CIR,ENSG
59625,ENSG00000276409,CCL14,10612,6358,"CKB1, HCC-1, HCC-3, MCIF, NCC-2, SCYA14, SCYL2",CKB1,ENSG
21507,ENSG00000204435,CSNK2B,2460,1460,"CKB1, CKB2",CKB1,ENSG
13560,ENSG00000173207,CKS1B,19083,1163,"CKS1, CKSHS1",CKS1,ENSG
45547,ENSG00000254331,CKS1BP7,1999,,"CKS1, CKS1A",CKS1,ENSG
16205,ENSG00000185758,CLDN24,37200,100132463,CLDN21,CLDN21,ENSG
14381,ENSG00000177300,CLDN22,2044,53842,CLDN21,CLDN21,ENSG
3435,ENSG00000107438,PDLIM1,2067,9124,"CLIM1, CLP-36, CLP36, HCLIM1",CLIM1,ENSG
12755,ENSG00000169744,LDB2,6533,9079,"CLIM1, LDB1",CLIM1,ENSG
395,ENSG00000019582,CD74,1697,972,"CLIP, DHLAG",CLIP,ENSG
6378,ENSG00000130779,CLIP1,10461,6249,"CLIP, CLIP-170, CLIP170, CYLN1, RSN",CLIP,ENSG
3365,ENSG00000106665,CLIP2,2586,7461,"CLIP, CLIP-115, CYLN2, KIAA0291, WBSCR3, WBSCR4, WSCR3, WSCR4",CLIP,ENSG
13597,ENSG00000173335,CST9,13261,128822,"CLM, CTES7A",CLM,ENSG
1925,ENSG00000091136,LAMB1,6486,3912,CLM,CLM,ENSG
12534,ENSG00000168811,IL12A,5969,3592,"CLMF, IL-12A, NFSK, NKSF1, P35",CLMF,ENSG
4193,ENSG00000113302,IL12B,5970,3593,"CLMF, CLMF2, IL-12B, NKSF, NKSF2",CLMF,ENSG
6148,ENSG00000129170,CSRP3,2472,8048,"CLP, CMD1M, MLP",CLP,ENSG
14596,ENSG00000178363,CALML3,1452,810,CLP,CLP,ENSG
2790,ENSG00000103187,COTL1,18304,23406,CLP,CLP,ENSG
35941,ENSG00000235323,COTL1P2,24322,,CLPSMCR,CLPSMCR,ENSG
31528,ENSG00000229749,COTL1P1,2086,,CLPSMCR,CLPSMCR,ENSG
5601,ENSG00000124688,MAD2L1BP,21059,9587,"CMT2, DJ261G23.1, KIAA0110",CMT2,ENSG
730,ENSG00000054523,KIF1B,16636,23095,"CMT2, CMT2A, HMSNII, KIAA0591, KLP",CMT2,ENSG
13697,ENSG00000173846,PLK3,2154,1263,"CNK, FNK, PRK",CNK,ENSG
8318,ENSG00000142675,CNKSR1,19700,10256,"CNK, CNK1, KSR",CNK,ENSG
10040,ENSG00000156313,RPGR,10295,6103,"COD1, CORDX1, CRD, RP15, RP3",COD1,ENSG
2769,ENSG00000103051,COG4,18620,25839,"COD1, DKFZP586E1519",COD1,ENSG
30321,ENSG00000228252,COL6A4P2,38501,,COL6A4,COL6A4,ENSG
32149,ENSG00000230524,COL6A4P1,33484,,"COL6A4, COL6A4P, DIVA, DVWA, VWA6",COL6A4,ENSG
14107,ENSG00000176046,NUPR1,29990,26471,"COM1, P8",COM1,ENSG
2584,ENSG00000101773,RBBP8,9891,5932,"COM1, CTIP, RIM, SCKL2",COM1,ENSG
11887,ENSG00000166260,COX11,2261,1353,COX11P,COX11P,ENSG
32649,ENSG00000231162,COX11P1,2262,,COX11P,COX11P,ENSG
18022,ENSG00000198729,PPP1R14C,14952,81706,"CPI17-LIKE, KEPI, NY-BR-81",CPI17-LIKE,ENSG
11852,ENSG00000166143,PPP1R14D,14953,54866,"CPI17-LIKE, FLJ20251, GBPI-1, MGC119014, MGC119016",CPI17-LIKE,ENSG
10629,ENSG00000160882,CYP11B1,2591,1584,"CPN1, CYP11B, FHI, P450C11",CPN1,ENSG
24511,ENSG00000214078,CPNE1,2314,8904,CPN1,CPN1,ENSG
3944,ENSG00000111666,CHPT1,17852,56994,CPT1,CPT1,ENSG
10139,ENSG00000157184,CPT2,2330,1376,"CPT1, CPTASE",CPT1,ENSG
3766,ENSG00000110090,CPT1A,2328,1374,"CPT1, CPT1-L, L-CPT1",CPT1,ENSG
17241,ENSG00000196352,CD55,2665,1604,"CR, CROM, DAF, TC",CR,ENSG
39402,ENSG00000241186,CRIPTO,11701,6997,"CR, CR-1, CRIPTO-1, TDGF1",CR,ENSG
16335,ENSG00000186197,EDARADD,14341,128178,CR,CR,ENSG
3620,ENSG00000108848,LUC7L3,24309,51747,"CRA, CREAP-1, CROP, FLJ11063, HLUC7A, LUC7A, OA48-18",CRA,ENSG
353,ENSG00000014914,MTMR11,24307,10903,CRA,CRA,ENSG
4283,ENSG00000114113,RBP2,9920,5948,"CRABP-II, CRBP2, CRBPII, RBPC2",CRABP-II,ENSG
8410,ENSG00000143320,CRABP2,2339,1382,CRABP-II,CRABP-II,ENSG
15461,ENSG00000182809,CRIP2,2361,1397,"CRP2, ESP1",CRP2,ENSG
13945,ENSG00000175183,CSRP2,2470,1466,"CRP2, LMO5, SMLIM",CRP2,ENSG
54061,ENSG00000269058,CALR3,20407,125972,"CRT2, CT93, FLJ25355, MGC26577",CRT2,ENSG
9646,ENSG00000152779,SLC16A12,23094,387700,"CRT2, MCT12",CRT2,ENSG
14493,ENSG00000177791,MYOZ1,13752,58529,"CS-2, FATZ, MYOZ",CS-2,ENSG
24071,ENSG00000213218,CSH2,2441,1443,"CS-2, CSB, HCS-B",CS-2,ENSG
4649,ENSG00000116761,CTH,2501,1491,CSE,CSE,ENSG
4730,ENSG00000117394,SLC2A1,11005,6513,"CSE, DYT18, DYT9, GLUT, GLUT-1, GLUT1, HTLVR",CSE,ENSG
28827,ENSG00000226344,CST12P,31920,,"CST, CTES4, E2",CST,ENSG
6029,ENSG00000128242,GAL3ST1,24240,9514,CST,CST,ENSG
30837,ENSG00000228927,TSPY3,33876,728137,CT78,CT78,ENSG
48434,ENSG00000258992,TSPY1,12381,7258,"CT78, TSPY",CT78,ENSG
7677,ENSG00000138182,KIF20B,7212,9585,"CT90, KRMP1, MPHOSPH1, MPP1",CT90,ENSG
5551,ENSG00000124383,MPHOSPH10,7213,10199,"CT90, MPP10, MPP10P, PPP1R106",CT90,ENSG
14543,ENSG00000178081,ULK4P3,15777,,"D-X, FAM7A3",D-X,ENSG
50215,ENSG00000261279,ULK4P1,15775,,"D-X, FAM7A1",D-X,ENSG
49380,ENSG00000260128,ULK4P2,15776,,"D-X, FAM7A2",D-X,ENSG
13633,ENSG00000173531,MST1,7380,4485,"D3F15S2, DNF15S2, HGFL, MSP, NF15S2",D3F15S2,ENSG
11305,ENSG00000164062,APEH,586,327,"D3F15S2, D3S48E, DNF15S2",D3F15S2,ENSG
927,ENSG00000065357,DGKA,2849,1606,"DAGK, DAGK1, DGK-ALPHA",DAGK,ENSG
