,ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,alias_symbol,source
16821,ENSG00000189377,CXCL17,19232,284340, DMC,HGNC
11235,ENSG00000164162,ANAPC10,24077,10393, DOC1,HGNC
3874,ENSG00000111328,CDK2AP1,14002,8099, DOC1,HGNC
12266,ENSG00000168229,PTGDR,9591,5729, DP1,HGNC
17508,ENSG00000198176,TFDP1,11749,7027, DP1,HGNC
6990,ENSG00000135090,TAOK3,18133,51347, DPK,HGNC
7123,ENSG00000135750,KCNK1,6272,3775, DPK,HGNC
9556,ENSG00000152818,UTRN,12635,7402, DRP1,HGNC
7852,ENSG00000139726,DENR,2769,8562, DRP1,HGNC
5480,ENSG00000124228,DDX27,15837,55661, DRS1,HGNC
17665,ENSG00000198721,ECI2,14601,10455, DRS1,HGNC
19947,ENSG00000207165,SNORA70,10231,26778, DXS648E,HGNC
8937,ENSG00000147403,RPL10,10298,6134, DXS648E,HGNC
8652,ENSG00000145293,ENOPH1,24599,58478, E1,HGNC
39225,ENSG00000274266,SNORA73A,10115,6080, E1,HGNC
9302,ENSG00000150768,DLAT,2896,1737, E2,HGNC
24484,ENSG00000226344,CST12P,31920,106478911, E2,HGNC
6347,ENSG00000130939,UBE4B,12500,10277, E4,HGNC
3762,ENSG00000110344,UBE4A,12499,9354, E4,HGNC
11358,ENSG00000164611,PTTG1,9690,9232, EAP1,HGNC
1328,ENSG00000075914,EXOSC7,28112,23016, EAP1,HGNC
4369,ENSG00000115211,EIF2B4,3260,8890, EIF-2B,HGNC
8635,ENSG00000145191,EIF2B5,3261,8893, EIF-2B,HGNC
3882,ENSG00000111361,EIF2B1,3257,1967, EIF-2B,HGNC
1131,ENSG00000070785,EIF2B3,3259,8891, EIF-2B,HGNC
15886,ENSG00000185499,MUC1,7508,4582, EMA,HGNC
7929,ENSG00000140374,ETFA,3481,2108, EMA,HGNC
11584,ENSG00000165521,EML5,18197,161436, EMAP-2,HGNC
11169,ENSG00000164022,AIMP1,10648,9255, EMAP-2,HGNC
5688,ENSG00000125746,EML2,18035,24139, EMAP-2,HGNC
1749,ENSG00000087510,TFAP2C,11744,7022, ERF1,HGNC
15921,ENSG00000185650,ZFP36L1,1107,677, ERF1,HGNC
8661,ENSG00000145354,CISD2,24212,493856, ERIS,HGNC
15663,ENSG00000184584,STING1,27962,340061, ERIS,HGNC
5918,ENSG00000127554,GFER,4236,2671, ERV1,HGNC
13673,ENSG00000174600,CMKLR1,2121,1240, ERV1,HGNC
6597,ENSG00000132589,FLOT2,3758,2319, ESA1,HGNC
13376,ENSG00000172977,KAT5,5275,10524, ESA1,HGNC
944,ENSG00000065717,TLE2,11838,7089, ESG,HGNC
17078,ENSG00000196781,TLE1,11837,7088, ESG,HGNC
3363,ENSG00000106829,TLE4,11840,7091, ESG,HGNC
38216,ENSG00000268651,CTAG1A,24198,246100, ESO1,HGNC
15538,ENSG00000184033,CTAG1B,2491,1485, ESO1,HGNC
7071,ENSG00000135476,ESPL1,16856,9700, ESP1,HGNC
15235,ENSG00000182809,CRIP2,2361,1397, ESP1,HGNC
10482,ENSG00000160688,FLAD1,24671,80308, FAD1,HGNC
7826,ENSG00000139618,BRCA2,1101,675, FAD1,HGNC
2332,ENSG00000100557,CCDC198,20189,55195, FAME,HGNC
42001,,FCMTE3,37160,, FAME,HGNC
4817,ENSG00000118564,FBXL5,13602,26234, FBL5,HGNC
4016,ENSG00000112234,FBXL4,13601,26235, FBL5,HGNC
13399,ENSG00000173120,KDM2A,13606,22992, FBL7,HGNC
15418,ENSG00000183580,FBXL7,13604,23194, FBL7,HGNC
17222,ENSG00000197265,GTF2E2,4651,2961, FE,HGNC
9644,ENSG00000153767,GTF2E1,4650,2960, FE,HGNC
11579,ENSG00000165507,DEPP1,23355,11067, FIG,HGNC
632,ENSG00000047932,GOPC,17643,57120, FIG,HGNC
39,ENSG00000003402,CFLAR,1876,8837, FLIP,HGNC
4,ENSG00000000460,FIRRM,25565,55732, FLIP,HGNC
582,ENSG00000042286,AIFM2,21411,84883, FSP1,HGNC
16868,ENSG00000196154,S100A4,10494,6275, FSP1,HGNC
21290,ENSG00000213654,GPSM3,13945,63940, G18,HGNC
4305,ENSG00000114737,CISH,1984,1154, G18,HGNC
41198,ENSG00000291237,SOD2,11180,6648, GC1,HGNC
2704,ENSG00000102837,OLFM4,17190,10562, GC1,HGNC
1687,ENSG00000086205,FOLH1,3788,2346, GCP2,HGNC
8577,ENSG00000144674,GOLGA4,4427,2803, GCP2,HGNC
17079,ENSG00000196782,MAML3,16272,55534, GDN,HGNC
7154,ENSG00000135919,SERPINE2,8951,5270, GDN,HGNC
13169,ENSG00000172062,SMN1,11117,6606, GEMIN1,HGNC
19464,ENSG00000205571,SMN2,11118,6607, GEMIN1,HGNC
8744,ENSG00000145916,RMND5B,26181,64777, GID2,HGNC
9637,ENSG00000153561,RMND5A,25850,64795, GID2,HGNC
4381,ENSG00000115263,GCG,4191,2641, GLP-1,HGNC
