,collision,ENSG_ID,gene_symbol,source
57,APRO5,"ENSG00000183864, ENSG00000141232","TOB2, TOB1",HGNC
58,AR,"ENSG00000085662, ENSG00000109321, ENSG00000161513","AKR1B1, AREG, FDXR",HGNC
59,ARD1,"ENSG00000117751, ENSG00000113595","PPP1R8, TRIM23",HGNC
60,ARG,"ENSG00000143322, ENSG00000142599","ABL2, RERE",HGNC
61,ARH2,"ENSG00000153531, ENSG00000157978","ADPRHL1, LDLRAP1",HGNC
62,ARIP1,"ENSG00000123165, ENSG00000187391","ACTRT1, MAGI2",HGNC
63,ARK,"ENSG00000157450, ENSG00000167601","RNF111, AXL",HGNC
64,ARP,"ENSG00000142599, ENSG00000145050, ENSG00000124812, ENSG00000101246","RERE, MANF, CRISP1, ARFRP1",HGNC
65,ARP1,"ENSG00000101246, ENSG00000138107, ENSG00000124701, ENSG00000116194, ENSG00000164093","ARFRP1, ACTR1A, APOBEC2, ANGPTL1, PITX2",HGNC
66,ARP10,"ENSG00000131966, ENSG00000100298","ACTR10, APOBEC3H",HGNC
67,ARP11,"ENSG00000106526, ENSG00000131966, ENSG00000133627","ACTR3C, ACTR10, ACTR3B",HGNC
68,ARP2,"ENSG00000138071, ENSG00000111732, ENSG00000136859","ACTR2, AICDA, ANGPTL2",HGNC
69,ARP3,"ENSG00000128383, ENSG00000115091","APOBEC3A, ACTR3",HGNC
70,ARP4,"ENSG00000167772, ENSG00000136518","ANGPTL4, ACTL6A",HGNC
71,ARP5,"ENSG00000130812, ENSG00000244509, ENSG00000101442","ANGPTL6, APOBEC3C, ACTR5",HGNC
72,ARP6,"ENSG00000243811, ENSG00000075089","APOBEC3D, ACTR6",HGNC
73,ARP8,"ENSG00000113812, ENSG00000128394","ACTR8, APOBEC3F",HGNC
74,ARS,"ENSG00000126233, nan","SLURP1, RIEG2",HGNC
75,ASAP,"ENSG00000153363, ENSG00000164114","LINC00467, MAP9",HGNC
76,ASC-1,"ENSG00000130876, ENSG00000103671","SLC7A10, TRIP4",HGNC
77,ASC2,"ENSG00000198646, ENSG00000169900","NCOA6, PYDC1",HGNC
78,ASF,"ENSG00000062096, ENSG00000136450","ARSF, SRSF1",HGNC
79,ASH1,"ENSG00000139352, ENSG00000116539","ASCL1, ASH1L",HGNC
80,ASH2,"ENSG00000183734, ENSG00000129691","ASCL2, ASH2L",HGNC
81,ASM,"ENSG00000166311, ENSG00000130600","SMPD1, H19",HGNC
