gene_symbol,alias_symbol,ENSG_ID,collision,source
AGTR1,"AT1,AT2R1,AGTR1A,AT2R1A,HAT1R,AG2S,AT2R1B,AT1B,ATR1",ENSG00000144891,AT1,HGNC
PGR-AS1,"AT1,AT2,AT3",ENSG00000282728,AT2,HGNC
AGTR2,"AT2,MRX88",ENSG00000180772,AT2,HGNC
SERPINA2,"ATR,ARGS",ENSG00000258597,ATR,HGNC
ANTXR1,"TEM8,FLJ21776,FLJ10601,ATR",ENSG00000169604,ATR,HGNC
AGTR1,"AT1,AT2R1,AGTR1A,AT2R1A,HAT1R,AG2S,AT2R1B,AT1B,ATR1",ENSG00000144891,ATR1,HGNC
SLC3A1,"CSNU1,D2H,RBAT,ATR1,NBAT",ENSG00000138079,ATR1,HGNC
DMBX1,"PAXB,MBX,Atx",ENSG00000197587,ATX,HGNC
SMG1,"LIP,KIAA0421,ATX",ENSG00000157106,ATX,HGNC
ENPP2,"ATX,PD-IALPHA",ENSG00000136960,ATX,HGNC
OAZ1,"AZI,MGC138338,AZ1",ENSG00000104904,AZ1,HGNC
CEP131,"AZ1,KIAA1118",ENSG00000141577,AZ1,HGNC
USP9Y,"DFFRY,FAF-Y,AZFA",ENSG00000114374,AZFA,HGNC
AZF1,AZFa,,AZFA,HGNC
MS4A1,"B1,Bp35,FMC7",ENSG00000156738,B1,HGNC
BBS9,"B1,PTHB1",ENSG00000122507,B1,HGNC
NDUFB3,B12,ENSG00000119013,B12,HGNC
TNFAIP1,"B61,B12,MGC2317,BTBD34",ENSG00000109079,B12,HGNC
DONSON,"B17,C2TA,DKFZP434M035",ENSG00000159147,B17,HGNC
NDUFB6,"B17,CI",ENSG00000165264,B17,HGNC
NDUFB7,"B18,CI-B18,MGC2480",ENSG00000099795,B18,HGNC
EVA1C,"B18,PRED34,B19",ENSG00000166979,B18,HGNC
CD79B,"B29,Ig-beta,Igbeta",ENSG00000007312,B29,HGNC
MRO,"B29,FLJ30140",ENSG00000134042,B29,HGNC
EPCIP,"B37,PRED81,CU062",ENSG00000205929,B37,HGNC
ATN1,B37,ENSG00000111676,B37,HGNC
B3GNT2,"B3GNT-2,BETA3GNT,B3GN-T2,B3GN-T1",ENSG00000170340,B3GN-T1,HGNC
B4GAT1,"IGnT,iGAT,BETA3GNTI,B3GN-T1",ENSG00000174684,B3GN-T1,HGNC
HHLA2,"B7H7,B7-H5,B7y,B7-H7",ENSG00000114455,B7-H5,HGNC
VSIR,"SISP1,GI24,B7-H5,B7H5,VISTA,PD-1H,Dies1",ENSG00000107738,B7-H5,HGNC
B9D1,"B9,EPPB9,MKS9,MKSR-1",ENSG00000108641,B9,HGNC
NDUFA3,B9,ENSG00000170906,B9,HGNC
AGAP13P,bA548K23.1,ENSG00000243289,BA548K23.1,HGNC
C10ORF62,,ENSG00000203942,BA548K23.1,HGNC
SMARCA4,"hSNF2b,BRG1,BAF190,SNF2,SWI2,SNF2-BETA,SNF2LB,FLJ39786",ENSG00000127616,BAF190,HGNC
SMARCA2,"BAF190,hSNF2a,hBRM,Sth1p,SNF2LA,BRM,SNF2,SWI2",ENSG00000080503,BAF190,HGNC
MAGI1,"BAP1,MAGI-1,TNRC19,AIP3,WWP3",ENSG00000151276,BAP1,HGNC
RNF2,"BAP-1,BAP1,DING,HIPI3,RING1B,RING2",ENSG00000121481,BAP1,HGNC
BFAR,"BAR,RNF47",ENSG00000103429,BAR,HGNC
ADRB2,"ADRBR,BAR,B2AR,ARB2",ENSG00000169252,BAR,HGNC
BSND,BART,ENSG00000162399,BART,HGNC
ARL2BP,"BART1,BART",ENSG00000102931,BART,HGNC
NMBR,"BB1,BB1R,BRS1",ENSG00000135577,BB1,HGNC
