,ENSG_ID,gene_symbol,alias_symbol,HGNC_ID,NCBI_ID,intersect_point,source
23225,ENSG00000183153,GJD3,GJC1,19147,125111,GJC1,ENSG
23416,ENSG00000108576,SLC6A4,HTT,11050,6532,HTT,ENSG
23560,ENSG00000166013,TRIM53BP,TRIM80P,37144,0,TRIM80P,ENSG
23582,ENSG00000124177,CHD6,CHD5,19057,84181,CHD5,ENSG
23806,ENSG00000184517,ZFP1,ZNF475,23328,162239,ZNF475,ENSG
23832,ENSG00000119630,PGF,PIGF,8893,5228,PIGF,ENSG
23881,ENSG00000106384,MOGAT3,MGAT3,23249,346606,MGAT3,ENSG
23927,ENSG00000274821,SERPINA2,ATR,8985,390502,ATR,ENSG
23971,ENSG00000100033,PRODH,PRODH2,9453,5625,PRODH2,ENSG
24073,ENSG00000060656,PTPRU,PTPRO,9683,10076,PTPRO,ENSG
24545,ENSG00000270858,VDAC1P5,VDAC3,12676,0,VDAC3,ENSG
24592,ENSG00000262243,CES1,CES2,1863,1066,CES2,ENSG
24767,ENSG00000127564,PKMYT1,MYT1,29650,9088,MYT1,ENSG
25488,ENSG00000265681,RPL17,RPL23,10307,6139,RPL23,ENSG
25505,ENSG00000101191,DIDO1,DIO1,2680,11083,DIO1,ENSG
25910,ENSG00000182154,MRPL41,MRPL27,14492,64975,MRPL27,ENSG
25935,ENSG00000276333,HS3ST6,HS3ST5,14178,64711,HS3ST5,ENSG
25959,ENSG00000115944,COX7A2L,SCAF1,2289,9167,SCAF1,ENSG
26067,ENSG00000153233,PTPRR,PTPRQ,9680,5801,PTPRQ,ENSG
26298,ENSG00000159202,UBE2Z,USE1,25847,65264,USE1,ENSG
26326,ENSG00000282750,TBC1D3B,TBC1D3I,27011,414059,TBC1D3I,ENSG
26349,ENSG00000101986,ABCD1,AMN,61,215,AMN,ENSG
26356,ENSG00000173156,RHOD,RHO,670,29984,RHO,ENSG
26537,ENSG00000112406,HECA,HDC,21041,51696,HDC,ENSG
26708,ENSG00000200318,SNORD3P1,U3,10175,0,U3,ENSG
26723,ENSG00000206625,RNU6-1,U6,10227,26827,U6,ENSG
26767,ENSG00000222076,RNU2-3P,U2,10153,0,U2,ENSG
26871,ENSG00000212380,SNORD115-45,SNORD115-48,33064,0,SNORD115-48,ENSG
26929,ENSG00000116544,DLGAP3,DAP3,30368,58512,DAP3,ENSG
27502,ENSG00000169413,RNASE6,RAD1,10048,6039,RAD1,ENSG
27516,ENSG00000129538,RNASE1,RAC1,10044,6035,RAC1,ENSG
27591,ENSG00000140396,NCOA2,GRIP1,7669,10499,GRIP1,ENSG
27640,ENSG00000165799,RNASE7,RAE1,19278,84659,RAE1,ENSG
27746,ENSG00000153721,CNKSR3,MAGI1,23034,154043,MAGI1,ENSG
27851,ENSG00000198125,MB,PVALB,6915,4151,PVALB,ENSG
28067,ENSG00000114125,RNF7,SAG,10070,9616,SAG,ENSG
28083,ENSG00000275867,KANSL1,NSL1,24565,284058,NSL1,ENSG
28103,ENSG00000179142,CYP11B2,CPN2,2592,1585,CPN2,ENSG
28185,ENSG00000126233,SLURP1,ARSB,18746,57152,ARSB,ENSG
28200,ENSG00000155897,ADCY8,ADCY3,239,114,ADCY3,ENSG
28231,ENSG00000116016,EPAS1,HLF,3374,2034,HLF,ENSG
28282,ENSG00000180155,LYNX1,SLURP2,29604,66004,SLURP2,ENSG
28831,ENSG00000272160,RNU4-5P,U4,10198,0,U4,ENSG
28889,ENSG00000112769,LAMA4,LAMA3,6484,3910,LAMA3,ENSG
29303,ENSG00000277033,B3GNTL1,B3GNT8,21727,146712,B3GNT8,ENSG
29426,ENSG00000176248,ANAPC2,APC2,19989,29882,APC2,ENSG
29468,ENSG00000152284,TCF7L1,TCF3,11640,83439,TCF3,ENSG
29679,ENSG00000160505,NLRP4,PAN2,22943,147945,PAN2,ENSG
29843,ENSG00000167780,SOAT2,ACAT2,11178,8435,ACAT2,ENSG
29863,ENSG00000255974,CYP2A6,CPA6,2610,1548,CPA6,ENSG
29866,ENSG00000244171,PBX2P1,PBX2,8635,0,PBX2,ENSG
29969,ENSG00000052344,PRSS8,CAP1,9491,5652,CAP1,ENSG
30173,ENSG00000115353,TACR1,SPR,11526,6869,SPR,ENSG
30213,ENSG00000105220,GPI,NLK,4458,2821,NLK,ENSG
30267,ENSG00000254880,PKNOX2-DT,PKNOX2-AS1,50690,103695364,PKNOX2-AS1,ENSG
30374,ENSG00000173548,SNX33,SNX30,28468,257364,SNX30,ENSG
30440,ENSG00000290627,AGAP12P,PTPN20CP,,414224,PTPN20CP,ENSG
30526,ENSG00000112029,FBXO5,FBXO31,13584,26271,FBXO31,ENSG
30566,ENSG00000132669,RIN2,RASSF4,18750,54453,RASSF4,ENSG
30829,ENSG00000205643,CDPF1,CDKN1A,33710,150383,CDKN1A,ENSG
30980,ENSG00000284571,FLII,FLI1,3750,2314,FLI1,ENSG
31146,ENSG00000275528,CCL15,SCYL3,10613,6359,SCYL3,ENSG
31272,ENSG00000242247,ARFGAP3,ARFGAP1,661,26286,ARFGAP1,ENSG
31299,ENSG00000187122,SLIT1,SLIT3,11085,6585,SLIT3,ENSG
31419,ENSG00000162433,AK4,AK3,363,205,AK3,ENSG
31862,ENSG00000169682,SPNS1,LAT,30621,83985,LAT,ENSG
31866,ENSG00000169682,SPNS1,SPIN1,30621,83985,SPIN1,ENSG
31912,ENSG00000160882,CYP11B1,CPN1,2591,1584,CPN1,ENSG
32299,ENSG00000131233,GJA9,GJA10,19155,81025,GJA10,ENSG
32334,ENSG00000183668,PSG9,PSG11,9526,5678,PSG11,ENSG
32950,ENSG00000230202,RPL29P4,RPL29P3,21482,0,RPL29P3,ENSG
33236,ENSG00000201628,RNU4-7P,U4,10194,0,U4,ENSG
33340,ENSG00000165471,MBL2,MBP,6922,4153,MBP,ENSG
33517,ENSG00000277236,CCL14,SCYL2,10612,6358,SCYL2,ENSG
33522,ENSG00000283293,RN7SK,7SK,10037,125050,7SK,ENSG
34243,ENSG00000197157,SND1,TSN,30646,27044,TSN,ENSG
34548,ENSG00000088205,DDX18,HAS1,2741,8886,HAS1,ENSG
34564,ENSG00000125508,SRMS,SRM,11298,6725,SRM,ENSG
34813,ENSG00000240857,RDH14,PAN2,19979,57665,PAN2,ENSG
35163,ENSG00000132670,PTPRA,PTPA,9664,5786,PTPA,ENSG
35397,ENSG00000128567,PODXL,PC,9171,5420,PC,ENSG
35494,ENSG00000168564,CDKN2AIP,CARF,24325,55602,CARF,ENSG
35560,ENSG00000166391,MOGAT2,MGAT2,23248,80168,MGAT2,ENSG
35956,ENSG00000166927,MS4A7,MS4A8,13378,58475,MS4A8,ENSG
36025,ENSG00000217707,SERPINB8P1,SERPINB11,8953,0,SERPINB11,ENSG
36421,ENSG00000126432,PRDX5,PRDX6,9355,25824,PRDX6,ENSG
36497,ENSG00000240849,PEDS1,CARF,16735,387521,CARF,ENSG
36626,ENSG00000116157,GPX7,GPX6,4559,2882,GPX6,ENSG
37137,ENSG00000042286,AIFM2,PRG3,21411,84883,PRG3,ENSG
37572,ENSG00000072135,PTPN18,BDP1,9649,26469,BDP1,ENSG
37585,ENSG00000235246,TMEM184B-AS1,RP1,56716,128385376,RP1,ENSG
37836,ENSG00000107959,PITRM1,PREP,17663,10531,PREP,ENSG
38038,ENSG00000104419,NDRG1,DRG1,7679,10397,DRG1,ENSG
38086,ENSG00000168067,MAP4K2,GCK,6864,5871,GCK,ENSG
38107,ENSG00000197879,MYO1C,NMI,7597,4641,NMI,ENSG
38138,ENSG00000188425,NANOS2,NOS2,23292,339345,NOS2,ENSG
38356,ENSG00000169900,PYDC1,POP1,30261,260434,POP1,ENSG
39052,ENSG00000256040,PAPPA-AS1,TAF4B,35152,493913,TAF4B,ENSG
39207,ENSG00000032219,ARID4A,RBP1,9885,5926,RBP1,ENSG
39380,ENSG00000136383,ALPK3,MAK,17574,57538,MAK,ENSG
39560,ENSG00000265790,RNASEH1P1,RNASEH1,10049,0,RNASEH1,ENSG
39561,ENSG00000265790,RNASEH1P1,RNH1,10049,0,RNH1,ENSG
39589,ENSG00000125398,SOX9,SRA1,11204,6662,SRA1,ENSG
39854,ENSG00000282283,PLPPR3,PRG2,23497,79948,PRG2,ENSG
40062,ENSG00000166401,SERPINB8,CAP2,8952,5271,CAP2,ENSG
40243,ENSG00000189091,SF3B3,SAP130,10770,23450,SAP130,ENSG
40251,ENSG00000167748,KLK1,KLK6,6357,3816,KLK6,ENSG
40280,ENSG00000111142,METAP2,MAP2,16672,10988,MAP2,ENSG
40326,ENSG00000154832,CXXC1,SPP1,24343,30827,SPP1,ENSG
40429,ENSG00000117525,F3,TF,3541,2152,TF,ENSG
41021,ENSG00000123143,PKN1,PAK1,9405,5585,PAK1,ENSG
41078,ENSG00000144320,LNPK,LNP1,21610,80856,LNP1,ENSG
41094,ENSG00000107937,GTPBP4,NGB,21535,23560,NGB,ENSG
41214,ENSG00000196588,MRTFA,MAL,14334,57591,MAL,ENSG
41504,ENSG00000141030,COPS3,CSN3,2239,8533,CSN3,ENSG
41570,ENSG00000085662,AKR1B1,AR,381,231,AR,ENSG
41867,ENSG00000141026,MED9,MED25,25487,55090,MED25,ENSG
41896,ENSG00000255569,TRAV1-1,TRAV11,12101,0,TRAV11,ENSG
41908,ENSG00000105552,BCAT2,BCAM,977,587,BCAM,ENSG
41918,ENSG00000103148,NPRL3,NPR3,14124,8131,NPR3,ENSG
41969,ENSG00000167080,B4GALNT2,CAD,24136,124872,CAD,ENSG
41989,ENSG00000145386,CCNA2,CCN1,1578,890,CCN1,ENSG
42018,ENSG00000198074,AKR1B10,ARL1,382,57016,ARL1,ENSG
42418,ENSG00000134001,EIF2S1,EIF2A,3265,1965,EIF2A,ENSG
42526,ENSG00000276876,MYT1,MTF1,7622,4661,MTF1,ENSG
43404,ENSG00000141644,MBD1,PCM1,6916,4152,PCM1,ENSG
43909,ENSG00000068394,GPKOW,SPP2,30677,27238,SPP2,ENSG
44494,ENSG00000104205,SGK3,SGK2,10812,23678,SGK2,ENSG
44942,ENSG00000119638,NEK9,NEK8,18591,91754,NEK8,ENSG
45173,ENSG00000159496,RGL4,RGR,31911,266747,RGR,ENSG
45253,ENSG00000136235,GPNMB,NMB,4462,10457,NMB,ENSG
45419,ENSG00000168530,MYL1,MLC1,7582,4632,MLC1,ENSG
45518,ENSG00000200463,SNORD118,U8,32952,727676,U8,ENSG
45533,ENSG00000136280,CCM2,OSM,21708,83605,OSM,ENSG
45655,ENSG00000258531,BANF1P1,BCRP1,20252,0,BCRP1,ENSG
45672,ENSG00000139990,DCAF5,BCRP2,20224,8816,BCRP2,ENSG
45687,ENSG00000165970,SLC6A5,NET1,11051,9152,NET1,ENSG
45719,ENSG00000163082,SGPP2,SPP2,19953,130367,SPP2,ENSG
45782,ENSG00000188801,ZNF322P1,ZNF322,14003,0,ZNF322,ENSG
45806,ENSG00000228670,NANOGP2,NANOGP4,23100,0,NANOGP4,ENSG
45951,ENSG00000226784,PGAM4,PGAM1,21731,441531,PGAM1,ENSG
