,NCBI_ID,gene_symbol,aliases,HGNC_ID,ENSG_ID,collision_symbol,source
1742,2181,ACSL3,ACS3|FACL3|LACS 3|LACS3|PRO2194,3570,ENSG00000123983,ACS3,NCBI
22072,348158,ACSM2B,ACSM2|HXMA|HYST1046,30931,ENSG00000066813,ACSM2,NCBI
17511,123876,ACSM2A,A-923A4.1|ACSM2,32017,ENSG00000183747,ACSM2,NCBI
25703,641455,POTEM,ACT|P704P|POTE14beta,37096,ENSG00000222036,ACT,NCBI
24747,440915,POTEKP,ACT|ACTBL3|POTE2delta|POTEK,30182,,ACT,NCBI
6,12,SERPINA3,AACT|ACT|GIG24|GIG25,16,ENSG00000196136,ACT,NCBI
21953,345651,ACTBL2,ACT,17780,ENSG00000169067,ACT,NCBI
7322,9457,FHL5,1700027G07Rik|ACT|FHL-5|dJ393D12.2,17371,ENSG00000112214,ACT,NCBI
8877,11332,ACOT7,ACH1|ACT|BACH|CTE-II|LACH|LACH1|hBACH,24157,ENSG00000097021,ACT,NCBI
60,72,ACTG2,ACT|ACTA3|ACTE|ACTL3|ACTSG|MMIHS5|VSCM|VSCM1,145,ENSG00000163017,ACT,NCBI
59,71,ACTG1,ACT|ACTG|DFNA20|DFNA26|HEL-176,144,ENSG00000184009,ACT,NCBI
9631,23784,POTEH,A26C3|ACTBL1|CT104.7|POTE22,133,ENSG00000198062,ACTBL1,NCBI
24281,404785,POTEG,A26C2|ACTBL1|CT104.4|POTE-14|POTE14|POTE14alpha|POTE22,33896,ENSG00000187537,ACTBL1,NCBI
11733,51412,ACTL6B,ACTL6|BAF53B|DEE76|EIEE76|IDDSSAD|SMARCN2|arpNalpha,160,ENSG00000077080,ACTL6,NCBI
70,86,ACTL6A,ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K|SMARCN1,24124,ENSG00000136518,ACTL6,NCBI
5622,7046,TGFBR1,AAT5|ACVRLK4|ALK-5|ALK5|ESS1|LDS1|LDS1A|LDS2A|MSSE|SKR4|TBR-i|TBRI|TGFR-1|tbetaR-I,11772,ENSG00000106799,ACVRLK4,NCBI
75,91,ACVR1B,ACTRIB|ACVRLK4|ALK4|SKR2,172,ENSG00000135503,ACVRLK4,NCBI
795,967,CD63,AD1|HOP-26|ME491|MLA1|OMA81H|Pltgp40|TSPAN30,1692,ENSG00000135404,AD1,NCBI
294,351,APP,AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2|alpha-sAPP|preA4,620,ENSG00000142192,AD1,NCBI
12906,55672,NBPF1,AB13|AB14|AB23|AD2|NBG|NBPF,26088,ENSG00000219481,AD2,NCBI
292,348,APOE,AD2|APO-E|ApoE4|LDLCQ5|LPG,613,ENSG00000130203,AD2,NCBI
4469,5663,PSEN1,ACNINV3|AD3|FAD|PS-1|PS1|PSNL1|S182,9508,ENSG00000080815,AD3,NCBI
8736,11138,TBC1D8,AD3|GRAMD8|HBLP1|TBC1D8A|VRP,17791,ENSG00000204634,AD3,NCBI
17249,117143,TADA1,ADA1|HFI1|STAF42|TADA1L|hADA1,30631,ENSG00000152382,ADA1,NCBI
82,100,ADA,ADA1,186,ENSG00000196839,ADA1,NCBI
7361,9509,ADAMTS2,ADAM-TS2|ADAMTS-2|ADAMTS-3|EDSDERMS|NPI|PC I-NP|PCI-NP|PCINP|PCPNI|PNPI,218,ENSG00000087116,ADAMTS-2,NCBI
7359,9507,ADAMTS4,ADAMTS-2|ADAMTS-4|ADMP-1,220,ENSG00000158859,ADAMTS-2,NCBI
