,ambiguous symbol,number of abstracts with a match
2616,TFIIS,427
2617,KAP4.7,1
2618,FLJ32702,0
2619,H4,30294
2620, dJ798A10.2,0
2621, GCD10,20
2622,bA548K23.1,0
2623, RMD1,15
2624,C9ORF8,0
2625,C4ORF40,0
2626,FLJ23327,0
2627,HOX2,182
2628,MTTK,59
2629,C13orf25,23
2630,DUSP13,23
2631, RAY1,11
2632, PCDH-ALPHA4,1
2633,HSA-MIR-939,29
2634,LOC284100,1
2635,LRRC37A,14
2636, VARS2,44
2637, LAIR-2,40
2638,HSA-MIR-3690,2
2639,Gal-NAc6S,1
2640,MIC2,611
2641,RBM2,13
2642,CRT,22236
2643, CT1,3459
2644,DJ377H14.4,0
2645, HGAL,142
2646, LRH-1,437
2647,TRIM49L2,0
2648,MIR195HG,0
2649, CPS1,541
2650, OST013,0
2651,CARP,21385
2652, PGCC1,0
2653, PSMB5I,1
2654,UBL7-AS1,5
2655,JPSI3,1
2656, KIAA1640,0
2657,CPX,2003
2658,RP5-998N21.9,0
2659, ASP,41788
2660, P122-RHOGAP,6
2661,CAT53,1
2662,CNR4,2
2663,PC4,760
2664, IGHD114,1
2665,MGA,1630
2666,AC078883.3,2
2667,HSA-MIR-597,1
2668,ASE1,106
2669,ATG8D,4
2670,PRAMEF23,0
2671,HK1,979
2672,INT4,71
2673,NAAGS,7
2674, GLP1,15533
2675, CES5,9
2676, TAAR3,7
2677,BG,34548
2678, KS1,556
2679, FCEPSILONRIALPHA,324
2680,LINC00129,0
2681,ERG-1,59
2682, REFILINB,4
2683,ANKRD20A,0
2684,VSD1,4
2685,HsT16992,0
2686, TADA2L,4
2687,ULG5,0
2688,FRG1A,0
2689, MIP1,1373
2690, ERF1,610
2691,BCL2L3,1
2692,CDK4I,37
2693, ZIBRA,9
2694, C6ORF39,0
2695,MAM2,258
2696,CD33L2,1
2697,SA,230303
2698,L12,4713
2699,B29,821
2700,OAZ,82
2701,ADAM3,78
2702, DF,589558
2703,RNF51,1
2704,H3C4,4
2705,p33,1053
2706,AZI,536
2707, MCART3P,0
2708,CTP9,0
2709,HKPX1,0
2710,C17ORF83,0
2711,FLJ36198,0
2712, RDP,1491
2713,HB-1,378
2714, NCC-4,14
2715, SNTL,11
2716,CPT1-M,2
2717,RNU1,21
2718,FIX,15974
2719,P53TG3,0
2720,PRO1068,0
2721,SANDO,1246
2722,FMR1,4525
2723,GP3ST,7
2724, SCZD15,0
2725, PPIAL4,0
2726,COAS-2,2
2727, DCCK1,17
2728,ACN,4279
2729, KAP1.1B,0
2730, MGC3936,0
2731, ZMYND5,0
2732, PLP,7044
2733,MEP,10689
2734,VMA6,10
2735, LITAFL,0
2736,THG1,52
2737,AC009892.10,0
2738, FAM42B,0
2739,SPC1,173
2740, NKG2D,3640
2741,CBP,9321
2742, TCRBV12S3,0
2743,HDGF-2,1
2744,AB023051.1,0
2745, TRB4,3
2746,FLJ35454,0
2747,PL,152443
2748,HEL2,52
2749, ILT11,2
2750,UTA,6148
2751,DFNA13,19
2752,IL-7,7809
2753,C11ORF13,0
2754, MULK,26
2755, NL2,267
2756,GS1,796
2757, RNU1D2,0
2758,CD174,6
2759, FLJ40584,0
2760,H4-16,7
2761, TRBV42,4
2762,ABCA11,0
2763,AK096159,0
2764, G6F,17
2765, MYL8P,0
2766,dJ222E13.1,0
2767,U7,869
2768,GEF10,4
2769,HSA-MIR-4743,0
2770,BAP-1,269
2771,A6,101090
2772,HS6M1-20,0
2773,AL4,276
2774,SOSS-B2,0
2775,EM:AB014087.1,600323
2776, SNIP,971
2777,SPRK,18
2778,IMP1,637
2779,SCAR1,66
2780, PIWI,2721
2781,GST3,84
2782,DEFB-3,2
2783,KIAA1484,0
2784, TTG1,201
2785,OR912-109,0
2786,GPRC3A,0
2787, PROXP-ALA,9
2788,87U6,2
2789,TCRA,338
2790,NSP,3710
2791,KAP2.2,1
2792,A4,124573
2793, HTR3,51
2794,DSEP,55
2795,ZPA,264
2796,AGSK1,7
2797,SIP-1,55
2798,U14,625
2799,CENTB1,7
2800, AAT,5631
2801,HF.10,141
2802,OR17-31,0
2803, P99,400
2804,SCYA3L1,1
2805, PTEN2,25
2806,EBS4,8
2807,TCRAV1S2,0
2808,COLEC3P,0
2809, HS6M1-5,0
2810, C6ORF30,0
2811, TRBV201,9
2812, HNP-1,578
2813, U3B2,0
2814, MGC11321,0
2815,SEPT2,151
2816, DJ1013A22.3,0
2817,MSH5-C6ORF26,0
2818,GCD,1130
2819, MGC30156,0
2820,ST3GalA.2,2
2821,BD1,459
2822,PPP1R115,0
2823,UNR,3314
2824,TMP21,42
2825,HNT,821
2826, G5C,11
2827, TSEPA,23
2828,DVL,1017
2829,HSST2,39
2830, RNU1P1,0
2831, FAM200D,0
2832, GCAP,306
2833,CD158I,6
2834, BQB115I13.2,0
2835,FLJ20297,0
2836,TCRBJ2S6,0
2837,EIT-6,1
2838,HNRPA1L3,0
2839,PIF,2302
2840,LAP2,286
2841,TFIIS.H,2
2842,DJ994E9.1,0
2843,PIMT,233
2844,PGR2,7
2845, PP35,21
2846,KOX2,2
2847, PAHRF,2
2848,FLJ11535,0
2849,TICAM-2,15
2850,PLGP2,0
2851, SMT3H2P,0
2852,FCRIII,140
2853,DEFB3,26
2854, RIP5,11
2855,GAS,481981
2856,C9orf36,0
2857, TRUP,11
2858,RAD26L,0
2859,C6ORF29,0
2860, RP8,303
2861, YMR292W,0
2862, RNU1G2,2
2863, GOT1,400
2864, CL-5,843
2865, P24,8919
2866,DKFZP547F072,0
2867,PIG9,0
2868,KIAA1932,0
2869,C17ORF36,0
2870,WS3,177
2871,FE,187499
2872, TAG,56055
2873, CTES6,0
2874,ALDH4,20
2875,BASE,863521
2876,IGFR1,247
2877, LAM,52632
2878,BPG294E21.7,0
2879,AML1,2453
2880,NBP,1462
2881,NBIA4,6
2882,CYP2T2P,0
2883, HLP,1343
2884,IL28BP1,0
2885,D6S45,3
2886, PLEKHA9,1
2887,RAP1,3511
2888,LAMB2,206
2889,DIA2,111
2890, TAF4A,2
2891, RNU1G3,0
2892, OOSP2A,0
2893, SMIT2,27
2894,PAG,5234
2895,BK14H9.3,0
2896, CAV1.2,1097
2897,p18,2955
2898,UGT1-01,0
2899,CORD9,5
2900,L5,23885
2901, D2B,247
2902,STA,8028
2903,PIG5,2
2904,UT2,147
2905, DHRSY,0
2906,DP,96937
2907, D6S206E,0
2908, MIR-7,1069
2909,KIAA1366,0
2910,CALT,132
2911,FHF3,3
2912, FTSJD1,2
2913,TCRAV19S1,0
2914,DKFZP434B061,0
2915, MIRN597,6
2916,SLP4,40
2917, FAM7A3,0
2918,SAMS,5931
2919,CRYG4,1
2920,AFARP1,0
2921, TRBV124,2
2922,HPAD10,0
2923, MBP-1,170
2924, WISP39,6
2925, ZNF314P,0
2926,DSH,1614
2927,BIRC1,34
2928,KIAA0994,0
2929, KIAA0170,10
2930, OR2I2,0
2931,PGI,5374
2932,MGC15827,0
2933, FCGAMMABP,7
2934,CENPBD1,2
2935,IGHV(III)-76-1,0
2936,MAT,15772
2937, D6S51E,0
2938,p48,858
2939,TCRBV21S1,0
2940,D1S1733E,1
2941,IL-28B,480
2942,MTF2L2,0
2943, CMG1,25
2944,POM121L1,0
2945,PABP4,7
2946,DJ377H14.6,0
2947,CFAP255,1
2948,FLJ31638,0
2949, C20ORF49,0
2950, SH3D2C,2
2951, FLJ22993,0
2952,TBC1D3A,0
2953, PSA,46245
2954, DKFZP686B07267,0
2955, TPSN,9
2956, ILWEQ,14
2957, COL6A4P,1
2958, UTP19,0
2959,PAP2,285
2960,SAX3,28
2961,EFA6R,5
2962, SES2,53
2963,FDH,987
2964,CT,617077
2965,SDH3,49
2966,HEATR8,0
2967, KAP4.14,0
2968, C10ORF50,0
2969,HS6M1-19,0
2970, SMNT,43
2971,TRE,9082
2972,APE,22101097
2973, ZNF822,10
2974, PIT1,1472
2975, PC-1,1394
2976,XAGE-1,29
2977,EBP,10604
2978, SAN1,79
2979,env,18402
2980,PRG-3,10
2981,AIB3,46
2982,HNRNP-R,35
2983, SCP1,298
2984,TISP43,1
2985,C6ORF24,0
2986,CDKN2,8225
2987,HS6M1-8P,0
2988, MAD1,653
2989,MCAD,805
2990,FLJ31193,0
2991,CHL,10237
2992, N-COPINE,4
2993,C17orf69,1
2994,LGMD1D,29
2995, P63,6535
2996,BA164N7.2,0
2997,RNA5-8N2,0
2998,NRF2,30714
2999,FLJ45338,0
3000, LKN-1,26
3001,RN5S175,0
3002,DIP,16054
3003,SXI1,7
3004, STP,3749
3005,TCRAV8S2,1
3006, MGC5987,0
3007,TNDM1,5
3008, OST182,0
3009, MAGE6,20
3010,DEFB137,0
3011,CD0826Q1.1,0
3012,PRSS46,2
3013,HP,105237
3014,OSC,2323
3015, EP2C,4
3016, KIAA1693,0
3017, TAPA,386
3018, GUSBL1,0
3019,ARIP1,7
3020,RPS5L,0
3021,HSA-MIR-24-2,3
3022,HOBPIIB,0
3023, NKH,458
3024,BK126B4.1,0
3025,PBS,32485
3026,IGHV3-D,0
3027, P140SRA-1,1
3028,AIF-1,229
3029, NSCL2,22
3030, H2BS1,0
3031,COX1,11445
3032, HSFY,42
3033,MIRK,138
3034,SF,90197
3035, PDIP1,19
3036,C21ORF74,0
3037,IGH,6613
3038,ML-1,65827
3039, DKFZP564F1123,0
3040,C6ORF134,0
3041, GP180,77
3042,HAP2,454
3043, AP-1,19719
3044, WDRX1,0
3045,CTAGE6P,0
3046,APC1,136
3047,p37,871
3048, TCRBV3S1,11
3049,TCEB3C,7
3050,DRB1,11378
3051,KAP4.13,0
3052,MCSP,1668
3053, MRXS8,20
3054, ZNRD1-AS1,19
3055, GUCY2B,0
3056,HLA-DP1B,0
3057, AP000695.2,9
3058,SPDYE10P,0
3059,SHMT,532
3060,TRPC6L,0
3061, TP53I4,0
3062,GS-X,91
3063,MGC33977,0
3064,NY-REN-2,0
3065,MASK,58750
3066, DAND2,2
3067, HIP,204931
3068, OR2H4,0
3069, HCG16,1
3070, FLJ43692,0
3071, AMD2,25
3072, FLJ13162,1
3073,CT47.2,0
3074, BMS1LP5,0
3075, FLJ23598,1
3076,TRB3,326
3077,SCCMS,55
3078, HF10,145
3079, DEFB-1,8
3080,C1ORF60,0
3081,BFNC,97
3082,TCS3,10
3083,UOG1,4
3084,TCRAV31S1,0
3085,PGD2,7164
3086, RING10,5
3087,IGHD120,1
3088, H4F5,6
3089,FBL3,102
3090,PRKAR1,9
3091,CT15,43
3092,RP58,38
3093, L30,11561
3094, TIM16,14
3095,CART1,72
3096, MGC39904,0
3097,IGHV1-F,1
3098, HMBOA-7,0
3099,RAY,1001380
3100, DIA1,119
3101, HPO2,51
3102,FLJ21281,0
3103,CA125,11282
3104,BETA3GAL-T4,2
3105,HGF,12770
3106,C17ORF77,2
3107,CDC50C,6
3108,HPH-1,81
3109,CLPA,292
3110,BZS,397
3111,POTEB,3
3112,P76,129
3113,PAPA,11166
3114, NKG2-D,14
3115,C8ORF13,18
3116,UNQ3033,0
3117, DNM1DN3-3,0
3118,DRG-1,52
3119, IRC2,22
3120, HCGVIII-1,0
3121,T2R52,0
3122, LGD2,15
3123, SARA,12597
3124,PTH2,206
3125,DJ1141E15.2,0
3126, MPIF-1,32
3127,PRP4,102
3128, SFH1P,5
3129, FBX17,0
3130,KRTAP5.4,4
3131,CRF-R,116
3132,MGC3162,0
3133,FLJ20450,0
3134,FLJ22471,1
3135,FLJ10648,0
3136, AZU,2401
3137, TCTEX1D3,0
3138,HPS,6018
3139, AP47B,0
3140,RNF36,3
3141, SALPR,29
3142,RAIG-3,1
3143, SN,3596492
3144,PPYR1,10
3145, PHOSTENSIN,12
3146,S31III125,1
3147, CRNR5,0
3148,RNU1C1,0
3149,I1,16195
3150,464.2,79
3151,OR19-4,0
3152,TCRBJ2S5,1
3153, DEFB105,0
3154,TN,140236
3155,CAPS1,873
3156, NKAT3,3
3157,LINC01225,3
3158, SEPT7P9,0
3159, PP4R4,2
3160, OR5E1,0
3161, S4,19131
3162,DKFZP434L121,0
3163, SNORA43,0
3164, LIP-STYX,0
3165,CCD1,128
3166,C6ORF48,5
3167, PRO1,449
3168,CAMGAP1,1
3169,CD335,67
3170, OR7-139,0
3171,HIN1,222
3172,NKAT,368
3173,TCEB1P26,0
3174, Zfp27,1
3175,TTMA,83
3176, LPHN1,27
3177,COMT2,9
3178,SRK,1585
3179,HLP2,18
3180, MGC12538,0
3181, SIN,28591
3182, CTGLF12P,0
3183, TFNR,29
3184, GCAF,32
3185,C1QTNF15,0
3186,RNU1P2,0
3187,p56,2938
3188, PPP1R4,0
3189,TN-C,547
3190, TSC501,1
3191, U3,2999
3192, CD270,24
3193,B4,27066
3194, HI95,9
3195,PAFAH,505
3196,AF17,47
3197,CFTD,77
3198,POD1,1163
3199,BCX300M20.3,0
3200,C14orf67,0
3201, ZNF636,0
3202,NCC3,17
3203,HHM,450
3204,FAP,7272
3205,EIG7,1
3206,AB023060.6,0
3207,HI,1307675
3208, LCHN,13
3209,AGS8,12
3210,LAT1,1221
3211,TCRBV10S1,0
3212, ZNF702,0
3213, PIL,2061
3214,IMD2,41
3215,GAGE-2,8
3216,H2A/q,3
3217, OR2J1P,0
3218,ASC2,78
3219,CMS4C,0
3220,APG16L,2
3221,ENST00000439577,2
3222,IGFR2,46
3223,NBS1,1564
3224,SL1,1522
3225,PERB11.2,10
3226,MGR,3131
3227,DK1,101
3228, NKP30,762
3229,CDC2,10671
3230, PRPC8,6
3231,P100,3359
3232,RNU51,0
3233,VWS1,6
3234, OTTHUMG00000086663,0
3235, CU062,1
3236,BCX67J3.3,0
3237,CT11.1,0
3238, SDR1,27
3239, TRBV74,0
3240,KAL,3843
3241,DAND1,3
3242, FAM101A,17
3243,KAP,5043
3244,FKBP51,497
3245,PTGES3P,0
3246, CA125,11282
3247,HA-2,527
3248,GH,64756
3249,P40PHOX,378
3250,RPS4P17,0
3251, KIAA0454,0
3252,IGHV(III)-5-2,0
3253,HSA238982,0
3254,LASS1,18
3255, NCRNA00175,0
3256, P528,5
3257,DFNB35,8
3258, EP2D,2
3259, D15S12,23
3260, LPTS,124
3261,CHAMP,4765
3262, HIOMT,631
3263,AD026,0
3264,IL-21,4148
3265,CCDC144B,3
3266, PNUTS,86
3267,TSPY10,0
3268, SUHW1,0
3269, SH120,3
3270,ICln,95
3271, NEP,3835
3272,NEU,20154
3273, VU1.2A,0
3274,P2,68109
3275,HSD1,1690
3276,ZIP,27489
3277, ARL17P1,0
3278, NG24,203
3279,CMPD2,5
3280,ASP,41788
3281,PWCR,19
3282,EIF2B,764
3283,SAC3,110
3284, HS6M1-13,0
3285, PFM6,2
3286, HSBLMHC1,0
3287,RDH-E2,1
3288,TCRAV4S1,0
3289, TMDP,50
3290,U3b1,0
3291,D17S1718,0
3292,FCCMS,22
3293,KAP9.6,0
3294, MGC52000,0
3295,KST1,25
3296,BAT8,3
3297,HSA-MIR-6892,1
3298, KCNA8,2
3299,B14.7,9
3300, BEC1,88
3301,BAT1P2,0
3302,CASP17P,0
3303,FLJ23338,0
3304, GIG1,24
3305,TRIM43A,2
3306,ERV29,13
3307, SEPTD1,0
3308,PABP2,297
3309, AMAC1L2,2
3310, RTP,8359
3311,MRG1,108
3312, VPH1,62
3313,MGC29956,0
3314, MGC71803,0
3315, PRED90,0
3316, FLJ20241,0
3317,REGL,60
3318,HSM,1593
3319,A12.2,28
3320,SCOX,35
3321,L6,10302
3322,KFSD,34
3323,TGR,1698
3324, CXXC11,2
3325, EYCL2,1
3326,PRP,22355
3327,KAP9.5,0
3328,WP34,7
3329, PRKYP,0
3330,JP,482503
3331, PEPP2,8
3332, HRC1,9
3333,DBP,22844
3334, TMPRSS11E2,0
3335, NET26,0
3336,MDB,1016
3337, BMS1P5,1
3338,NPH2,100
3339,ODF,958
3340,C4B1,73
3341,FAM70B,1
3342, NALP2,13
3343, IL-25,1147
3344,SKIP,4859
3345,S7,6748
3346,WTS,2037
3347,P56,2938
3348, KIRC1,1
3349,CYK4,49
3350,GAAP,69
3351,OR2T11Q,0
3352, A2,282993
3353, TAPE,24403
3354,FLJ36600,0
3355,AT744.2,1
3356,LINC01529,1
3357,PFD,2006
3358,KIAA1938,1
3359, ASMTLAS,1
3360,EIF-5A,863
3361, PCDH3X,0
3362,APS1,411
3363,FLJ44882,0
3364,HS6M1-21,0
3365, OR12D1P,0
3366,CG1,980
3367,C6orf126,0
3368,OR2C4,0
3369, TMS-1,251
3370, CD275,33
3371,TCRBJ1S5,1
3372, NCRNA00198,0
3373,MK2,1652
3374, ZIN,1539
3375,LNCR2,1
3376,ATP6D,1
3377, T2R23,0
3378,IFI5111,0
3379,HA-3II,0
3380, FLJ43547,1
3381,GEF5,5
3382,HCGVII,0
3383, OR2AU1P,0
3384,NPIPB,0
3385,IGH@,6613
3386,HIST1H2BC,12
3387,C14ORF96,0
3388, L7A,80
3389, DEFB103,31
3390,OMGP,160
3391,ZNF,770
3392,C1ORF93,0
3393,CNG4,7
3394, CYP2D7AP,1
3395,GBA,3250
3396,FAD1,61
3397,DAC,3885
3398,CRL1,97
3399,SES1,36
3400,OG2,71
3401,TCRG,217
3402, HM31,1
3403,COX4,270
3404, BQB44E15.5,0
3405, SDR7C6,0
3406, TSC,6767
3407,GBP,2630
3408, TIMM16,0
3409,FOP,2574
3410,CGRP,11940
3411, TFIIIB150,1
3412, EDG1,215
3413,lncRNA799,2
3414,E2,121100
3415, SNF2LB,0
3416, PLCE2,0
3417, COD5,9
3418,TCRBV13S2A1T,0
3419, PAC2,120
3420,PSAP,936
3421,RN5S10,0
3422, OR10C1P,0
3423, HCGV,9
3424,CMK,1391
3425, RICH1,19
3426, MIRN1233,0
3427, LRRC37A4,3
3428, FLJ40113,0
3429,MLCK2,7
3430, MKP6,14
3431,NET2,250
3432, EPHT,44
3433, PART5,7
3434,CT12.1B,0
3435, SLAP,1621
3436,WHAMML2,0
3437, RPC5,183
3438,L30,11561
3439,TC4,531
3440,ADH5B,1
3441,GAGE-12B,0
3442, GAS,481981
3443, DKFZP434G032,0
3444, TMPRSS8P,0
3445,FLJ14156,0
3446, DAP,7677
3447, CCDC133,0
3448,SPAX1,1
3449, SMA3,99
3450,TRP1,1298
3451,NAP2,319
3452,CT45A7,0
3453,GALNAC-T9,6
3454,SBBI31,0
3455,P21,56680
3456,PP1,4602
3457,H2BFA,0
3458,FABP5L3,0
3459,TCRAV9S1,0
3460, X11,804
3461, IL28A,168
3462, REGL,60
3463,MT2,4043
3464,MUC5,107
3465, C1,70238
3466,p240,87
3467,TCEB1L,2
3468,HST21816,0
3469, PNUTL4,0
3470,HTR3,51
3471, MDC9,23
3472,SERS,13398
3473, MIP,20143
3474,ALPHA-RLC,4
3475,AT1,11302
3476,HCAP,605
3477,ATPI,205
3478,T2R31,0
3479,MAS1LP,0
3480, STK2,29
3481, PBX2MHC,0
3482, MED15P2,0
3483, RAMP,10629
3484, DJ760C5.1,0
3485,p55,3415
3486,DORV,426
3487,MTP,4336
3488,ZNF780,0
3489,HLA-DXB,0
3490, KLR,304
3491,GCP-1,15
3492, SCRB1,10
3493, N27C7-4,0
3494,ZRC1,52
3495, TRBV77,1
3496,MCT6,26
3497,BAL,22777
3498,p15,6824
3499,HSA-MIR-3651,6
3500,DEFB-2,2
3501,HBLRR,2785
3502,DEFAP3,4
3503,ROCHIS,0
3504,PCN3,18
3505,ALF,6596
3506,HIST1H2BE,7
3507,NPY4-R,0
3508,LOC100133669,2
3509, FLJ33817,0
3510,TSP1,2296
3511,NLF1,8
3512, DJ266L20.5,0
3513, MGC5309,1
3514, PAL,28683
3515,CED4,270
3516, LFA-1,6738
3517,CED,14221
3518,ALPHA2DELTA-4,4
3519,DDPAC,12887
3520, HCGI,13
3521,SSX,820
3522,CTA-833B7.2,0
3523, GSD1C,3
3524,C21ORF112,0
3525, IMP1,637
3526,MZF-1,73
3527, TMDCI,1
3528, PPIASE,9471
3529,BA325O24.3,0
3530,RaRF,42
3531,IGHD221,1
3532,RIG,6786
3533,C21ORF7,1
3534,TAZ,3731
3535,FLJ10157,0
3536, NCRNA00236,0
3537,SAT1,519
3538, P37,871
3539,TCRBV20S1A1N2,0
3540,ING2,147
3541,TP53TG3C,0
3542,BETA-4,6182
3543,BMND12,0
3544, NCRNA00105,0
3545, MGC16385,0
3546,RIP2,457
3547, WGEF,10
3548,RIP,8937
3549,FLJ40054,0
3550,INT1,630
3551,NB,34511
3552,ATE1-AS1,0
3553,HRES-1,37
3554, MLEL1,0
3555,TP53LC10,0
3556, M-LPH2,1
3557,C2ORF89,0
3558, CH,5184511
3559, CDK11-P58,31
3560,CHD2-42,0
3561,STAG3L2,2
3562,p6,12487
3563,TRN2,20
3564,LPRP,123
3565,WT2,129
3566, FCALPHAR,105
3567,FAM75E3P,0
3568, M9,4171
3569, BTN7,0
3570, HS6M1-4,0
3571, PAC1,1969
3572,MUM1,2539
3573,DXP1,5
3574,PH2,2150
3575,IARS,191
3576,MAD,7610
3577,MARS,21474
3578,KAP3.1,1
3579,HSP70-2,309
3580, EPMR,89
3581,CA-RP,26
3582, BCLG,50
3583, KRTAP5.2,2
3584, P41NOXC,0
3585, LNCRNA-HEIH,41
3586,EK,11990
3587, CD85,37
3588, CT12.1C,0
3589,IGHV(II)-15-1,1
3590,OR19-8,2
3591, FLJ20291,0
3592, MGC51822,0
3593,HLX1,37
3594,DEFB109P3,0
3595,p10,9840
3596, IP,1195029
3597,CD85C,1
3598,pTEX,97
3599,E2-1,659
3600, NCRNA00235,0
3601,ABP1,344
3602,PTX2,257
3603,NET5,9
3604,ALS6,35
3605, H2-KE6,10
3606,BF,27711
3607,GLUT11,19
3608,B5+B5R,11
3609,C9ORF7,3
3610, TRBV51,2
3611, KRYN,25
3612,SHP1,2130
3613,BTR,4299
3614,HSA-MIR-5692A-2,0
3615,CPSF160,21
3616, ZC2HC6B,0
3617, IL29,280
3618,DJ1033B10.6,0
3619,MTX,15836
3620, SEN4,40
3621,SNF7,146
3622, ZCYTOR1,0
3623, MMP-25,52
3624,OR4K3P,0
3625,NDR1,298
3626,IGHV(II)-60-1,0
3627,TAP1-AS1,0
3628, MTSERRS,2
3629, NOV,3555926
3630, PERB11.5,1
3631, SPG6,50
3632,UBP,548
3633,DMBT1P1,1
3634,TAX1BP2,7
3635, HSA-MIR-124A-1,0
3636,RN5-8S2,0
3637, SSBP,203
3638, KRTAP5.3,1
3639, PNMA4,5
3640, KIAA1359,0
3641, ACC-ALPHA,54
3642, HLA-DR1BL,0
3643, ATG16L,86
3644,RNU24,5
3645, PLAP-1,43
3646,PIG3,122
3647, SMMS-1,8
3648, ZFP29,3
3649, POP3,128
3650,OR2B3P,0
3651, TCRBV24S1A3T,0
3652,C14ORF165,0
3653,MAP1D,3
3654,APRIL,202502
3655, PMI,4858
3656,H2B/h,4924
3657, ELK2.1,0
3658, NKAT4B,0
3659,HLA-DR1B,0
3660,SPANXC,18
3661, DOC1,117
3662,L22,1520
3663,FOX-2,68
3664,UNC-76,32
3665,FRAG1,19
3666, ZNFB7,0
3667,NAT-1,88
3668, MIR,128037
3669, PPP2R3B-AS1,0
3670,HNPCC,6709
3671, NOP56-L,0
3672, SLP1,200
3673,PSCTK2,0
3674,Rsc6p,1
3675,MMEL2,1
3676,AM,1952794
3677,DEFB-8,0
3678, RP11-10A14.5,1
3679, CEN2,51
3680,MOP,21572
3681, FLJ43950,0
3682, RNF9,0
3683, KCHIP4,21
3684,TRIM70,1
3685, P27-BWR1B,0
3686,DLC1,455
3687, AYTL3,1
3688, U1D2,0
3689, UFD2,69
3690,UFD2,69
3691,ALDC,67
3692,BUB1A,2
3693, LAG1,454
3694,MSL3L2,0
3695,FAM25A,3
3696, TP53TG3A,1
3697, CED12,31
3698,SIR2,1739
3699, MMP-28,71
3700, FLJ38577,0
3701,RN7SL694P,0
3702,AAAT,131
3703,HSA-MIR-1233,16
3704,HS6M1-17,1
3705, HIWI,81
3706,FBI1,48
3707, TRAP1,471
3708,LYC1,8
3709, PSGB-5-1,1
3710, KIAA1885,1
3711,SSA,15276
3712,RP11-567G11.1,3
3713,RRP4,48
3714,LINC01263,0
3715,ANF,4368
3716,HSA-MIR-766,55
3717,CYPH,19
3718, AIP1,281
3719,HLS,2241
3720,CYBL,12
3721,ASBEL,65
3722, TGIF,259
3723,ACA54,70
3724,J3,1994
3725,GSP,3058
3726, LIR-7,10
3727, p19,5404
3728,FAM75D5,0
3729,PEPCK,5207
3730,PMI1,35
3731, ODC1L,0
3732, HS1,932
3733, ESO1,46
3734, SERPINA2P,0
3735, DEFB122P,0
3736,RPL17L,0
3737,CPI17-LIKE,0
3738,POM-ZP3,1
3739, YRRM2,2
3740, L8,3615
3741, MGC8570,0
3742, EM:AC016825.4,600323
3743, TMEM142A,4
3744,HARP,2382
3745,IGKV2/OR2-8,0
3746, BTF2P44,6
3747, GTK,139
3748,HOX4E,3
3749,NOP,1607
3750,PSITPTE22,2
3751, US4,196
3752,OCT4,9365
3753,HAP40,29
3754, KOX21,1
3755,C19ORF13,0
3756,M-ABC2,13
3757,DNAJ,2204
3758,RIBIIR,0
3759,JPSI1,0
3760,HRS,44031
3761, TCTEX5,8
3762, MCDR2,3
3763, H2A.1,92
3764,BAP18,12
3765,AAA,20526
3766, SYNGAP,159
3767,CDD,1962
3768,ED3,243
3769,HGMP07J,0
3770,SIGLECP2,0
3771, FAD1,61
3772,SQS,570
3773, TMEM21B,0
3774,SKD1,56
3775,NRK2,19
3776, SMYCA,1
3777,CALP,149
3778, TCRBV6S8,0
3779,ASB-3,13
3780,CAC1,138
3781,CH507-145C22.1,0
3782, TCRBV19S1,0
3783,TCRBV12S4,0
3784,MRCL3,2
3785,GOLGA2LY1,0
3786, PRKM4,0
3787, TRBV61,4
3788, BTNL10,0
3789,GAGE-7,5
3790,CENP-S,22
3791, FLJ13607,0
3792,L9,3742
3793, TGN51,3
3794,RP11-45J16.2,0
3795, RP66,9
3796, HSSARA-P,0
3797,HCGIX,2
3798, MCMP,66
3799, CXYORF12,0
3800,FBS,13956
3801,HSA-MIR-3926-1,0
3802,HC3,626
3803, PEPP1,3
3804, PXMP1,7
3805, CRALA,2
3806,MMDS3,5
3807, CTSLL2,1
3808, SIGLEC-5,101
3809, P13,6141
3810, PIHL,1115
3811,JCG3,2
3812,ARD1,141
3813,PTA,12211
3814,JDP1,29
3815,H3C2,18
3816,OR19-7,0
3817,FRP1,64
3818,HCRN,62
3819, ATPM,32
3820,C7orf70,2
3821,P130,1911
3822,UGT-1C,0
3823,HSA-MIR-4670,0
3824, HCTSL-S,0
3825, CGM2,27
3826,KERSMCR,0
3827,bHLHe42,0
3828, ZIP4,274
3829, KAT1,249
3830,GP130,3751
3831, GLUDP3,2
3832,IGHV(II)-51-2,0
3833, TAF2G,1
3834,PDIR,65
3835,FLJ20129,0
3836,C11ORF81,0
3837, SPBC98,0
3838,AMAP1,36
3839,TLP,962
3840, TCRAV4S1,0
3841,L18,926
3842, TIGD1L,0
3843,KAP2.4,1
3844,KIR,6253
3845,AK6,38
3846,HPC8,6
3847, ARIP1,7
3848,GAL4,5578
3849,PAT1,496
3850,P0,2795882
3851,HA-1,9376
3852, DKFZP686M2086,0
3853, EDDR1,2
3854, OTTHUMT00000055574,0
3855,p54,811
3856,RPL7P,4
3857,CDP,6165
3858,ATDC,117
3859,ANKRD20A5,0
3860,CFAG,18
3861,ICIS,8972
3862, MGC22228,0
3863,PIR1,63
3864,SCYA4L,1
3865, ORCTL2,6
3866,BA291L22.2,0
3867, RACO1,5
3868, DP1,8463
3869, U4/14,1
3870,LINC00584,0
3871,ER,172503
3872, HCCS1,16
3873, SAP2,254
3874, PEDF,1651
3875,PAS-2,127
