,ambiguous symbol,number of abstracts with a match
1161,U32B,0
1162, PLB,1905
1163, AMDPY,0
1164, TIP,92526
1165, SPP2,91
1166, GC1,962
1167,ES31,54
1168, U1P101,0
1169, C4F,31
1170,HIST2H2BA,1
1171, DFFRY,27
1172,PRL-3,306
1173, H2A/Q,3
1174, KIAA0714,0
1175,BTN6,0
1176, LAGE2A,1
1177,AIBP63,1
1178, TRBJ16,1
1179,NEP,3835
1180,TBP1,160
1181,LPP1,152
1182,RNU52,0
1183,TRY1,19
1184, SMAC3L,0
1185,CTF,1942
1186, CNRS6,0
1187, HSPA1,83
1188, PRL1,195
1189,FOLH2,0
1190,PSP-A,208
1191,P55,3415
1192, C6ORF205,0
1193, DEFB108P1,0
1194, KE-2,52
1195, DDX6P,1
1196, C8ORF68,0
1197,ATF,4652
1198,ACHAP,15
1199,TCONS_00007705,266
1200,UPP,1112
1201, KIAA0899,0
1202, p47,3309
1203, SYS,1906
1204,KIAA1018,7
1205,MIP-5,49
1206, HSNIK,0
1207,MEF,5505
1208,hBD-8,0
1209,MTS,14733
1210,DUSP24,1
1211, VWF-CP,55
1212,ERK4,34
1213,RIC8,76
1214,SMA3-L,0
1215,KAP4.12,0
1216, FSTNI,16
1217, HST16821,0
1218, WRCH1,33
1219, ZBTB22A,0
1220,NKAT10,0
1221,PCDH-PSI2,0
1222,BPAD,62915
1223,DEFAP2,0
1224,MLL2,411
1225,HSA-MIR-3606,0
1226, P40,15523
1227,PP610,0
1228,PMI,4858
1229,OR6-1,1
1230,BCRP1,255
1231,BUSTER4,0
1232,ALURBP,0
1233, ZSCAN41,0
1234,KRTAP2.3,2
1235, PRKM8IPP,0
1236,OB,39448
1237, D6S205E,0
1238, ZNRD1AS,13
1239, OR2F3P,0
1240,H3C11,1
1241,SFD,1324
1242, MIRN1322,12
1243, CNRN6,0
1244,APM1,151
1245, STK7,0
1246,CT58,12
1247, LIR-1,91
1248,PI-PLC,1079
1249,p150,1217
1250,PPT,7535
1251,ILFS2,15
1252,CNR7,1
1253,CFHL5,2
