,alias_symbol,gene_symbol,ENSG_ID,source,gene_symbol_count
3225,UDPGT,"UGT1A9, UGT1A7, UGT1A6, UGT1A5, UGT1A4, UGT1A10, UGT1A1, UGT1A8, UGT1A3","ENSG00000241119, ENSG00000244122, ENSG00000167165, ENSG00000288705, ENSG00000244474, ENSG00000242515, ENSG00000241635, ENSG00000242366, ENSG00000288702",NCBI Info,71
3233,UGT1,"UGT1A7, UGT1A10, UGT1A6, UGT1A, UGT1A4, SLC35A2, UGGT1, UGT1A1, UGT1A8","ENSG00000244122, ENSG00000242515, ENSG00000167165, nan, ENSG00000244474, ENSG00000102100, ENSG00000136731, ENSG00000241635, ENSG00000242366",NCBI Info,70
2540,Protease,"ERVK-24, ERVK-25, ERVK-8, ERVK-10, ERVK-19, ERVK-9, ERVK-18, ERVK-21","nan, nan, nan, nan, nan, nan, nan, nan",NCBI Info,68
2637,RNA5-8SP,"LOC110467524, LOC110467522, LOC110467521, LOC110467520, LOC110467523","nan, ENSG00000283291, ENSG00000283568, ENSG00000276871, ENSG00000275877",NCBI Info,68
2541,Proteinase,"ERVK-9, ERVK-10, ERVK-8, ERVK-18, ERVK-19, ERVK-25, ERVK-24, ERVK-21","nan, nan, nan, nan, nan, nan, nan, nan",NCBI Info,68
2634,RNA28SP,"LOC110467526, LOC110467529, LOC110467527, LOC110467528, LOC110467531","nan, nan, nan, nan, nan",NCBI Info,68
3105,TP53TG3,"LOC102723655, LOC102723713, TP53TG3F, TP53TG3E, TP53TG3C, TP53TG3D","nan, ENSG00000275869, ENSG00000278848, ENSG00000275034, ENSG00000205457, ENSG00000205456",NCBI Info,66
1538,IGH,"LOC102724971, LOC105379528, IGHV3-69-1, LOC102723407, IGHV3OR16-7","nan, nan, ENSG00000282600, nan, nan",NCBI Info,65
2447,PPIase,"PPIL6, FKBP4, PPIL1, FKBP5, FKBP1B, FKBP2, FKBP7, FKBP3, FKBP9","ENSG00000185250, ENSG00000004478, ENSG00000137168, ENSG00000096060, ENSG00000119782, ENSG00000173486, ENSG00000079150, ENSG00000100442, ENSG00000122642",NCBI Info,62
1444,HOX2,"HOXB7, HOXB6, HOXB8, HOXB5, HOXB4, HOXB3, HOXB2, HOXB9, HOXB1","ENSG00000260027, ENSG00000108511, ENSG00000120068, ENSG00000120075, ENSG00000182742, ENSG00000120093, ENSG00000173917, ENSG00000170689, ENSG00000120094",NCBI Info,61
4320,HOX2,"HOXB6, HOXB4, HOXB7, HOXB9, HOXB8, HOXB5, HOXB1, HOXB2, HOXB3","ENSG00000108511, ENSG00000182742, ENSG00000260027, ENSG00000170689, ENSG00000120068, ENSG00000120075, ENSG00000120094, ENSG00000173917, ENSG00000120093",ENSG,61
3206,U4,"RNU4-5P, RNU4-7P, RNU4-8P, RNU4-4P, RNU4-6P, RNU4-1, RNU4-3P","nan, nan, nan, nan, nan, ENSG00000200795, nan",NCBI Info,60
1992,NAP1,"TRMO, ACOT8, AZI2, NAPSA, NCKAP1, NAA25, CXCL8, TAB3, NAP1L1","ENSG00000136932, ENSG00000101473, ENSG00000163512, ENSG00000131400, ENSG00000061676, ENSG00000111300, ENSG00000169429, ENSG00000157625, ENSG00000187109",NCBI Info,60
3154,TRNAN-GUU,"TRN-GTT10-1, TRN-GTT5-1, TRN-GTT9-1, TRN-GTT11-1, TRN-GTT7-1","nan, nan, nan, nan, nan",NCBI Info,60
4643,MT1,"MT1H, MT1L, MT1IP, MT1JP, MT1E, MT1G, MT1M, MT1F, MT1A, MT1B","ENSG00000205358, ENSG00000260549, ENSG00000275691, ENSG00000255986, ENSG00000169715, ENSG00000125144, ENSG00000205364, ENSG00000198417, ENSG00000205362, ENSG00000169688",ENSG,60
935,U4,"RNU4-1, RNU4-3P, RNU4-8P, RNU4-7P, RNU4-6P, RNU4-5P, RNU4-4P","ENSG00000200795, nan, ENSG00000201806, ENSG00000201628, ENSG00000222736, ENSG00000272160, ENSG00000201458",HGNC,60
96,AIP1,"WDR1, ARL6IP1, MAGI2, BIRC3, PDCD6IP, DAB2IP, ACTRT1, ABI2","ENSG00000071127, ENSG00000170540, ENSG00000187391, ENSG00000023445, ENSG00000170248, ENSG00000136848, ENSG00000123165, ENSG00000138443",NCBI Info,58
50,ACT,"SERPINA3, FHL5, POTEM, POTEKP, ACTBL2, ACTG1, ACTG2, ACOT7","ENSG00000196136, ENSG00000112214, ENSG00000222036, nan, ENSG00000169067, ENSG00000184009, ENSG00000163017, ENSG00000097021",NCBI Info,58
1764,LRRC37,"LRRC37B, LRRC37A2, LOC646030, LRRC37A, LRRC37A4P, LRRC37A3","ENSG00000185158, ENSG00000260075, nan, ENSG00000176681, nan, ENSG00000176809",NCBI Info,58
120,ALS2CR3,"TRAK2, MTCO3P16, MTND4LP16, MTATP6P16, MTND3P16, MTCO2P16","ENSG00000115993, ENSG00000227736, ENSG00000234731, ENSG00000224299, ENSG00000224590, ENSG00000234842",NCBI Info,57
2082,NPIP,"NPIPB10P, NPIPA2, NPIPA1, NPIPB11, NPIPB3, PKD1P1, NPIPA5","nan, ENSG00000254852, ENSG00000183426, ENSG00000254206, nan, nan, ENSG00000183793",NCBI Info,57
3108,TP53TG3C,"LOC102723655, TP53TG3D, TP53TG3E, LOC102723713, TP53TG3F","nan, ENSG00000205456, ENSG00000275034, ENSG00000275869, ENSG00000278848",NCBI Info,56
3107,TP53TG3B,"TP53TG3F, TP53TG3D, TP53TG3E, LOC102723713, LOC102723655","ENSG00000278848, ENSG00000205456, ENSG00000275034, ENSG00000275869, nan",NCBI Info,56
3279,WASH,"LOC124908102, LOC124906931, WASHC1, LOC124906983, WASH6P","nan, nan, ENSG00000181404, nan, ENSG00000182484",NCBI Info,56
1279,H3C6,"H3C7, H3C1, H3C12, H3C10, H3C11, H3C2, H3C3, H3C4, H3C8","ENSG00000277775, ENSG00000275714, ENSG00000197153, ENSG00000278828, ENSG00000275379, ENSG00000286522, ENSG00000287080, ENSG00000197409, ENSG00000273983",NCBI Info,55
1276,H3C2,"H3C4, H3C3, H3C1, H3C7, H3C6, H3C12, H3C11, H3C10, H3C8","ENSG00000197409, ENSG00000287080, ENSG00000275714, ENSG00000277775, ENSG00000274750, ENSG00000197153, ENSG00000275379, ENSG00000278828, ENSG00000273983",NCBI Info,55
1281,H3C8,"H3C2, H3C10, H3C7, H3C1, H3C6, H3C12, H3C3, H3C4, H3C11","ENSG00000286522, ENSG00000278828, ENSG00000277775, ENSG00000275714, ENSG00000274750, ENSG00000197153, ENSG00000287080, ENSG00000197409, ENSG00000275379",NCBI Info,55
1280,H3C7,"H3C2, H3C1, H3C4, H3C8, H3C3, H3C12, H3C10, H3C6, H3C11","ENSG00000286522, ENSG00000275714, ENSG00000197409, ENSG00000273983, ENSG00000287080, ENSG00000197153, ENSG00000278828, ENSG00000274750, ENSG00000275379",NCBI Info,55
3402,p55,"IL2RA, PIK3R3, TNFRSF1A, FOS, PSMD12, H3P44, ERG, FSCN1","ENSG00000134460, ENSG00000117461, ENSG00000067182, ENSG00000170345, ENSG00000197170, nan, ENSG00000157554, ENSG00000075618",NCBI Info,55
1277,H3C3,"H3C11, H3C1, H3C4, H3C6, H3C12, H3C7, H3C8, H3C2, H3C10","ENSG00000275379, ENSG00000275714, ENSG00000197409, ENSG00000274750, ENSG00000197153, ENSG00000277775, ENSG00000273983, ENSG00000286522, ENSG00000278828",NCBI Info,55
1269,H3C1,"H3C6, H3C7, H3C8, H3C11, H3C3, H3C2, H3C10, H3C12, H3C4","ENSG00000274750, ENSG00000277775, ENSG00000273983, ENSG00000275379, ENSG00000287080, ENSG00000286522, ENSG00000278828, ENSG00000197153, ENSG00000197409",NCBI Info,55
1278,H3C4,"H3C1, H3C12, H3C2, H3C10, H3C11, H3C8, H3C6, H3C3, H3C7","ENSG00000275714, ENSG00000197153, ENSG00000286522, ENSG00000278828, ENSG00000275379, ENSG00000273983, ENSG00000274750, ENSG00000287080, ENSG00000277775",NCBI Info,55
1272,H3C12,"H3C7, H3C6, H3C11, H3C2, H3C8, H3C4, H3C10, H3C3, H3C1","ENSG00000277775, ENSG00000274750, ENSG00000275379, ENSG00000286522, ENSG00000273983, ENSG00000197409, ENSG00000278828, ENSG00000287080, ENSG00000275714",NCBI Info,54
115,ALP,"PDLIM3, ATHS, CCL27, NAT10, ATRNL1, SLPI, ALPP, ASRGL1","ENSG00000154553, nan, ENSG00000213927, ENSG00000135372, ENSG00000107518, ENSG00000124107, ENSG00000163283, ENSG00000162174",NCBI Info,54
