gene_symbol,ENSG_ID,alias_symbol,source
OTOL1,ENSG00000182447,C1QTNF15,HGNC
ERFE,ENSG00000178752,C1QTNF15,HGNC
DONSON,ENSG00000159147,C2TA,HGNC
CIITA,ENSG00000179583,C2TA,HGNC
POLR3D,ENSG00000168495,C53,HGNC
CDK5RAP3,ENSG00000108465,C53,HGNC
CHST1,ENSG00000175264,C6ST,HGNC
CHST2,ENSG00000175040,C6ST,HGNC
CHST3,ENSG00000122863,C6ST,HGNC
MUC16,ENSG00000181143,CA125,HGNC
NBR1,ENSG00000188554,CA125,HGNC
DFFB,ENSG00000169598,CAD,HGNC
ACOD1,ENSG00000102794,CAD,HGNC
CHAF1A,ENSG00000167670,CAF-1,HGNC
CHAF1B,ENSG00000159259,CAF-1,HGNC
CHAF1B,ENSG00000159259,CAF1,HGNC
CHAF1A,ENSG00000167670,CAF1,HGNC
CNOT8,ENSG00000155508,CAF1,HGNC
MSLN,ENSG00000102854,CAK1,HGNC
CDK7,ENSG00000134058,CAK1,HGNC
FBLIM1,ENSG00000162458,CAL,HGNC
GOPC,ENSG00000047932,CAL,HGNC
SNAP91,ENSG00000065609,CALM,HGNC
PICALM,ENSG00000073921,CALM,HGNC
CAPNS1,ENSG00000126247,CANP,HGNC
CAPN1,ENSG00000014216,CANP,HGNC
FAM111B,ENSG00000189057,CANP,HGNC
BRD4,ENSG00000141867,CAP,HGNC
SORBS1,ENSG00000095637,CAP,HGNC
SERPINB6,ENSG00000124570,CAP,HGNC
CAP1,ENSG00000131236,CAP,HGNC
HACD1,ENSG00000165996,CAP,HGNC
LNPEP,ENSG00000113441,CAP,HGNC
TMPRSS4,ENSG00000137648,CAP2,HGNC
SERPINB8,ENSG00000166401,CAP2,HGNC
ST14,ENSG00000149418,CAP3,HGNC
SERPINB9,ENSG00000170542,CAP3,HGNC
CADPS,ENSG00000163618,CAPS1,HGNC
CAPS,ENSG00000105519,CAPS1,HGNC
