HGNC ID	Alias symbol	NCBI gene ID	Ensembl gene ID	Approved symbol
HGNC:18762	TRAMD1	153201	ENSG00000186335	SLC36A2
HGNC:19659	PAT3	285641	ENSG00000186334	SLC36A3
HGNC:19659	TRAMD2	285641	ENSG00000186334	SLC36A3
HGNC:19659	tramdorin2	285641	ENSG00000186334	SLC36A3
HGNC:19660	PAT4	120103	ENSG00000180773	SLC36A4
HGNC:19660	FLJ38932	120103	ENSG00000180773	SLC36A4
HGNC:11024	SPX1	54020	ENSG00000160190	SLC37A1
HGNC:20644	FLJ00171	219855	ENSG00000134955	SLC37A2
HGNC:20644	SPX2	219855	ENSG00000134955	SLC37A2
HGNC:20651	DKFZp761N0624	84255	ENSG00000157800	SLC37A3
HGNC:20651	SPX3	84255	ENSG00000157800	SLC37A3
HGNC:4061	GSD1b	2542	ENSG00000137700	SLC37A4
HGNC:4061	GSD1c	2542	ENSG00000137700	SLC37A4
HGNC:4061	GSD1d	2542	ENSG00000137700	SLC37A4
HGNC:4061	G6PT	2542	ENSG00000137700	SLC37A4
HGNC:4061	SPX4	2542	ENSG00000137700	SLC37A4
HGNC:13447	ATA1	81539	ENSG00000111371	SLC38A1
HGNC:13447	NAT2	81539	ENSG00000111371	SLC38A1
HGNC:13447	SAT1	81539	ENSG00000111371	SLC38A1
HGNC:13447	SNAT1	81539	ENSG00000111371	SLC38A1
HGNC:13448	SAT2	54407	ENSG00000134294	SLC38A2
HGNC:13448	ATA2	54407	ENSG00000134294	SLC38A2
HGNC:13448	KIAA1382	54407	ENSG00000134294	SLC38A2
HGNC:13448	SNAT2	54407	ENSG00000134294	SLC38A2
HGNC:55454		102723757	ENSG00000258096	SLC38A2-AS1
HGNC:18044	G17	10991	ENSG00000188338	SLC38A3
HGNC:18044	SN1	10991	ENSG00000188338	SLC38A3
HGNC:18044	SNAT3	10991	ENSG00000188338	SLC38A3
HGNC:14679	PAAT	55089	ENSG00000139209	SLC38A4
HGNC:14679	NAT3	55089	ENSG00000139209	SLC38A4
HGNC:14679	ATA3	55089	ENSG00000139209	SLC38A4
HGNC:14679	SNAT4	55089	ENSG00000139209	SLC38A4
HGNC:56178		100288798	ENSG00000257261	SLC38A4-AS1
HGNC:18070	SN2	92745	ENSG00000017483	SLC38A5
HGNC:18070	JM24	92745	ENSG00000017483	SLC38A5
HGNC:18070	SNAT5	92745	ENSG00000017483	SLC38A5
HGNC:19863	NAT-1	145389	ENSG00000139974	SLC38A6
HGNC:19863	SNAT6	145389	ENSG00000139974	SLC38A6
HGNC:25582	FLJ10815	55238	ENSG00000103042	SLC38A7
HGNC:25582	SNAT7	55238	ENSG00000103042	SLC38A7
HGNC:32434	SNAT8	146167	ENSG00000166558	SLC38A8
HGNC:26907	FLJ90709	153129	ENSG00000177058	SLC38A9
HGNC:26907	SNAT9	153129	ENSG00000177058	SLC38A9
HGNC:28237	MGC15523	124565	ENSG00000157637	SLC38A10
HGNC:28237	PP1744	124565	ENSG00000157637	SLC38A10
HGNC:28237	SNAT10	124565	ENSG00000157637	SLC38A10
HGNC:26836	FLJ39822	151258	ENSG00000169507	SLC38A11
HGNC:26836	AVT2	151258	ENSG00000169507	SLC38A11
HGNC:12876	ZIP1	27173	ENSG00000143570	SLC39A1
HGNC:56980		101060052	ENSG00000230137	SLC39A1P1
HGNC:17127	ZIP2	29986	ENSG00000165794	SLC39A2
HGNC:17128	ZIP3	29985	ENSG00000141873	SLC39A3
HGNC:17129	ZIP4	55630	ENSG00000147804	SLC39A4
HGNC:17129	ZIP-4	55630	ENSG00000147804	SLC39A4
HGNC:17129	AWMS2	55630	ENSG00000147804	SLC39A4
HGNC:20502	ZIP5	283375	ENSG00000139540	SLC39A5
HGNC:18607	LIV-1	25800	ENSG00000141424	SLC39A6
HGNC:18607	ZIP6	25800	ENSG00000141424	SLC39A6
HGNC:4927	H2-KE4	7922	ENSG00000112473	SLC39A7
HGNC:4927	D6S2244E	7922	ENSG00000112473	SLC39A7
HGNC:4927	KE4	7922	ENSG00000112473	SLC39A7
HGNC:4927	RING5	7922	ENSG00000112473	SLC39A7
HGNC:4927	ZIP7	7922	ENSG00000112473	SLC39A7
HGNC:20862	BIGM103	64116	ENSG00000138821	SLC39A8
HGNC:20862	ZIP8	64116	ENSG00000138821	SLC39A8
HGNC:20862	ZIP-8	64116	ENSG00000138821	SLC39A8
HGNC:20182	FLJ11274	55334	ENSG00000029364	SLC39A9
HGNC:20182	ZIP9	55334	ENSG00000029364	SLC39A9
HGNC:20861	KIAA1265	57181	ENSG00000196950	SLC39A10
HGNC:20861	FLJ90515	57181	ENSG00000196950	SLC39A10
HGNC:20861	DKFZp564L2123	57181	ENSG00000196950	SLC39A10
HGNC:20861	ZIP10	57181	ENSG00000196950	SLC39A10
HGNC:14463	ZIP11	201266	ENSG00000133195	SLC39A11
HGNC:20860	FLJ30499	221074	ENSG00000148482	SLC39A12
HGNC:20860	ZIP12	221074	ENSG00000148482	SLC39A12
HGNC:44881		100129213	ENSG00000226083	SLC39A12-AS1
HGNC:20859	FLJ25785	91252	ENSG00000165915	SLC39A13
HGNC:20859	LZT-Hs9	91252	ENSG00000165915	SLC39A13
HGNC:20859	ZIP13	91252	ENSG00000165915	SLC39A13
HGNC:20859	ZIP-13	91252	ENSG00000165915	SLC39A13
HGNC:56351	AC090559.1	127138868	ENSG00000255197	SLC39A13-AS1
HGNC:20858	KIAA0062	23516	ENSG00000104635	SLC39A14
HGNC:20858	NET34	23516	ENSG00000104635	SLC39A14
HGNC:20858	ZIP14	23516	ENSG00000104635	SLC39A14
HGNC:20858	ZIP-14	23516	ENSG00000104635	SLC39A14
HGNC:10909	MTP1	30061	ENSG00000138449	SLC40A1
HGNC:10909	IREG1	30061	ENSG00000138449	SLC40A1
HGNC:10909	FPN1	30061	ENSG00000138449	SLC40A1
HGNC:10909	HFE4	30061	ENSG00000138449	SLC40A1
HGNC:10909	FPN	30061	ENSG00000138449	SLC40A1
HGNC:19429	MgtE	254428	ENSG00000133065	SLC41A1
HGNC:31045	DKFZP434K0427	84102	ENSG00000136052	SLC41A2
HGNC:31046	FLJ20473	54946	ENSG00000114544	SLC41A3
HGNC:55559		112267887	ENSG00000250012	SLC41A3-AS1
HGNC:9225	R00504	8501	ENSG00000149150	SLC43A1
HGNC:9225	PB39	8501	ENSG00000149150	SLC43A1
HGNC:23087	MGC34680	124935	ENSG00000167703	SLC43A2
HGNC:17466	SEEEG-1	29015	ENSG00000134802	SLC43A3
HGNC:17466	Eeg1	29015	ENSG00000134802	SLC43A3
HGNC:17466	DKFZp762A227	29015	ENSG00000134802	SLC43A3
HGNC:17466	FOAP-13	29015	ENSG00000134802	SLC43A3
HGNC:17466	PRO1659	29015	ENSG00000134802	SLC43A3
HGNC:18798	CTL1	23446	ENSG00000070214	SLC44A1
HGNC:18798	CHTL1	23446	ENSG00000070214	SLC44A1
HGNC:18798	CD92	23446	ENSG00000070214	SLC44A1
HGNC:17292	CTL2	57153	ENSG00000129353	SLC44A2
HGNC:28689	MGC45474	126969	ENSG00000143036	SLC44A3
