HGNC ID	Approved symbol	Gene group ID
HGNC:33781	ACP7	1071
HGNC:126	ACR	
HGNC:17195	ACRBP	1492
HGNC:54745	ACRP1	
HGNC:127	ACRV1	
HGNC:128	ACS3	
HGNC:29567	ACSBG1	40
HGNC:24174	ACSBG2	40
HGNC:26101	ACSF2	40
HGNC:27288	ACSF3	40
HGNC:3569	ACSL1	40
HGNC:3570	ACSL3	40
HGNC:40227	ACSL3-AS1	1987
HGNC:56529	ACSL3P1	
HGNC:3571	ACSL4	40
HGNC:16526	ACSL5	40
HGNC:16496	ACSL6	40
HGNC:40772	ACSL6-AS1	1987
HGNC:18049	ACSM1	40
HGNC:32017	ACSM2A	40
HGNC:30931	ACSM2B	40
HGNC:10522	ACSM3	40
HGNC:32016	ACSM4	40
HGNC:26060	ACSM5	40
HGNC:51295	ACSM5P1	
HGNC:31665	ACSM6	40
HGNC:16091	ACSS1	40
HGNC:15814	ACSS2	40
HGNC:24723	ACSS3	40|1691
HGNC:129	ACTA1	929
HGNC:130	ACTA2	929
HGNC:45169	ACTA2-AS1	1987
HGNC:131	ACTA3	
HGNC:132	ACTB	929|1605|1604|1606
HGNC:17780	ACTBL2	929
HGNC:134	ACTBP1	
HGNC:135	ACTBP2	
HGNC:136	ACTBP3	
HGNC:137	ACTBP4	
HGNC:138	ACTBP5	
HGNC:139	ACTBP6	
HGNC:140	ACTBP7	
HGNC:141	ACTBP8	
HGNC:142	ACTBP9	
HGNC:31819	ACTBP10	
HGNC:33971	ACTBP11	
HGNC:150	ACTBP12	
HGNC:45086	ACTBP14	
HGNC:55065	ACTBP15	
HGNC:56590	ACTBP16	
HGNC:143	ACTC1	929
HGNC:51491	ACTE1P	
HGNC:144	ACTG1	929
HGNC:146	ACTG1P1	
HGNC:147	ACTG1P2	
HGNC:148	ACTG1P3	
HGNC:149	ACTG1P4	
HGNC:151	ACTG1P6	
HGNC:152	ACTG1P7	
HGNC:153	ACTG1P8	
HGNC:154	ACTG1P9	
HGNC:155	ACTG1P10	
HGNC:37651	ACTG1P11	
HGNC:44496	ACTG1P12	
HGNC:49058	ACTG1P13	
HGNC:49751	ACTG1P14	
HGNC:51495	ACTG1P15	
HGNC:51496	ACTG1P16	
HGNC:51497	ACTG1P17	
HGNC:51498	ACTG1P18	
HGNC:51499	ACTG1P19	
HGNC:51500	ACTG1P20	
HGNC:51501	ACTG1P21	
HGNC:51502	ACTG1P22	
HGNC:51503	ACTG1P23	
HGNC:49661	ACTG1P24	
HGNC:54872	ACTG1P25	
HGNC:145	ACTG2	929
HGNC:156	ACTL2	
HGNC:157	ACTL3	
HGNC:158	ACTL4	
HGNC:159	ACTL5	
HGNC:24124	ACTL6A	1329|1634|1436|595|1605|1604|1606
HGNC:160	ACTL6B	1436|1605|1604|1606
HGNC:161	ACTL7A	1436
HGNC:162	ACTL7B	1436
HGNC:24018	ACTL8	1436
HGNC:28494	ACTL9	1436
HGNC:16127	ACTL10	1436
HGNC:44626	ACTL11P	
HGNC:24758	ACTMAP	
HGNC:163	ACTN1	1112
HGNC:20131	ACTN1-DT	1990
HGNC:164	ACTN2	1112
HGNC:165	ACTN3	1112
HGNC:166	ACTN4	1112
HGNC:44028	ACTN4P1	
HGNC:44032	ACTN4P2	
HGNC:51621	ACTP1	
HGNC:167	ACTR1A	1436|943
HGNC:54703	ACTR1AP1	
HGNC:168	ACTR1B	1436
HGNC:169	ACTR2	39|1436
HGNC:56978	ACTR2P1	
HGNC:57006	ACTR2P2	
HGNC:170	ACTR3	39|1436
HGNC:53965	ACTR3-AS1	1987
HGNC:17256	ACTR3B	1436
HGNC:37724	ACTR3BP1	
HGNC:38677	ACTR3BP2	
HGNC:38678	ACTR3BP3	
HGNC:38681	ACTR3BP4	
HGNC:38682	ACTR3BP5	
HGNC:38683	ACTR3BP6	
HGNC:54971	ACTR3BP7	
HGNC:37282	ACTR3C	1436
HGNC:31820	ACTR3P1	
HGNC:38676	ACTR3P2	
HGNC:38679	ACTR3P3	
HGNC:14671	ACTR5	1436|595
HGNC:24025	ACTR6	1329|1436
HGNC:44210	ACTR6P1	
HGNC:14672	ACTR8	1436|595
HGNC:17372	ACTR10	943|1436
HGNC:24027	ACTRT1	1436
HGNC:55127	ACTRT1P1	
HGNC:24026	ACTRT2	1436
HGNC:24022	ACTRT3	1436
HGNC:171	ACVR1	345
HGNC:172	ACVR1B	345
HGNC:18123	ACVR1C	345
